layer,head,query_count,mean_full_norm,mean_top90_norm,mean_tail10_norm,mean_top90_cond_norm,mean_tail10_cond_norm,mean_top90_mass,mean_tail10_mass,mean_top90_token_count,mean_tail10_token_count,cos_full_top90,cos_full_tail10,cos_top90_tail10,cos_full_top90_cond,cos_full_tail10_cond,cos_top90_cond_tail10_cond,mean_l2_full_minus_top90,mean_l2_full_minus_tail10,mean_reconstruction_error
0,0,5000,0.41013587608337404,0.39350849947929384,0.023455780562758446,0.4366446935176849,0.236235640001297,0.9003394307136535,0.09965098705291749,864.482,6636.018,0.9990640420913697,0.6789377951622009,0.6518827924728393,0.9990640480995179,0.6789377857208252,0.6518827879905701,0.023454095792770385,0.3935067273616791,2.146901725427597e-06
0,1,5000,1.1630297530174256,1.154107818222046,0.020744118225574492,1.2009614728927613,0.4808346635818481,0.9414640892028808,0.058598546862602234,59.902,7440.598,0.9995901078224182,0.3555881186008453,0.3387640386104584,0.9995901185035706,0.35558811855316164,0.33876403937339783,0.020744010099768638,1.1541076930999756,2.1190716965975298e-07
0,2,5000,1.5260192192077637,1.5122270532608033,0.05195792270898819,1.633688201713562,0.7412707946777344,0.9229874267578125,0.0769967202425003,10.7194,7489.7806,0.9993132106781006,0.294876117515564,0.2638055139064789,0.9993132122039795,0.2948761152267456,0.2638055139064789,0.05195789214968681,1.512227007484436,9.056168471488491e-08
0,3,5000,2.157858247375488,2.1519060287475584,0.044993908458948136,2.205724430465698,1.6570647365570068,0.9749936584472656,0.02505967820882797,1.0294,7499.4706,0.9995129453659057,0.11839503726959229,0.09749265143871308,0.9995129468917847,0.11839503823518753,0.09749265011548996,0.04499389251470566,2.1519059677124024,9.456427014811197e-08
0,4,5000,0.9418019048690796,0.8843886699676514,0.07253127683401107,0.9738304420471191,0.7587813969612122,0.9043122318267822,0.09568120353221893,137.2126,7363.2874,0.999165815448761,0.7691177394866944,0.7494745341300965,0.9991658184051514,0.7691177364349365,0.7494745449066162,0.07253083341121673,0.8843882419586182,6.883773513436608e-07
0,5,5000,1.5102155481338502,1.4877987920761109,0.03463111236989498,1.5367221866607665,0.7833742424011231,0.9553134605407715,0.04479857833981514,57.4214,7443.0786,0.9996222569465637,0.32391486871242525,0.311868972492218,0.9996222539901733,0.32391486985683443,0.3118689736366272,0.034630945989489556,1.4877986211776733,2.68629861102454e-07
0,6,5000,0.4835070123672485,0.44901398611068727,0.04046352672576904,0.49887755279541013,0.4048340229034424,0.900047964668274,0.09995110391378403,1647.2316,5853.2684,0.9989923398017884,0.8643550365447998,0.8411827569961547,0.9989923383712769,0.864355030632019,0.841182751083374,0.040457866674661634,0.4490078299045563,6.6641032419283876e-06
0,7,5000,1.594294236946106,1.5815953826904297,0.02088054504543543,1.6078939386367799,0.9514081148147583,0.9752990161895752,0.024823790448904037,35.2184,7465.2816,0.9998150361061097,0.3922164402484894,0.38520441212654116,0.9998150421142578,0.3922164394378662,0.3852044135570526,0.02087882891893387,1.5815935890197754,1.8697482963034416e-06
0,8,5000,0.56032489528656,0.5211223258972167,0.043357532221078875,0.5789872965812684,0.43385610728263857,0.9000572612762451,0.09993615763187408,937.609,6562.891,0.9994112662315369,0.9098355797767639,0.8952670135498046,0.9994112648010254,0.9098355858802796,0.8952670121192932,0.04335435332655907,0.5211189565658569,3.50953218221548e-06
0,9,5000,1.3480254751205445,1.33408772315979,0.025279987823963165,1.3740833011627198,0.7400068793296813,0.9609084975242614,0.039134322148561475,107.3298,7393.1702,0.9997336142539978,0.3790623664855957,0.3678559902191162,0.9997336249351502,0.37906236805915833,0.367855988740921,0.02527867634296417,1.3340863351821899,1.4294679369413642e-06
0,10,5000,0.682927126121521,0.6557597644805908,0.04482775436043739,0.7277174031257629,0.45297043833732603,0.9009955902099609,0.09899301651716232,77.7644,7422.7356,0.9985561654090881,0.6246478151321411,0.5833689525604248,0.9985561760902405,0.6246478137969971,0.583368948841095,0.0448276263833046,0.6557596879959107,1.7766550438409469e-07
0,11,5000,0.5909869607925415,0.5566288429260254,0.043947295129299166,0.6184254693031311,0.43984017276763915,0.9000689138412475,0.09991876375675202,1346.1598,6154.3402,0.9987853603363037,0.7952095950126647,0.7649591449737548,0.9987853679656983,0.7952095920562744,0.764959142112732,0.04394181016087532,0.5566228895187378,7.0959711069008334e-06
0,12,5000,1.6985683708190917,1.662067293357849,0.04137466127872467,1.7083382797241211,1.0975432209014893,0.9630982528686524,0.03700739971995354,43.0972,7457.4028,0.9998875099182128,0.5161379664421082,0.5118108805656433,0.9998875189781189,0.5161379602432251,0.511810877418518,0.04137406715154648,1.6620666696548463,6.488235998403979e-07
0,13,5000,1.1577548347473146,1.0613095582962035,0.10459130611419677,1.1753777713775635,1.0657769258499146,0.9018330066680909,0.09817046279907227,171.8566,7328.6434,0.9995791034698487,0.9171378122329712,0.9074248223304748,0.9995790989875794,0.917137815284729,0.9074248132705689,0.10458952955007553,1.0613078233718871,1.8663256999388977e-06
0,14,5000,0.9488282863616944,0.9409650680541992,0.02058678622543812,0.9959293659210205,0.34647417697906496,0.9295088256835937,0.0705038414478302,93.0732,7407.4268,0.9995369180679321,0.3436763117313385,0.32377290172576906,0.9995369195938111,0.3436763155460358,0.32377290172576906,0.020586592957377435,0.9409648679733277,2.909655223902519e-07
0,15,5000,0.8356403329849243,0.8257266242980957,0.021039421507716177,0.8796122556686401,0.3223988061904907,0.9226958377838135,0.07732512743473052,339.752,7160.748,0.9995718830108643,0.4472808608055115,0.42924759883880614,0.9995718845367432,0.44728086090087893,0.42924760417938235,0.021038761675357818,0.8257258942604065,8.337265514455794e-07
1,0,5000,0.5627216840744018,0.5529892221450806,0.022286726862192154,0.6093250949859619,0.24137701196670533,0.9040645236968994,0.09595122747421264,393.7288,7106.7712,0.9991672103881836,0.4571862437725067,0.42363510398864745,0.999167202758789,0.4571862460136414,0.4236351055145264,0.022286207240819932,0.5529888116836548,7.026248091278831e-07
1,1,5000,0.4724551774024963,0.46508197722434996,0.018536504560709,0.514730165719986,0.19163697850704192,0.9017961759567261,0.09819751536846161,540.341,6960.159,0.9991797676086426,0.4226924740791321,0.3888109182357788,0.9991797630310059,0.42269247550964356,0.3888109233856201,0.018535832089185716,0.4650814991950989,8.64767190614657e-07
1,2,5000,0.6161301209449768,0.6066608348846435,0.04067163833379746,0.6624050709724426,0.49164457731246947,0.915246955871582,0.08474193061590195,21.1364,7479.3636,0.9977009983062745,0.26762804250717165,0.20712516384124754,0.9977009997367859,0.26762804708480836,0.20712516269683837,0.04067161625623703,0.6066608211517334,4.742529752661539e-08
