target_context_tokens,variant,sample_count,mean_gold_nll,gold_ppl,gold_evidence_token_recall,gold_chain_complete_rate,gold_evidence_attention_mass,next_token_correct,query_seconds,semantic_positive_gap_fraction,semantic_positive_gap_mean,semantic_positive_gap_max_mean,semantic_rescue_head_fraction
8192,full_rope,24,1.1379375126368056,3.120326090783804,1.0,1.0,0.051656859330991955,0.625,0.14734605102178952,0.0,0.0,0.0,0.0
8192,local_global_blend25,24,0.9995772695401683,2.7171329707774254,0.14233770765250545,0.5581958912037037,0.053078955246915194,0.6666666666666666,0.183242789353244,0.7625506365740741,3.27891090136829,4.979666540192233,0.9774305555555555
8192,local_global_postscore,24,0.9324399060181653,2.5407006920985613,0.1407164862472767,0.5572193287037037,0.05230938964766412,0.75,0.16976506961509585,0.7645399305555555,3.2814673029033945,4.991527379386954,0.9768518518518517
8192,pre_masspreserve25,24,0.8828676010598429,2.417823127030299,0.1406037241285403,0.5562065972222222,0.05242094278586323,0.75,0.18935175996739417,0.763675319664903,3.2819263121949063,4.991395587998408,0.9768156828703703
8192,pre_monotone25,24,0.8999469164797725,2.4594725502307946,0.1421536713643791,0.5589192708333334,0.054383794829138625,0.75,0.1732162970583886,0.76266086585097,3.289330034320214,4.991453559310348,0.9779369212962963
8192,rope_top2,24,1.0694517185135435,2.9137814894909786,0.32098481753812635,0.6447844328703703,0.05106172251921467,0.7083333333333334,0.15136361486899355,0.0,0.0,0.0,0.0
16384,full_rope,24,2.5560999800800346,12.88546562045975,1.0,1.0,0.05123222480246855,0.2916666666666667,0.1807570483457918,0.0,0.0,0.0,0.0
16384,local_global_blend25,24,1.7948291696763288,6.018446500820355,0.41152216094771243,0.7871817129629629,0.05322015452079793,0.4583333333333333,0.2162826272736614,0.7936111893143143,3.5828198708581556,7.605191040922094,1.0
16384,local_global_postscore,24,1.1249510206786606,3.0800659856818124,0.40496068218954245,0.7855902777777778,0.05105113112180485,0.625,0.21361022524069995,0.7938796218093093,3.5797895555068178,7.607275860177146,1.0
16384,pre_masspreserve25,24,1.2234774254417669,3.39898692994488,0.40496068218954245,0.7863136574074074,0.0511131870568483,0.5833333333333334,0.23075261746998876,0.7931699277402403,3.5892640001228777,7.613466677290422,1.0
16384,pre_monotone25,24,1.49525245015199,4.46046245514949,0.4085594958469499,0.7854456018518517,0.05414218203145538,0.5,0.21738987144393226,0.7928322854104105,3.585001222631685,7.607195072151996,1.0
16384,rope_top2,24,1.767738917338041,5.857593872685363,0.35641339869281047,0.6000072337962963,0.04953931153216184,0.5,0.184248336047555,0.0,0.0,0.0,0.0
32768,full_rope,24,3.665575391302506,39.07861519065538,1.0,1.0,0.049126193071654396,0.125,0.2627601355003814,0.0,0.0,0.0,0.0
32768,local_global_blend25,24,2.3245118964308253,10.221689624770315,0.47092226647603486,0.802734375,0.05222104060192123,0.2916666666666667,0.3033780261951809,0.8109682119070825,4.233683137717368,9.893156189057562,1.0
32768,local_global_postscore,24,2.383269573484237,10.840288103632982,0.4670511216639433,0.8004918981481483,0.05035331412314766,0.25,0.30054996787415195,0.812024867902137,4.229749785046125,9.902731046632484,1.0
32768,pre_masspreserve25,24,2.206658805565288,9.085309837553615,0.467490468409586,0.8018663194444445,0.05151159359485502,0.25,0.3169266681264465,0.8108597754674753,4.237412178315663,9.902028540218318,1.0
32768,pre_monotone25,24,2.1345140587848923,8.452937877762746,0.4662075333605664,0.7990813078703703,0.05275226773888638,0.2916666666666667,0.30378746000739437,0.8094901485001084,4.239202554203926,9.905093161044297,1.0
32768,rope_top2,24,3.0743359041710696,21.63550908823201,0.38983992034313725,0.6058666087962963,0.04715732172903867,0.16666666666666666,0.2689917308355992,0.0,0.0,0.0,0.0
65536,full_rope,24,2.1774048414081335,8.823378454539226,1.0,1.0,0.04410139044061096,0.2916666666666667,0.4313281909174596,0.0,0.0,0.0,0.0
65536,local_global_blend25,24,1.722605224698782,5.599096383874602,0.4345426538671024,0.7789351851851851,0.035510129282733435,0.4583333333333333,0.4806677120892952,0.834738225757864,5.85534143658267,13.946430423193506,1.0
65536,local_global_postscore,24,1.8829108998179436,6.572609250291489,0.4445221013752723,0.7815755208333334,0.03669057364348963,0.2916666666666667,0.4767903628138204,0.8341035654192828,5.753226991020887,13.67649996722186,1.0
65536,pre_masspreserve25,24,1.7337013632059097,5.661570703710311,0.4393084490740741,0.7809244791666666,0.03548718289162404,0.4583333333333333,0.4932520399258162,0.8338465117246955,5.793992460574266,13.773526691728167,1.0
65536,pre_monotone25,24,1.6862591647853453,5.399245193319613,0.43465116081154687,0.7784649884259259,0.037200278820357105,0.4583333333333333,0.48011489111619693,0.8340372969086917,5.84164593387401,13.912561392894498,1.0
65536,rope_top2,24,2.0872410802791515,8.062640273863163,0.3511891084558823,0.5491898148148148,0.037477340358977755,0.3333333333333333,0.44162664938873303,0.0,0.0,0.0,0.0
