baseline,target_context_tokens,variant,sample_count,mean_delta_nll,quality_ratio,delta_nll_ci_low,delta_nll_ci_high,improved_sample_fraction
full_rope,8192,local_global_blend25,24,-0.13836024309663722,1.1483891750395332,-0.2977302028642346,0.03116361307911575,0.625
full_rope,8192,local_global_postscore,24,-0.20549760661864033,1.2281360415604425,-0.3475134242326021,-0.06036400003358722,0.75
full_rope,8192,pre_masspreserve25,24,-0.25506991157696274,1.2905518422335371,-0.4306991655224313,-0.07522983540548012,0.7083333333333334
full_rope,8192,pre_monotone25,24,-0.237990596157033,1.268697262138988,-0.3941184159678717,-0.0714830089515696,0.7083333333333334
full_rope,8192,rope_top2,24,-0.06848579412326217,1.07088541197676,-0.32842057551412535,0.22571603185497224,0.5833333333333334
full_rope,16384,local_global_blend25,24,-0.7612708104037059,2.1409952915097565,-1.0945795439959813,-0.4408305411731514,0.7916666666666666
full_rope,16384,local_global_postscore,24,-1.431148959401374,4.183503106868466,-1.9119117378722876,-0.9573366444868346,0.875
full_rope,16384,pre_masspreserve25,24,-1.3326225546382677,3.7909723944330396,-1.7902806316075537,-0.8668095800094306,0.875
full_rope,16384,pre_monotone25,24,-1.0608475299280447,2.8888183120079414,-1.4716762496779363,-0.6581808332703076,0.8333333333333334
full_rope,16384,rope_top2,24,-0.7883610627419936,2.1997881554312193,-1.0834847377069916,-0.48365491300743696,0.9166666666666666
full_rope,32768,local_global_blend25,24,-1.3410634948716809,3.8231071990246916,-1.7197230681777,-0.9666341443080455,0.9166666666666666
full_rope,32768,local_global_postscore,24,-1.2823058178182691,3.604942490187017,-1.6251655866702397,-0.9540874091132233,1.0
full_rope,32768,pre_masspreserve25,24,-1.4589165857372184,4.301296916603344,-1.8051372924819589,-1.115031487153222,0.9583333333333334
full_rope,32768,pre_monotone25,24,-1.531061332517614,4.623080845472673,-1.923139431513846,-1.14505004339541,0.9583333333333334
full_rope,32768,rope_top2,24,-0.5912394871314367,1.8062258221559964,-0.8589553410808245,-0.36567436282833415,0.9166666666666666
full_rope,65536,local_global_blend25,24,-0.45479961670935154,1.5758575758671627,-0.7975476408998171,-0.1342806201428175,0.625
full_rope,65536,local_global_postscore,24,-0.29449394159018993,1.3424468302520673,-0.6145443562418222,0.0043302010744810104,0.5833333333333334
full_rope,65536,pre_masspreserve25,24,-0.4437034782022238,1.558468297279556,-0.7327518419673046,-0.15411132822434107,0.6666666666666666
full_rope,65536,pre_monotone25,24,-0.49114567662278813,1.6341873981674753,-0.8121636733412743,-0.17480806137124696,0.625
full_rope,65536,rope_top2,24,-0.0901637611289819,1.0943534815936367,-0.2552451739708583,0.07122921943664551,0.6666666666666666
rope_top2,8192,full_rope,24,0.06848579412326217,0.9338067255525391,-0.22232892437993237,0.329257867919902,0.4166666666666667
rope_top2,8192,local_global_blend25,24,-0.06987444897337507,1.072373535203648,-0.3200838631795098,0.18830520457898578,0.5
rope_top2,8192,local_global_postscore,24,-0.13701181249537817,1.1468416955026137,-0.3551127208629623,0.0762159014120698,0.6666666666666666
rope_top2,8192,pre_masspreserve25,24,-0.18658411745370054,1.2051259899518962,-0.3882265464829591,0.00569835821321855,0.7083333333333334
rope_top2,8192,pre_monotone25,24,-0.16950480203377083,1.1847180360754797,-0.40564717589101446,0.049129510046138115,0.625
rope_top2,16384,full_rope,24,0.7883610627419936,0.4545892282995643,0.4861649729815933,1.0809976723782408,0.08333333333333333
rope_top2,16384,local_global_blend25,24,0.02709025233828773,0.9732733973604208,-0.18268192780669779,0.2261021703404064,0.375
rope_top2,16384,local_global_postscore,24,-0.6427878966593804,1.9017754489401657,-0.9734471943423463,-0.3416863744884419,0.75
rope_top2,16384,pre_masspreserve25,24,-0.5442614918962742,1.723335215290267,-0.8296586370173221,-0.2644919298278789,0.7083333333333334
rope_top2,16384,pre_monotone25,24,-0.27248646718605113,1.31322568715334,-0.5006441747536883,-0.06090002534134934,0.625
rope_top2,32768,full_rope,24,0.5912394871314367,0.5536406288369595,0.36160531391700107,0.8648463375866413,0.08333333333333333
rope_top2,32768,local_global_blend25,24,-0.7498240077402443,2.116627473779137,-1.1508392397469531,-0.35843654729736346,0.8333333333333334
rope_top2,32768,local_global_postscore,24,-0.6910663306868324,1.9958426271882146,-1.0354822943918407,-0.30835168218861025,0.8333333333333334
rope_top2,32768,pre_masspreserve25,24,-0.8676770986057818,2.3813727297227505,-1.2147644458649058,-0.4969424066754679,0.875
rope_top2,32768,pre_monotone25,24,-0.9398218453861773,2.5595253864515937,-1.3284824218911429,-0.5584965736294786,0.875
rope_top2,65536,full_rope,24,0.0901637611289819,0.9137815311226171,-0.06805936867992084,0.2572867547472318,0.3333333333333333
rope_top2,65536,local_global_blend25,24,-0.36463585558036965,1.4399895485070715,-0.6805039991935095,-0.06559944897890091,0.625
rope_top2,65536,local_global_postscore,24,-0.20433018046120802,1.2267031199984382,-0.42725905030965805,0.0047602578997612,0.5416666666666666
rope_top2,65536,pre_masspreserve25,24,-0.3535397170732419,1.4240995468941706,-0.6177053861320019,-0.09777671347061793,0.625
rope_top2,65536,pre_monotone25,24,-0.4009819154938062,1.4932902628387612,-0.7049289544423422,-0.12129182368516922,0.5833333333333334
