patch_kind,layer,critical_qk,gold_probability,gold_vs_fixed_competitor_margin,gold_vs_strongest_margin,top_token_id,top_token_label,strongest_competitor_token_id,strongest_competitor_token_label,qk_recovery_fraction,fixed_margin_recovery_fraction
mlp_out,9,9.8830935922,0.0153652651,-2.875,-2.875,4710,␠↵↵,4710,␠↵↵,-0.0226713602,-0.0333333333
mlp_out,10,10.2346299364,0.0264303673,-2.25,-2.25,4710,␠↵↵,4710,␠↵↵,0.0450018931,0.1333333333
mlp_out,11,10.5662038328,0.0203063818,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.1088322329,0.0666666667
mlp_out,12,10.4603299413,0.0277804258,-2.25,-2.25,4710,␠↵↵,4710,␠↵↵,0.0884507537,0.1333333333
mlp_out,13,10.2190614297,0.0173079208,-2.75,-2.75,4710,␠↵↵,4710,␠↵↵,0.0420048445,0.0
mlp_out,14,10.3172489051,0.034630981,-1.875,-1.875,4710,␠↵↵,4710,␠↵↵,0.0609066338,0.2333333333
mlp_out,15,11.3416983549,0.0297310877,-2.25,-2.25,4710,␠↵↵,4710,␠↵↵,0.258120459,0.1333333333
mlp_out,16,10.541525865,0.0362551111,-2.0,-2.0,4710,␠↵↵,4710,␠↵↵,0.1040815481,0.2
mlp_out,17,10.8104143675,0.0217996169,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.1558445025,0.0666666667
mlp_out,18,9.92180237,0.0220287513,-2.375,-2.375,4710,␠↵↵,4710,␠↵↵,-0.0152196444,0.1
mlp_out,19,10.4528694367,0.0176358624,-2.875,-2.875,4710,␠↵↵,4710,␠↵↵,0.0870145534,-0.0333333333
mlp_out,20,10.3976618104,0.0293963701,-2.125,-2.125,4710,␠↵↵,4710,␠↵↵,0.0763866916,0.1666666667
mlp_out,21,10.4425647977,0.0144477999,-3.0,-3.0,4710,␠↵↵,4710,␠↵↵,0.0850308369,-0.0666666667
mlp_out,22,11.0948416859,0.009941302,-3.5,-3.5,4710,␠↵↵,4710,␠↵↵,0.2105987897,-0.2
mlp_out,23,10.465701346,0.0281889628,-2.25,-2.25,4710,␠↵↵,4710,␠↵↵,0.0894847874,0.1333333333
mlp_out,24,10.0480891707,0.0073839447,-3.75,-3.75,4710,␠↵↵,4710,␠↵↵,0.0090914654,-0.2666666667
mlp_out,25,10.0387226156,0.0143180961,-3.0,-3.0,4710,␠↵↵,4710,␠↵↵,0.0072883367,-0.0666666667
mlp_out,26,9.9951409569,0.026044883,-2.375,-2.375,4710,␠↵↵,4710,␠↵↵,-0.0011014434,0.1
mlp_out,27,10.0485493101,0.0228864503,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.0091800455,0.0666666667
mlp_out,28,10.0169210294,0.0263541035,-2.375,-2.375,4710,␠↵↵,4710,␠↵↵,0.0030913759,0.1
mlp_out,29,9.9952863756,0.1242832895,-0.875,-0.875,4710,␠↵↵,4710,␠↵↵,-0.0010734493,0.5
mlp_out,30,9.9956454325,0.0289140275,-2.375,-2.375,4710,␠↵↵,4710,␠↵↵,-0.0010043283,0.1
mlp_out,31,10.0006450144,0.0290740149,-2.125,-2.125,4710,␠↵↵,4710,␠↵↵,-4.18731e-05,0.1666666667
mlp_out,32,10.0035338404,0.0232071205,-2.5,-2.5,4710,␠↵↵,4710,␠↵↵,0.0005142465,0.0666666667
mlp_out,33,9.9995763389,0.0308668304,-2.25,-2.25,4710,␠↵↵,4710,␠↵↵,-0.0002476007,0.1333333333
mlp_out,34,10.0008625289,0.0678062386,-1.625,-1.625,4710,␠↵↵,4710,␠↵↵,0.0,0.3
mlp_out,35,10.0008625289,0.0018553279,-5.0625,-5.0625,4710,␠↵↵,4710,␠↵↵,0.0,-0.6166666667
