adjacent_mean,all_pair_adjusted_mean,all_pair_max,all_pair_mean,all_pair_min,layer4_layer10,layer4_layer10_adjusted,metric,random_expected_rough,rank_or_k,side
0.6403616798558721,,0.9060828685760498,0.4778816165506012,7.277354598045349e-06,0.7637252807617188,,single_vector_abs_cos,0.024933892525089544,1,left_U_output_side
0.14517885969123906,,0.801138162612915,0.05502079204574878,3.8302503526210785e-05,0.03901274874806404,,single_vector_abs_cos,0.024933892525089544,2,left_U_output_side
0.06987165745899633,,0.8017297983169556,0.04163835444007187,2.0298175513744354e-06,0.013689541257917881,,single_vector_abs_cos,0.024933892525089544,3,left_U_output_side
0.06053032981300795,,0.368576318025589,0.038471061430216114,0.00012271851301193237,0.03332926332950592,,single_vector_abs_cos,0.024933892525089544,4,left_U_output_side
0.08672549030571072,,0.3286837935447693,0.041205754673611074,1.1119991540908813e-05,0.02231897972524166,,single_vector_abs_cos,0.024933892525089544,5,left_U_output_side
0.521604600392902,0.30926835182005336,0.8209861516952515,0.30994289444522904,5.2878590395266656e-11,0.5832759141921997,0.5828685592696115,top_k_subspace_overlap,0.0009765625,1,left_U_output_side
0.30730947232762074,0.18612535362633809,0.6792422533035278,0.18771495254503665,0.0003447051567491144,0.29321974515914917,0.2918366135449792,top_k_subspace_overlap,0.001953125,2,left_U_output_side
0.2216499412121872,0.13187536646850614,0.786614179611206,0.13441870035580544,0.0005421859677881002,0.19880227744579315,0.19644812155190225,top_k_subspace_overlap,0.0029296875,3,left_U_output_side
0.19715496014665673,0.10892091103022568,0.6079995632171631,0.11240168872151386,0.001081579364836216,0.1522137075662613,0.14888905543907016,top_k_subspace_overlap,0.00390625,4,left_U_output_side
0.17243708083751025,0.09371543121619154,0.5069375038146973,0.09814064883720622,0.0016329092904925346,0.13064076006412506,0.12637501305757023,top_k_subspace_overlap,0.0048828125,5,left_U_output_side
0.017785829009005317,,0.06899258494377136,0.01819894106355841,3.9519742131233215e-05,0.028854122385382652,,single_vector_abs_cos,0.017630924485867384,1,right_V_input_side
0.01723283739691531,,0.07688354700803757,0.017650479745401917,3.0114315450191498e-05,0.008932238444685936,,single_vector_abs_cos,0.017630924485867384,2,right_V_input_side
0.021123433520120603,,0.07091893255710602,0.018122591440154427,2.4172943085432053e-05,0.020343659445643425,,single_vector_abs_cos,0.017630924485867384,3,right_V_input_side
0.023472636912225023,,0.0962306559085846,0.018768536961124963,0.00010305829346179962,0.012705250643193722,,single_vector_abs_cos,0.017630924485867384,4,right_V_input_side
0.015695143387549453,,0.07594531029462814,0.018912778512227335,5.524326115846634e-05,0.005351967178285122,,single_vector_abs_cos,0.017630924485867384,5,right_V_input_side
0.0005539646503954694,5.271375075040926e-05,0.004759980831295252,0.0005409692616143006,1.5610480685879224e-09,0.0008325608214363456,0.0003444477588185812,top_k_subspace_overlap,0.00048828125,1,right_V_input_side
0.0009534179860363818,5.601837826394661e-06,0.005566417705267668,0.0009821588672816422,3.678569555631839e-05,0.0017017981735989451,0.000725944603876168,top_k_subspace_overlap,0.0009765625,2,right_V_input_side
0.0015581082240074735,6.364759688738182e-05,0.0067574759013950825,0.0015283981131028789,0.00025832312530837953,0.0021861048880964518,0.0007223192228956153,top_k_subspace_overlap,0.00146484375,3,right_V_input_side
0.0022822404711472766,8.308204247580002e-05,0.005785662680864334,0.0020360447728615893,0.0004313199606258422,0.0020385535899549723,8.559576919167476e-05,top_k_subspace_overlap,0.001953125,4,right_V_input_side
0.0030130910497434714,0.00017043565941663583,0.008418401703238487,0.0026114258067325134,0.0007264482555910945,0.0022097511682659388,-0.00023222203004961205,top_k_subspace_overlap,0.00244140625,5,right_V_input_side
