side,ambient_dim,band,dim,random_expected,all_pair_overlap_mean,all_pair_overlap_min,all_pair_overlap_max,all_pair_adjusted_mean,adjacent_overlap_mean,layer4_layer10_overlap,layer4_layer10_adjusted
left_U_output_side,1024,top_1pct,10,0.009765625,0.07273597932721257,0.020295603573322295,0.3840599775314331,0.06359136373872354,0.14192375518657543,0.0801348090171814,0.07106316019092086
left_U_output_side,1024,top_10pct,102,0.099609375,0.13492117039778134,0.05249486717523313,0.4015342861998315,0.03921830638538839,0.23295753332870803,0.12425380594590131,0.027370821354233126
left_U_output_side,1024,pct_10_20,103,0.1005859375,0.10976008731545951,0.0845902267011624,0.17379957032435148,0.010200140511433796,0.12926469334420945,0.10788527738700793,0.008115661285880692
left_U_output_side,1024,pct_20_100,819,0.7998046875,0.807685631879677,0.7861615787641179,0.8580326737065018,0.039366278267265485,0.8289010211753267,0.805214608254159,0.027023213913457765
right_V_input_side,2048,top_1pct,20,0.009765625,0.010738051621608003,0.003989708796143532,0.024719363451004027,0.0009820166277382588,0.010891189343399473,0.010956243425607682,0.0012023602246767913
right_V_input_side,2048,top_10pct,205,0.10009765625,0.10807042728010063,0.09036938737078411,0.13774191693561832,0.00885959580555946,0.10992002030590577,0.12662758245700742,0.029480894667363644
right_V_input_side,2048,pct_10_20,205,0.10009765625,0.10406513371641733,0.09185176942406631,0.11829570677222276,0.004408786679990634,0.10463092428343511,0.11519518596370046,0.016776853420324762
right_V_input_side,2048,pct_20_100,1638,0.7998046875,0.8024860616224432,0.7948894570598672,0.8121275290464743,0.013393790738448116,0.8030369093194615,0.809465829851572,0.048258584234193824
