7.493489583333333703e-01,3.288085937499999889e-01,2.626464843749999889e-01,3.502929687499999889e-01,2.852050781250000111e-01,2.951171874999999889e-01,2.919596354166666408e-01,2.511555989583333370e-01,2.668294270833333481e-01,2.186848958333333370e-01,2.658203124999999889e-01,1.713378906249999889e-01,2.472656249999999889e-01,2.050944010416666796e-01,2.305013020833333315e-01,2.331705729166666796e-01,1.857421874999999889e-01,1.882161458333333204e-01,1.949544270833333259e-01,2.288899739583333259e-01,2.356445312500000111e-01,2.025878906249999889e-01,1.444173177083333259e-01,2.002766927083333426e-01,2.080403645833333315e-01,1.465657552083333426e-01,2.497721354166666796e-01,2.414062499999999889e-01
7.686848958333333259e-01,4.417480468750000222e-01,3.260579427083333259e-01,3.987467447916666630e-01,3.339029947916666852e-01,3.421061197916666630e-01,3.293294270833333481e-01,2.880533854166666408e-01,3.028157552083333148e-01,2.619466145833333481e-01,3.050944010416666852e-01,2.421061197916666574e-01,2.699544270833333370e-01,2.450358072916666574e-01,2.618326822916666741e-01,2.687988281250000000e-01,2.117838541666666741e-01,2.265136718749999889e-01,2.338378906249999889e-01,2.557942708333333370e-01,2.693522135416666630e-01,2.370930989583333315e-01,1.754231770833333259e-01,2.405273437500000111e-01,2.468098958333333204e-01,1.805501302083333259e-01,2.749674479166666630e-01,2.785970052083333592e-01
7.482747395833333481e-01,4.847819010416666852e-01,4.439290364583333148e-01,4.625813802083333370e-01,3.770345052083333148e-01,3.798502604166666408e-01,3.646158854166666741e-01,3.220052083333333481e-01,3.252115885416666519e-01,2.873697916666666519e-01,3.392740885416666852e-01,2.584798177083333370e-01,2.984863281249999778e-01,2.612792968750000111e-01,2.721842447916666408e-01,2.879394531250000222e-01,2.305175781250000111e-01,2.421223958333333370e-01,2.505371093750000111e-01,2.659830729166666741e-01,2.792480468749999889e-01,2.470540364583333204e-01,1.882161458333333204e-01,2.548502604166666408e-01,2.585286458333333481e-01,1.949055989583333426e-01,2.867513020833333259e-01,2.905598958333333592e-01
7.299804687500000000e-01,4.663899739583333148e-01,5.326985677083333481e-01,5.457356770833333703e-01,4.065917968750000222e-01,4.055501302083333592e-01,3.895345052083333259e-01,3.455566406250000222e-01,3.434407552083333370e-01,3.066894531250000111e-01,3.606933593750000222e-01,2.794433593749999778e-01,3.179199218750000111e-01,2.747721354166666741e-01,2.782552083333333370e-01,3.021647135416666852e-01,2.400390625000000111e-01,2.574544270833333259e-01,2.612467447916666519e-01,2.740397135416666741e-01,2.863932291666666519e-01,2.558756510416666519e-01,1.951334635416666630e-01,2.594075520833333259e-01,2.664550781250000222e-01,2.013834635416666685e-01,2.916666666666666852e-01,2.955566406249999778e-01
7.146647135416667185e-01,4.550130208333333370e-01,5.132161458333333037e-01,5.652669270833333703e-01,4.683268229166666630e-01,4.232747395833333370e-01,4.031738281250000222e-01,3.618164062500000000e-01,3.564453125000000000e-01,3.207356770833333370e-01,3.722493489583333370e-01,2.957845052083333259e-01,3.328125000000000111e-01,2.858398437499999889e-01,2.840820312499999778e-01,3.080891927083333481e-01,2.471516927083333426e-01,2.664225260416666630e-01,2.686197916666666630e-01,2.813476562500000222e-01,2.915039062500000000e-01,2.617513020833333592e-01,1.986002604166666741e-01,2.666015625000000000e-01,2.723470052083333259e-01,2.079589843749999889e-01,2.959635416666666630e-01,2.983398437500000000e-01
7.044921874999999778e-01,4.409179687500000000e-01,4.935709635416666852e-01,5.519531250000000444e-01,4.795410156250000111e-01,4.801757812499999889e-01,4.190755208333333259e-01,3.794108072916666519e-01,3.685546874999999778e-01,3.384440104166666630e-01,3.856119791666666741e-01,3.069986979166666741e-01,3.452148437500000000e-01,2.944824218750000111e-01,2.862141927083333148e-01,3.168619791666666408e-01,2.568033854166666408e-01,2.748860677083333481e-01,2.734049479166666408e-01,2.890625000000000000e-01,2.976725260416666630e-01,2.678548177083333592e-01,2.007161458333333315e-01,2.711914062499999889e-01,2.771158854166666519e-01,2.123209635416666574e-01,2.980143229166666852e-01,2.997558593749999889e-01
6.921712239583333037e-01,4.296875000000000000e-01,4.717122395833333592e-01,5.392740885416666963e-01,4.695475260416666630e-01,4.895670572916666630e-01,4.574218749999999778e-01,3.897786458333333259e-01,3.777994791666666741e-01,3.529296874999999778e-01,3.972330729166666519e-01,3.173665364583333481e-01,3.565266927083333148e-01,3.023111979166666630e-01,2.926757812499999889e-01,3.219238281249999778e-01,2.627278645833333592e-01,2.813639322916666741e-01,2.793782552083333148e-01,2.952148437500000111e-01,3.017252604166666408e-01,2.717122395833333481e-01,2.024576822916666630e-01,2.737630208333333148e-01,2.777343749999999778e-01,2.187011718749999889e-01,3.000488281250000000e-01,3.066569010416666519e-01
6.831705729166667185e-01,4.190592447916666741e-01,4.502278645833333592e-01,5.276855468750000222e-01,4.596354166666666852e-01,4.826660156250000000e-01,4.650227864583333370e-01,4.298502604166666852e-01,3.898437499999999889e-01,3.660319010416666630e-01,4.090332031250000222e-01,3.287109375000000222e-01,3.692057291666666630e-01,3.103027343750000000e-01,2.989583333333333259e-01,3.278971354166666519e-01,2.708821614583333259e-01,2.890136718749999889e-01,2.864908854166666741e-01,2.996256510416666630e-01,3.108886718750000222e-01,2.774414062500000222e-01,2.083821614583333259e-01,2.763671875000000000e-01,2.840657552083333259e-01,2.235351562500000056e-01,3.015787760416666630e-01,3.102050781249999778e-01
6.754557291666666297e-01,4.121744791666666630e-01,4.312337239583333148e-01,5.183756510416667185e-01,4.531412760416666519e-01,4.717610677083333148e-01,4.572265624999999889e-01,4.325520833333333370e-01,4.178710937499999778e-01,3.766276041666666852e-01,4.184082031249999889e-01,3.379394531250000111e-01,3.770345052083333148e-01,3.159993489583333148e-01,3.035644531250000222e-01,3.358235677083333259e-01,2.765787760416666408e-01,2.934895833333333592e-01,2.923502604166666741e-01,3.045572916666666741e-01,3.157226562500000111e-01,2.837727864583333148e-01,2.106282552083333370e-01,2.764160156250000111e-01,2.862141927083333148e-01,2.299967447916666796e-01,3.022786458333333592e-01,3.132975260416666630e-01
6.677571614583333037e-01,4.050292968750000000e-01,4.261881510416666852e-01,5.093750000000000222e-01,4.441243489583333592e-01,4.640462239583333370e-01,4.501627604166666408e-01,4.222981770833333370e-01,4.256673177083333259e-01,4.058268229166666630e-01,4.232096354166666741e-01,3.497884114583333370e-01,3.811035156250000000e-01,3.238769531249999778e-01,3.033365885416666741e-01,3.415364583333333481e-01,2.784667968749999778e-01,2.997395833333333370e-01,2.951171874999999889e-01,3.111002604166666630e-01,3.205729166666666519e-01,2.855143229166666741e-01,2.125976562499999889e-01,2.758789062500000000e-01,2.879882812499999778e-01,2.289225260416666574e-01,3.076497395833333592e-01,3.144856770833333592e-01
