mode,loss,ppl,token_count,seconds,top_fraction,sign_xnor_candidate_fraction,recent_window_tokens,qabs_dim_count,qabs_candidate_fraction,kdom_key_dim_count,max_heads_per_token,limit_strategy,protected_sink_tokens,protected_recent_fraction,protected_recent_tokens,always_keep_self,qabs_fast_path,qabs_cuda_final_kernel,qabs_cuda_candidate_kernel,qabs_cuda_reuse_select_kernel,qabs_profile,qabs_candidate_selection,qabs_threshold_sample_size,lagged_refresh_fraction,full_head_map_path,full_layer_map_path,layer_budget_map_path,adaptive_low_tokens,adaptive_high_tokens,adaptive_low_fraction,adaptive_mean_margin,adaptive_margin_threshold,reuse_prefill_cache,shared_prefill_seconds
qabs8cand3reuse,3.184298282620148,24.15033574822969,32,2.3233025999943493,,,,8,0.03,,,qabs_reuse_rerank,10,,10,True,True,False,False,False,,topk,,,,,,,,,,,True,1.9777245000004768
lagrefresh2qabs8cand3,3.4468516040069517,31.401372558309955,32,2.6000561000037123,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.5,,,,,,,,,True,1.9777245000004768
lagrefresh4qabs8cand3,3.4094072985462844,30.247311320095054,32,1.708551499999885,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.25,,,,,,,,,True,1.9777245000004768
qdriftqabs8cand3,3.3480286421036,28.4465999027556,32,1.885582399998384,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.78125,,,,,,,,,True,1.9777245000004768
qdriftheadqabs8cand3,3.5774632405955344,35.782653633184154,32,2.523760299998685,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.21540178571428573,,,,,,,,,True,1.9777245000004768
qdriftshareqabs8cand3,3.5680174602603074,35.44624984652592,32,2.048989700000675,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.7790178571428571,,,,,,,,,True,1.9777245000004768
qdriftcosheadqabs8cand3,3.38684189459309,29.572411849102526,32,2.2483018999992055,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.22398158482142858,,,,,,,,,True,1.9777245000004768
pconf50qabs8cand3,3.7723798154620454,43.48342432436541,32,2.567629899996973,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.03599330357142857,,,,,,,,,True,1.9777245000004768
baseline,3.0839043791784206,21.843521509985393,32,0.39276860000245506,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,True,1.9777245000004768
