mode,ppl,loss,ppl_ratio_to_top2,ppl_ratio_to_baseline,mean_kept_fraction,mean_removed_per_query,mean_final_kept_per_query
baseline,32.792876371366255,3.490211308002472,0.9250978476512585,1.0,,,
top2,35.4480085048565,3.5680670738220215,1.0,1.0809667350744696,,,
top2limit3score,21146.066872800213,9.959209203720093,596.5375140863873,644.8372089514025,0.5649106508725651,11.964957101004464,15.535042898995536
top2limit3scorefill,4589.929220583963,8.431619882583618,129.4834156890683,139.96726510370252,1.0,12.723955426897321,27.5
top2limit15score,38.8687498602796,3.6601905822753906,1.0965002407668245,1.1852802852700843,0.9971877853591711,0.07733590262276786,27.422664097377233
top2limit3gap4p0,213.29084686517112,5.3626567125320435,6.017005069154999,6.504182324531014,0.9032136198762167,2.661625453404018,24.838374546595983
top2limit3gap5p0,96.55043346002827,4.570065498352051,2.7237195411640833,2.9442502196706717,0.9433511312905846,1.5578438895089286,25.942156110491073
top2limit3gap6p0,60.986665881080015,4.110655248165131,1.720453939541473,1.8597534778721552,0.9671829025466714,0.9024701799665179,26.597529820033483
top2limit3gap7p0,45.32856310964258,3.8139373660087585,1.278733701032384,1.382268593834669,0.9808178393871744,0.5275094168526786,26.972490583147323
top2limit3gap8p0,37.01054587351874,3.611202895641327,1.0440796940242258,1.1286154180069188,0.9892974457183437,0.2943202427455357,27.205679757254465
