task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
cwe_16384,full_kv,1,0.0,15312.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.399969760328531,1.0
cwe_32768,full_kv,1,0.0,31365.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,18.21160721499473,1.0
cwe_4096,full_kv,2,1.0,2904.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.594108904711902,1.0
cwe_8192,full_kv,1,0.9,6984.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.30587693490088,1.0
fwe_16384,full_kv,1,1.0,14975.0,31.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.6891114758327603,1.0
fwe_32768,full_kv,1,0.6666666666666666,32051.0,34.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.358399861492217,1.0
fwe_4096,full_kv,2,1.0,4019.0,33.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4560144846327603,1.0
fwe_8192,full_kv,1,1.0,7104.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7521149152889848,1.0
niah_multikey_1_16384,full_kv,1,1.0,16027.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3776710098609328,1.0
niah_multikey_1_32768,full_kv,1,1.0,32193.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6698129028081894,1.0
niah_multikey_1_4096,full_kv,2,1.0,3751.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.19025470176711679,1.0
niah_multikey_1_8192,full_kv,1,1.0,7443.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.23382638487964869,1.0
niah_multikey_2_16384,full_kv,1,1.0,16100.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.36811353731900454,1.0
niah_multikey_2_32768,full_kv,1,1.0,32596.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6498982291668653,1.0
niah_multikey_2_4096,full_kv,2,1.0,3642.5,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.15377642679959536,1.0
niah_multikey_2_8192,full_kv,1,1.0,7656.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.23201885540038347,1.0
niah_multikey_3_16384,full_kv,1,1.0,16100.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.458110379986465,1.0
niah_multikey_3_32768,full_kv,1,1.0,31911.0,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.90674831904471,1.0
niah_multikey_3_4096,full_kv,2,1.0,3080.0,58.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0017490522004664,1.0
niah_multikey_3_8192,full_kv,1,1.0,7432.0,59.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.2306469725444913,1.0
niah_multiquery_16384,full_kv,1,1.0,16072.0,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.363252611830831,1.0
niah_multiquery_32768,full_kv,1,1.0,32225.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.636756604537368,1.0
niah_multiquery_4096,full_kv,2,1.0,3782.0,47.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.8615860315039754,1.0
niah_multiquery_8192,full_kv,1,1.0,7476.0,75.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.187860154546797,1.0
