mode,loss,ppl,token_count,seconds,top_fraction,sign_xnor_candidate_fraction,recent_window_tokens,qabs_dim_count,qabs_candidate_fraction,kdom_key_dim_count,max_heads_per_token,limit_strategy,protected_sink_tokens,protected_recent_fraction,protected_recent_tokens,always_keep_self,qabs_fast_path,qabs_cuda_final_kernel,qabs_cuda_candidate_kernel,qabs_cuda_reuse_select_kernel,qabs_profile,qabs_candidate_selection,qabs_threshold_sample_size,lagged_refresh_fraction,full_head_map_path,full_layer_map_path,layer_budget_map_path,adaptive_low_tokens,adaptive_high_tokens,adaptive_low_fraction,adaptive_mean_margin,adaptive_margin_threshold,reuse_prefill_cache,shared_prefill_seconds
qabs8cand3reuse,3.35610994783201,28.677416968970775,32,2.428714100002253,,,,8,0.03,,,qabs_reuse_rerank,10,,10,True,True,False,False,False,,topk,,,,,,,,,,,True,1.9630652999985614
lagrefresh2qabs8cand3,3.4483838627202203,31.449524466190237,32,2.00990759999695,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.5,,,,,,,,,True,1.9630652999985614
lagrefresh4qabs8cand3,3.4638442558498355,31.9395245147705,32,1.8904109000068274,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.25,,,,,,,,,True,1.9630652999985614
qdriftqabs8cand3,3.3414857021707576,28.261083082834666,32,1.9292490000007092,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.8169642857142857,,,,,,,,,True,1.9630652999985614
qdriftheadqabs8cand3,3.4665352260053623,32.02558856798603,32,2.660552800000005,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.22077287946428573,,,,,,,,,True,1.9630652999985614
qdriftshareqabs8cand3,3.4754775739711476,32.31325682262503,32,2.1902164999992237,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.8091517857142857,,,,,,,,,True,1.9630652999985614
qdriftcosheadqabs8cand3,3.520625038043363,33.8055516176124,32,2.6106398000047193,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.22649274553571427,,,,,,,,,True,1.9630652999985614
pconf50qabs8cand3,3.8824719712138176,48.54406641055277,32,2.214448300001095,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.03578404017857143,,,,,,,,,True,1.9630652999985614
baseline,3.041793964453973,20.942780158243977,32,0.4229914000025019,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,True,1.9630652999985614
