task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
cwe_16384,full_kv,2,0.45,15235.5,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.014906762167811,1.0
cwe_32768,full_kv,1,0.0,31320.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,16.13739340379834,1.0
cwe_4096,full_kv,1,1.0,2790.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.046941335313022,1.0
cwe_8192,full_kv,1,0.9,7107.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.027915917336941,1.0
fwe_16384,full_kv,2,1.0,15794.5,27.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.133999458514154,1.0
fwe_32768,full_kv,1,1.0,32008.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.9757791114971042,1.0
fwe_4096,full_kv,1,0.6666666666666666,3938.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.219002641737461,1.0
fwe_8192,full_kv,1,0.6666666666666666,7354.0,33.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.623313675634563,1.0
niah_multikey_1_16384,full_kv,2,1.0,16027.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.34884116146713495,1.0
niah_multikey_1_32768,full_kv,1,1.0,32194.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6546434732154012,1.0
niah_multikey_1_4096,full_kv,1,1.0,3749.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.18181455694139004,1.0
niah_multikey_1_8192,full_kv,1,1.0,7439.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.24817923363298178,1.0
niah_multikey_2_16384,full_kv,2,1.0,16114.0,9.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8966091088950634,1.0
niah_multikey_2_32768,full_kv,1,1.0,32622.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6370812794193625,1.0
niah_multikey_2_4096,full_kv,1,1.0,3627.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6902219532057643,1.0
niah_multikey_2_8192,full_kv,1,1.0,7630.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.21609564125537872,1.0
niah_multikey_3_16384,full_kv,2,1.0,16112.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.9756357693113387,1.0
niah_multikey_3_32768,full_kv,1,1.0,31939.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.933924456126988,1.0
niah_multikey_3_4096,full_kv,1,1.0,3072.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8232403304427862,1.0
niah_multikey_3_8192,full_kv,1,1.0,7397.0,61.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.010439660400152,1.0
niah_multiquery_16384,full_kv,2,1.0,16054.5,54.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.640010887291282,1.0
niah_multiquery_32768,full_kv,1,1.0,32222.0,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.910779817961156,1.0
niah_multiquery_4096,full_kv,1,1.0,3791.0,56.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0906450347974896,1.0
niah_multiquery_8192,full_kv,1,1.0,7483.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1621013171970844,1.0
niah_multivalue_16384,full_kv,2,1.0,16030.5,43.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.7009407016448677,1.0
niah_multivalue_32768,full_kv,1,0.75,32190.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.4458865635097027,1.0
niah_multivalue_4096,full_kv,1,1.0,3762.0,44.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.6187589401379228,1.0
niah_multivalue_8192,full_kv,1,1.0,7441.0,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.1803013496100903,1.0
niah_single_1_16384,full_kv,2,1.0,15685.0,11.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7985212793573737,1.0
niah_single_1_32768,full_kv,1,1.0,32485.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5039439704269171,1.0
niah_single_1_4096,full_kv,1,1.0,3697.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.21641960181295872,1.0
niah_single_1_8192,full_kv,1,1.0,7891.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9028357416391373,1.0
