mode,loss,ppl,token_count,seconds,top_fraction,sign_xnor_candidate_fraction,recent_window_tokens,qabs_dim_count,qabs_candidate_fraction,kdom_key_dim_count,max_heads_per_token,limit_strategy,protected_sink_tokens,protected_recent_fraction,protected_recent_tokens,always_keep_self,qabs_fast_path,qabs_cuda_final_kernel,qabs_cuda_candidate_kernel,qabs_cuda_reuse_select_kernel,qabs_profile,qabs_candidate_selection,qabs_threshold_sample_size,lagged_refresh_fraction,full_head_map_path,full_layer_map_path,layer_budget_map_path,adaptive_low_tokens,adaptive_high_tokens,adaptive_low_fraction,adaptive_mean_margin,adaptive_margin_threshold,reuse_prefill_cache,shared_prefill_seconds
qabs8cand3reuse,0.05279516588382194,1.054213684073776,32,2.5259633000023314,,,,8,0.03,,,qabs_reuse_rerank,10,,10,True,True,False,False,False,,topk,,,,,,,,,,,True,2.054889999999432
qabs8cand3top2attn,0.082127906502933,1.0855946555657197,32,0.6848679999966407,0.02,,,8,0.03,,,qabs_candidate_top2_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,2.054889999999432
qabs8cand3top2globalattn,0.07124949779461076,1.0738491154340852,32,1.6249506000021938,0.02,,,8,0.03,,,qabs_candidate_top2_global_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,2.054889999999432
qabs8cand3sharedtop2attn,0.21392696097069575,1.2385321903008315,32,0.7075321000011172,0.02,,,8,0.03,,,qabs_shared_candidate_top2_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,2.054889999999432
qabs8cand3sharedr2attn,0.8993464180267097,2.457996084121205,32,0.9575163000044995,0.02,,,8,0.03,,,qabs_shared_reuse_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,2.054889999999432
qabs8cand3sharedr4attn,2.149177346055353,8.57779893369909,32,1.0297566000008374,0.02,,,8,0.03,,,qabs_shared_reuse_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,2.054889999999432
qabs8cand3sharedr8attn,3.1535238202455957,23.41844173366297,32,1.0423360999993747,0.02,,,8,0.03,,,qabs_shared_reuse_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,2.054889999999432
baseline,0.0007699427073362131,1.000770239189309,32,0.501659199995629,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,True,2.054889999999432
