condition,seed,bucket,sense_class,dominant_route_expert,best_function_expert,dominant_route_ce_delta,max_ce_delta,route_function_alignment
flat_uniform,20260521,tail,C_family_4,1,1,0.07439049202609264,0.07439049202609264,1.0
flat_uniform,20260521,tail,C_family_5,3,3,0.2799948821423944,0.2799948821423944,1.0
flat_uniform,20260521,tail,C_family_6,1,1,0.010683303039210537,0.010683303039210537,1.0
flat_uniform,20260521,tail,C_family_7,3,3,0.17268120627583508,0.17268120627583508,1.0
flat_uniform,20260521,tail,r_family_0,3,3,0.23261223705170173,0.23261223705170173,1.0
flat_uniform,20260521,tail,r_family_1,1,2,0.009987209118359413,0.01671205326298756,0.5976051512759499
flat_uniform,20260521,tail,r_family_2,1,1,0.1158465391624001,0.1158465391624001,1.0
flat_uniform,20260521,tail,r_family_3,1,2,0.0,0.05417545626369247,0.0
flat_uniform,20260521,tail,r_family_4,1,1,0.19409482484600935,0.19409482484600935,1.0
flat_uniform,20260521,tail,r_family_5,3,3,1.9700931504497325,1.9700931504497325,1.0
flat_uniform,20260521,tail,r_family_6,1,1,0.015358335766601764,0.015358335766601764,1.0
flat_uniform,20260521,tail,r_family_7,1,3,0.0,0.8802267029216939,0.0
flat_uniform,20260522,head,A_family_0,0,0,0.11759795416946872,0.11759795416946872,1.0
flat_uniform,20260522,head,A_family_1,0,0,0.20629502329150756,0.20629502329150756,1.0
flat_uniform,20260522,head,A_family_2,0,0,0.21862710747033512,0.21862710747033512,1.0
flat_uniform,20260522,head,A_family_3,0,0,0.05921563535108968,0.05921563535108968,1.0
flat_uniform,20260522,head,A_family_4,0,0,0.5786246905639322,0.5786246905639322,1.0
flat_uniform,20260522,head,A_family_5,0,0,0.1614213035281864,0.1614213035281864,1.0
flat_uniform,20260522,head,A_family_6,0,0,0.09138195957105684,0.09138195957105684,1.0
flat_uniform,20260522,head,A_family_7,3,3,1.0375495013443774,1.0375495013443774,1.0
flat_uniform,20260522,head,C_family_0,0,0,0.22085437742134673,0.22085437742134673,1.0
flat_uniform,20260522,head,C_family_1,0,0,0.27886200810705003,0.27886200810705003,1.0
flat_uniform,20260522,head,C_family_2,0,0,0.10298157093469247,0.10298157093469247,1.0
flat_uniform,20260522,head,C_family_3,0,0,0.10727780377783347,0.10727780377783347,1.0
flat_uniform,20260522,head,C_family_4,0,0,0.35137269825888023,0.35137269825888023,1.0
flat_uniform,20260522,head,C_family_5,0,0,0.05265164436544486,0.05265164436544486,1.0
flat_uniform,20260522,head,C_family_6,0,0,0.13144116447559404,0.13144116447559404,1.0
flat_uniform,20260522,head,C_family_7,0,0,0.26392850394161843,0.26392850394161843,1.0
flat_uniform,20260522,head,r_family_0,0,3,0.0,0.22326695442582906,0.0
flat_uniform,20260522,head,r_family_1,0,3,0.0,0.09085447446705075,0.0
flat_uniform,20260522,head,r_family_2,0,3,0.0,0.7401099470977593,0.0
flat_uniform,20260522,head,r_family_3,0,3,0.0,0.17911791125758705,0.0
flat_uniform,20260522,head,r_family_4,0,3,0.0,0.19857823941371558,0.0
flat_uniform,20260522,head,r_family_5,3,3,0.17032018271493143,0.17032018271493143,1.0
flat_uniform,20260522,head,r_family_6,3,3,0.32063111773216707,0.32063111773216707,1.0
flat_uniform,20260522,head,r_family_7,3,3,0.2680453198372561,0.2680453198372561,1.0
flat_uniform,20260522,middle,A_family_0,0,0,0.1381640353314045,0.1381640353314045,1.0
flat_uniform,20260522,middle,A_family_1,0,0,0.31087169334629533,0.31087169334629533,1.0
flat_uniform,20260522,middle,A_family_2,0,0,0.22670733502794366,0.22670733502794366,1.0
flat_uniform,20260522,middle,A_family_3,0,0,0.11218716167968523,0.11218716167968523,1.0
flat_uniform,20260522,middle,A_family_4,0,0,0.7461351851331226,0.7461351851331226,1.0
flat_uniform,20260522,middle,A_family_5,0,0,0.1261670834871135,0.1261670834871135,1.0
flat_uniform,20260522,middle,A_family_6,0,0,0.10892544042447601,0.10892544042447601,1.0
flat_uniform,20260522,middle,A_family_7,0,3,0.13836730597419472,0.9603053727062919,0.14408677688041444
