condition,seed,bucket,sense_class,S_sense,S_sense_expert
flat_uniform,20260522,middle,C_family_1,0.0,1
flat_uniform,20260522,middle,C_family_2,0.0,1
flat_uniform,20260522,middle,C_family_3,0.0,1
flat_uniform,20260522,middle,C_family_4,0.0,1
flat_uniform,20260522,middle,C_family_5,0.0,1
flat_uniform,20260522,middle,C_family_6,0.0,1
flat_uniform,20260522,middle,C_family_7,0.0,1
flat_uniform,20260522,middle,r_family_0,0.0,1
flat_uniform,20260522,middle,r_family_1,0.0,1
flat_uniform,20260522,middle,r_family_2,0.0,1
flat_uniform,20260522,middle,r_family_3,0.0,1
flat_uniform,20260522,middle,r_family_4,0.0,1
flat_uniform,20260522,middle,r_family_5,0.0,1
flat_uniform,20260522,middle,r_family_6,0.0,1
flat_uniform,20260522,middle,r_family_7,0.0,1
flat_uniform,20260522,tail,A_family_0,0.0,1
flat_uniform,20260522,tail,A_family_1,0.0,1
flat_uniform,20260522,tail,A_family_2,0.0,1
flat_uniform,20260522,tail,A_family_3,0.0,1
flat_uniform,20260522,tail,A_family_4,0.0,1
flat_uniform,20260522,tail,A_family_5,0.0,1
flat_uniform,20260522,tail,A_family_6,0.0,1
flat_uniform,20260522,tail,A_family_7,0.16243206030564283,3
flat_uniform,20260522,tail,C_family_0,0.0,1
flat_uniform,20260522,tail,C_family_1,0.0,1
flat_uniform,20260522,tail,C_family_2,0.0,1
flat_uniform,20260522,tail,C_family_3,0.0,1
flat_uniform,20260522,tail,C_family_4,0.041678474489647954,0
flat_uniform,20260522,tail,C_family_5,0.0,1
flat_uniform,20260522,tail,C_family_6,0.0,1
flat_uniform,20260522,tail,C_family_7,0.0,1
flat_uniform,20260522,tail,r_family_0,0.0,1
flat_uniform,20260522,tail,r_family_1,0.0,1
flat_uniform,20260522,tail,r_family_2,0.0,1
flat_uniform,20260522,tail,r_family_3,0.0,1
flat_uniform,20260522,tail,r_family_4,0.0,1
flat_uniform,20260522,tail,r_family_5,0.0,1
flat_uniform,20260522,tail,r_family_6,0.0,1
flat_uniform,20260522,tail,r_family_7,0.0,1
flat_uniform,20260523,head,A_family_0,0.0,1
flat_uniform,20260523,head,A_family_1,0.0,1
flat_uniform,20260523,head,A_family_2,0.0,1
flat_uniform,20260523,head,A_family_3,0.0,1
flat_uniform,20260523,head,A_family_4,0.0,1
flat_uniform,20260523,head,A_family_5,0.0,1
flat_uniform,20260523,head,A_family_6,0.0,1
flat_uniform,20260523,head,A_family_7,0.0,1
flat_uniform,20260523,head,C_family_0,0.0,1
flat_uniform,20260523,head,C_family_1,0.558428969739301,0
flat_uniform,20260523,head,C_family_2,0.0,1
flat_uniform,20260523,head,C_family_3,0.0,1
flat_uniform,20260523,head,C_family_4,0.0,1
flat_uniform,20260523,head,C_family_5,0.0,1
flat_uniform,20260523,head,C_family_6,0.0,1
flat_uniform,20260523,head,C_family_7,0.0,1
flat_uniform,20260523,head,r_family_0,0.0,1
flat_uniform,20260523,head,r_family_1,0.0,1
flat_uniform,20260523,head,r_family_2,1.395532399964092,2
flat_uniform,20260523,head,r_family_3,0.0,1
flat_uniform,20260523,head,r_family_4,0.0,1
flat_uniform,20260523,head,r_family_5,0.1859163628960232,3
flat_uniform,20260523,head,r_family_6,0.0,1
flat_uniform,20260523,head,r_family_7,0.0,1
flat_uniform,20260523,middle,A_family_0,0.0,1
flat_uniform,20260523,middle,A_family_1,0.0,1
flat_uniform,20260523,middle,A_family_2,0.0,1
flat_uniform,20260523,middle,A_family_3,0.0,1
flat_uniform,20260523,middle,A_family_4,0.0,1
flat_uniform,20260523,middle,A_family_5,0.0,1
flat_uniform,20260523,middle,A_family_6,0.0,1
flat_uniform,20260523,middle,A_family_7,0.0,1
flat_uniform,20260523,middle,C_family_0,0.0,1
flat_uniform,20260523,middle,C_family_1,0.009146823466532283,0
flat_uniform,20260523,middle,C_family_2,0.0,1
flat_uniform,20260523,middle,C_family_3,0.0,1
flat_uniform,20260523,middle,C_family_4,0.0,1
flat_uniform,20260523,middle,C_family_5,0.0,1
flat_uniform,20260523,middle,C_family_6,0.0,1
flat_uniform,20260523,middle,C_family_7,0.0,1
flat_uniform,20260523,middle,r_family_0,0.0,1
flat_uniform,20260523,middle,r_family_1,0.0,1
flat_uniform,20260523,middle,r_family_2,0.9180195146970314,2
flat_uniform,20260523,middle,r_family_3,0.0,1
flat_uniform,20260523,middle,r_family_4,0.4743148425635202,3
flat_uniform,20260523,middle,r_family_5,0.0,1
flat_uniform,20260523,middle,r_family_6,0.0,1
flat_uniform,20260523,middle,r_family_7,0.0,1
flat_uniform,20260523,tail,A_family_0,0.0,1
flat_uniform,20260523,tail,A_family_1,0.0,1
flat_uniform,20260523,tail,A_family_2,0.0,1
flat_uniform,20260523,tail,A_family_3,0.0,1
flat_uniform,20260523,tail,A_family_4,0.0,1
flat_uniform,20260523,tail,A_family_5,0.0,1
flat_uniform,20260523,tail,A_family_6,0.0,1
flat_uniform,20260523,tail,A_family_7,0.0,1
flat_uniform,20260523,tail,C_family_0,0.0,1
flat_uniform,20260523,tail,C_family_1,0.0,1
flat_uniform,20260523,tail,C_family_2,0.0,1
flat_uniform,20260523,tail,C_family_3,0.0,1
flat_uniform,20260523,tail,C_family_4,0.0,1
flat_uniform,20260523,tail,C_family_5,0.24151539422928192,0
flat_uniform,20260523,tail,C_family_6,0.0,1
flat_uniform,20260523,tail,C_family_7,0.0,1
flat_uniform,20260523,tail,r_family_0,0.0,1
flat_uniform,20260523,tail,r_family_1,0.0,1
flat_uniform,20260523,tail,r_family_2,1.0135534084814328,2
flat_uniform,20260523,tail,r_family_3,0.0,1
flat_uniform,20260523,tail,r_family_4,0.0,1
flat_uniform,20260523,tail,r_family_5,0.21106457586150407,3
flat_uniform,20260523,tail,r_family_6,0.0,1
flat_uniform,20260523,tail,r_family_7,0.0,1
flat_uniform,20260524,head,A_family_0,0.0,0
flat_uniform,20260524,head,A_family_1,0.0,0
flat_uniform,20260524,head,A_family_2,0.0,0
flat_uniform,20260524,head,A_family_3,0.0,0
flat_uniform,20260524,head,A_family_4,0.0,0
flat_uniform,20260524,head,A_family_5,0.0,0
flat_uniform,20260524,head,A_family_6,0.0,0
flat_uniform,20260524,head,A_family_7,0.21907680006794783,2
flat_uniform,20260524,head,C_family_0,0.0,0
flat_uniform,20260524,head,C_family_1,0.0,0
flat_uniform,20260524,head,C_family_2,0.0,0
flat_uniform,20260524,head,C_family_3,0.0,0
flat_uniform,20260524,head,C_family_4,0.0,0
flat_uniform,20260524,head,C_family_5,0.0,0
flat_uniform,20260524,head,C_family_6,0.0,0
flat_uniform,20260524,head,C_family_7,0.0,0
flat_uniform,20260524,head,r_family_0,0.08600694086999278,1
flat_uniform,20260524,head,r_family_1,0.0,0
flat_uniform,20260524,head,r_family_2,0.0,0
flat_uniform,20260524,head,r_family_3,0.0,0
flat_uniform,20260524,head,r_family_4,0.0,0
flat_uniform,20260524,head,r_family_5,0.0,0
flat_uniform,20260524,head,r_family_6,0.0,0
flat_uniform,20260524,head,r_family_7,0.0,0
flat_uniform,20260524,middle,A_family_0,0.0,0
flat_uniform,20260524,middle,A_family_1,0.0,0
flat_uniform,20260524,middle,A_family_2,0.0,0
flat_uniform,20260524,middle,A_family_3,0.0,0
flat_uniform,20260524,middle,A_family_4,0.0,0
flat_uniform,20260524,middle,A_family_5,0.18190702880929166,2
flat_uniform,20260524,middle,A_family_6,0.0,0
flat_uniform,20260524,middle,A_family_7,0.0,0
flat_uniform,20260524,middle,C_family_0,0.0,0
flat_uniform,20260524,middle,C_family_1,0.0,0
flat_uniform,20260524,middle,C_family_2,0.0,0
flat_uniform,20260524,middle,C_family_3,0.0,0
flat_uniform,20260524,middle,C_family_4,0.0,0
flat_uniform,20260524,middle,C_family_5,0.0,0
flat_uniform,20260524,middle,C_family_6,0.0,0
flat_uniform,20260524,middle,C_family_7,0.0,0
flat_uniform,20260524,middle,r_family_0,0.0,0
flat_uniform,20260524,middle,r_family_1,0.0,0
flat_uniform,20260524,middle,r_family_2,0.25304499744561326,1
flat_uniform,20260524,middle,r_family_3,0.0,0
flat_uniform,20260524,middle,r_family_4,0.0,0
flat_uniform,20260524,middle,r_family_5,0.0,0
flat_uniform,20260524,middle,r_family_6,0.0,0
flat_uniform,20260524,middle,r_family_7,0.0,0
flat_uniform,20260524,tail,A_family_0,0.0,0
flat_uniform,20260524,tail,A_family_1,0.0,0
flat_uniform,20260524,tail,A_family_2,0.0,0
flat_uniform,20260524,tail,A_family_3,0.0,0
flat_uniform,20260524,tail,A_family_4,0.0,0
flat_uniform,20260524,tail,A_family_5,0.2790316077159029,2
flat_uniform,20260524,tail,A_family_6,0.0,0
flat_uniform,20260524,tail,A_family_7,0.0,0
flat_uniform,20260524,tail,C_family_0,0.0,0
flat_uniform,20260524,tail,C_family_1,0.0,0
flat_uniform,20260524,tail,C_family_2,0.0,0
flat_uniform,20260524,tail,C_family_3,0.0,0
flat_uniform,20260524,tail,C_family_4,0.0,0
flat_uniform,20260524,tail,C_family_5,0.0,0
flat_uniform,20260524,tail,C_family_6,0.0,0
flat_uniform,20260524,tail,C_family_7,0.0,0
flat_uniform,20260524,tail,r_family_0,0.0,0
flat_uniform,20260524,tail,r_family_1,0.0,0
flat_uniform,20260524,tail,r_family_2,0.41016593571112026,1
flat_uniform,20260524,tail,r_family_3,0.0,0
flat_uniform,20260524,tail,r_family_4,0.0,0
flat_uniform,20260524,tail,r_family_5,0.0,0
flat_uniform,20260524,tail,r_family_6,0.0,0
flat_uniform,20260524,tail,r_family_7,0.0,0
flat_zipfian,20260521,head,A_family_0,0.09005272411983847,3
flat_zipfian,20260521,head,A_family_1,0.0,2
flat_zipfian,20260521,head,A_family_2,0.0,2
flat_zipfian,20260521,head,A_family_3,0.0,2
flat_zipfian,20260521,head,A_family_4,0.0,2
flat_zipfian,20260521,head,A_family_5,0.0,2
flat_zipfian,20260521,head,A_family_6,0.28442014202058385,0
flat_zipfian,20260521,head,A_family_7,0.0,2
flat_zipfian,20260521,head,C_family_0,0.0,2
flat_zipfian,20260521,head,C_family_1,0.0,2
flat_zipfian,20260521,head,C_family_2,3.128018996384829,1
flat_zipfian,20260521,head,C_family_3,0.0,2
flat_zipfian,20260521,head,C_family_4,0.0,2
flat_zipfian,20260521,head,C_family_5,0.0,2
flat_zipfian,20260521,head,C_family_6,0.0,2
flat_zipfian,20260521,head,C_family_7,0.0,2
flat_zipfian,20260521,head,r_family_0,0.0,2
flat_zipfian,20260521,head,r_family_1,0.0,2
flat_zipfian,20260521,head,r_family_2,0.0,2
flat_zipfian,20260521,head,r_family_3,0.0,2
flat_zipfian,20260521,head,r_family_4,0.0,2
flat_zipfian,20260521,head,r_family_5,0.0,2
flat_zipfian,20260521,head,r_family_6,0.0,2
flat_zipfian,20260521,head,r_family_7,0.0,2
flat_zipfian,20260521,middle,A_family_0,0.0,2
flat_zipfian,20260521,middle,A_family_1,0.0,2
flat_zipfian,20260521,middle,A_family_2,0.0,2
flat_zipfian,20260521,middle,A_family_3,0.0,2
flat_zipfian,20260521,middle,A_family_4,0.0,2
flat_zipfian,20260521,middle,A_family_5,0.0,2
flat_zipfian,20260521,middle,A_family_6,0.3320854541598237,0
flat_zipfian,20260521,middle,A_family_7,0.0,2
flat_zipfian,20260521,middle,C_family_0,0.061639560448990494,3
flat_zipfian,20260521,middle,C_family_1,0.0,2
flat_zipfian,20260521,middle,C_family_2,3.2259961930455265,1
flat_zipfian,20260521,middle,C_family_3,0.0,2
flat_zipfian,20260521,middle,C_family_4,0.0,2
flat_zipfian,20260521,middle,C_family_5,0.0,2
flat_zipfian,20260521,middle,C_family_6,0.0,2
flat_zipfian,20260521,middle,C_family_7,0.0,2
flat_zipfian,20260521,middle,r_family_0,0.0,2
flat_zipfian,20260521,middle,r_family_1,0.0,2
flat_zipfian,20260521,middle,r_family_2,0.0,2
flat_zipfian,20260521,middle,r_family_3,0.0,2
flat_zipfian,20260521,middle,r_family_4,0.0,2
flat_zipfian,20260521,middle,r_family_5,0.0,2
flat_zipfian,20260521,middle,r_family_6,0.0,2
flat_zipfian,20260521,middle,r_family_7,0.0,2
flat_zipfian,20260521,tail,A_family_0,0.0,2
flat_zipfian,20260521,tail,A_family_1,0.0,2
flat_zipfian,20260521,tail,A_family_2,0.0,2
flat_zipfian,20260521,tail,A_family_3,0.0,2
flat_zipfian,20260521,tail,A_family_4,0.0,2
flat_zipfian,20260521,tail,A_family_5,0.0,2
flat_zipfian,20260521,tail,A_family_6,0.043970062295557,0
flat_zipfian,20260521,tail,A_family_7,0.0,2
flat_zipfian,20260521,tail,C_family_0,0.07479542154881831,3
flat_zipfian,20260521,tail,C_family_1,0.0,2
flat_zipfian,20260521,tail,C_family_2,2.2338723192575953,1
flat_zipfian,20260521,tail,C_family_3,0.0,2
flat_zipfian,20260521,tail,C_family_4,0.0,2
flat_zipfian,20260521,tail,C_family_5,0.0,2
flat_zipfian,20260521,tail,C_family_6,0.0,2
flat_zipfian,20260521,tail,C_family_7,0.0,2
flat_zipfian,20260521,tail,r_family_0,0.0,2
flat_zipfian,20260521,tail,r_family_1,0.0,2
flat_zipfian,20260521,tail,r_family_2,0.0,2
flat_zipfian,20260521,tail,r_family_3,0.0,2
flat_zipfian,20260521,tail,r_family_4,0.0,2
flat_zipfian,20260521,tail,r_family_5,0.0,2
flat_zipfian,20260521,tail,r_family_6,0.0,2
flat_zipfian,20260521,tail,r_family_7,0.0,2
flat_zipfian,20260522,head,A_family_0,0.0,1
flat_zipfian,20260522,head,A_family_1,0.0,1
flat_zipfian,20260522,head,A_family_2,0.0,1
flat_zipfian,20260522,head,A_family_3,1.090690913383393,3
flat_zipfian,20260522,head,A_family_4,0.0,1
flat_zipfian,20260522,head,A_family_5,0.0,1
flat_zipfian,20260522,head,A_family_6,0.0,1
flat_zipfian,20260522,head,A_family_7,0.0,1
flat_zipfian,20260522,head,C_family_0,0.0,1
flat_zipfian,20260522,head,C_family_1,0.008294500468158123,2
