condition,bucket,num_rows,route_function_alignment_mean,max_ce_delta_mean
flat_uniform,head,96,0.7713965442932403,0.29182491943884586
flat_uniform,middle,96,0.8166220711635189,0.29203836723893545
flat_uniform,tail,96,0.7777266233080796,0.27842705289209996
flat_zipfian,head,96,0.8541666666666666,0.5078245029823197
flat_zipfian,middle,96,0.8128098865143855,0.6826156324661037
flat_zipfian,tail,96,0.7929714686822026,0.7954411705775519
hierarchical_zipfian,head,96,0.8431697261390971,0.1134916698977722
hierarchical_zipfian,middle,96,0.3480195408895402,0.10630104252856953
hierarchical_zipfian,tail,96,-0.069328924670009,0.156275014978942
