case_id,label,blocks,best_fixed_combo,best_fixed_delta_ppl,top2_delta_ppl,cond_rescue_delta_ppl,oracle_delta_ppl,cond_minus_fixed,cond_oracle_gap,top2_oracle_gap,cond_corrected_gate_s,cond_corrected_method_ratio,cond_extended,cond_unique_combos,cond_combo_switches,top2_combos,cond_combos,oracle_combos,interpretation
hardtopic_eval128,Hard-topic eval128,4,"0,6",-0.0207440325309991,0.004371199895214728,-0.04963256962535256,-0.04963256962535245,-0.02888853709435346,-1.1102230246251565e-16,0.05400376952056718,89.6236840065103,6.226846438549734,4,2,2,"0,7/2,0,7,12/0,6/0,13","0,6/2,0,7,12/0,6/0,6","0,6/2,0,7,12/0,6/0,6",conditional rescue 修复 top2 delayed-win failure，并达到 blockwise oracle。
war,War and Peace,2,"0,7",-2.1353107652764862,-2.1353107652764862,-2.1353107652764862,-2.1353107652764862,0.0,0.0,0.0,6.65858160587959,2.6025445173945294,0,1,0,"0,7/0,7","0,7/0,7","0,7/0,7",easy regime；固定策略、top2 和 conditional rescue 质量相同，主要用于证明 rescue gate 不破坏质量。
monte,Count of Monte Cristo,2,"2,0",-0.009004764951336952,-0.21921516148621478,-0.21921516148621478,-0.21921516148621478,-0.21021039653487783,0.0,0.0,10.011165463132784,3.392202434358002,2,2,1,"2,7/2,0","2,7/2,0","2,7/2,0",online blockwise selection 明显优于 best fixed，说明不是离线固定 combo 可替代。
