case_id,label,blocks,best_fixed_combo,best_fixed_delta_ppl,best_fixed_ratio,online_delta_ppl,online_selected_ratio,online_method_ratio,online_gate_s,online_cascade_extended,online_cascade_early,online_combos,oracle_delta_ppl,oracle_ratio,oracle_combos,online_vs_fixed_delta,online_vs_oracle_gap
hardtopic_eval64,Hard-topic eval64,4,"0,6",-0.012719164544254258,1.037110763636165,-0.07694001520256055,1.0429420755293144,4.028195737820437,25.39245048072189,3,1,"0,7;0,6;0,13;2,0,7,12",-0.07694001520256055,1.0493290801332855,"0,7;0,6;0,13;2,0,7,12",-0.0642208506583063,0.0
hardtopic_eval128,Hard-topic eval128,4,"0,6",-0.0207440325309991,1.0367618305725559,0.004371199895214728,1.0365886574241427,2.647836951537057,27.084729248890653,1,3,"0,7;2,0,7,12;0,6;0,13",-0.04963256962535245,1.0431668444082294,"0,6;2,0,7,12;0,6;0,6",0.02511523242621383,0.05400376952056718
war,War and Peace,2,"0,7",-2.1353107652764862,1.0401741618771287,-2.1353107652764862,1.0378261047715334,2.5955633509292877,6.5436484010424465,0,2,"0,7;0,7",-2.1353107652764862,1.0401741618771287,"0,7;0,7",0.0,0.0
monte,Count of Monte Cristo,2,"2,0",-0.009004764951336952,1.0418161916980402,-0.21921516148621478,1.036708319186785,2.5957511980460954,6.573191084899008,2,0,"2,7;2,0",-0.21921516148621478,1.0424089561379883,"2,7;2,0",-0.21021039653487783,0.0
