case_id,task,blocks,extended_blocks,no_change_extended_blocks,anchor_no_change_extended_blocks,extension_seconds,avoidable_seconds_if_initial_kept,avoidable_fraction_if_initial_kept,avoidable_seconds_if_anchor_hit_kept,avoidable_fraction_if_anchor_hit_kept,avg_delta_ppl
hard,hard,4,4,2,1,35.75813880003989,15.621618838049471,0.4368689020814485,4.446120047010481,0.12433868753273931,-0.04963256962535256
monte,monte,2,2,1,0,5.531878104899079,2.210881700972095,0.39966204226628194,0,0.0,-0.21921516148621478
needle,needle,4,4,2,2,28.798039032379165,13.313825907418504,0.4623171005653914,13.313825907418504,0.4623171005653914,-0.00016552568177813365
ruler_multineedle,ruler_multineedle,3,3,1,1,13.248703607358038,4.9720651388634,0.37528691758958393,4.9720651388634,0.37528691758958393,7.392180945253735e-05
ruler_topicswitch,ruler_topicswitch,3,3,2,2,9.899909275118262,6.619698556140065,0.668662547522284,6.619698556140065,0.668662547522284,0.00013947970591599024
ruler_variable,ruler_variable,3,3,1,1,11.536857063649222,4.95043985103257,0.4290977883942593,4.95043985103257,0.4290977883942593,-0.000564053907284201
war,war,2,0,0,0,0,0,0.0,0,0.0,-2.1353107652764862
