step,tokens,loss,model
1380,180879360,5.6043,old_baseline_4e_top1
1390,182190080,5.6013,old_baseline_4e_top1
1400,183500800,5.6355,old_baseline_4e_top1
1410,184811520,5.574,old_baseline_4e_top1
1420,186122240,5.6039,old_baseline_4e_top1
1430,187432960,5.6448,old_baseline_4e_top1
1440,188743680,5.5863,old_baseline_4e_top1
1450,190054400,5.5669,old_baseline_4e_top1
1460,191365120,5.5609,old_baseline_4e_top1
1470,192675840,5.4786,old_baseline_4e_top1
1480,193986560,5.5712,old_baseline_4e_top1
1490,195297280,5.4657,old_baseline_4e_top1
1500,196608000,5.5966,old_baseline_4e_top1
1510,197918720,5.4748,old_baseline_4e_top1
1520,199229440,5.5064,old_baseline_4e_top1
1530,200540160,5.4762,old_baseline_4e_top1
1540,201850880,5.5111,old_baseline_4e_top1
1550,203161600,5.4132,old_baseline_4e_top1
1560,204472320,5.4351,old_baseline_4e_top1
1570,205783040,5.5209,old_baseline_4e_top1
1580,207093760,5.4195,old_baseline_4e_top1
1590,208404480,5.3267,old_baseline_4e_top1
1600,209715200,5.361,old_baseline_4e_top1
1610,211025920,5.3996,old_baseline_4e_top1
1620,212336640,5.528,old_baseline_4e_top1
1630,213647360,5.3188,old_baseline_4e_top1
1640,214958080,5.3637,old_baseline_4e_top1
1650,216268800,5.3235,old_baseline_4e_top1
1660,217579520,5.3649,old_baseline_4e_top1
1670,218890240,5.38,old_baseline_4e_top1
1680,220200960,5.3498,old_baseline_4e_top1
1690,221511680,5.2275,old_baseline_4e_top1
1700,222822400,5.2616,old_baseline_4e_top1
1710,224133120,5.3345,old_baseline_4e_top1
1720,225443840,5.3288,old_baseline_4e_top1
1730,226754560,5.2587,old_baseline_4e_top1
1740,228065280,5.355,old_baseline_4e_top1
1750,229376000,5.2302,old_baseline_4e_top1
1760,230686720,5.2573,old_baseline_4e_top1
1770,231997440,5.2915,old_baseline_4e_top1
1780,233308160,5.2632,old_baseline_4e_top1
1790,234618880,5.1922,old_baseline_4e_top1
1800,235929600,5.22,old_baseline_4e_top1
1810,237240320,5.2301,old_baseline_4e_top1
1820,238551040,5.1666,old_baseline_4e_top1
1830,239861760,5.2443,old_baseline_4e_top1
1840,241172480,5.2962,old_baseline_4e_top1
1850,242483200,5.1731,old_baseline_4e_top1
1860,243793920,5.2308,old_baseline_4e_top1
1870,245104640,5.1521,old_baseline_4e_top1
1880,246415360,5.1225,old_baseline_4e_top1
1890,247726080,5.1086,old_baseline_4e_top1
1900,249036800,5.1065,old_baseline_4e_top1
1910,250347520,5.1454,old_baseline_4e_top1
1920,251658240,5.1602,old_baseline_4e_top1
1930,252968960,5.1531,old_baseline_4e_top1
1940,254279680,5.1773,old_baseline_4e_top1
1950,255590400,5.1226,old_baseline_4e_top1
1960,256901120,5.0912,old_baseline_4e_top1
1970,258211840,5.0716,old_baseline_4e_top1
1980,259522560,4.9647,old_baseline_4e_top1
1990,260833280,5.1006,old_baseline_4e_top1
2000,262144000,5.1148,old_baseline_4e_top1
2010,263454720,5.0028,old_baseline_4e_top1
2020,264765440,5.008,old_baseline_4e_top1
2030,266076160,5.0726,old_baseline_4e_top1
2040,267386880,5.0518,old_baseline_4e_top1
2050,268697600,5.0677,old_baseline_4e_top1
2060,270008320,5.0542,old_baseline_4e_top1
2070,271319040,5.0099,old_baseline_4e_top1
2080,272629760,4.9695,old_baseline_4e_top1
2090,273940480,4.9671,old_baseline_4e_top1
2100,275251200,5.0233,old_baseline_4e_top1
2110,276561920,5.0443,old_baseline_4e_top1
2120,277872640,5.0737,old_baseline_4e_top1
2130,279183360,4.9544,old_baseline_4e_top1
2140,280494080,4.9689,old_baseline_4e_top1
2150,281804800,4.9459,old_baseline_4e_top1
2160,283115520,4.9535,old_baseline_4e_top1
2170,284426240,4.9206,old_baseline_4e_top1
2180,285736960,4.9214,old_baseline_4e_top1
2190,287047680,4.7623,old_baseline_4e_top1
2200,288358400,4.9562,old_baseline_4e_top1
2210,289669120,4.9462,old_baseline_4e_top1
2220,290979840,4.8818,old_baseline_4e_top1
2230,292290560,4.8744,old_baseline_4e_top1
2240,293601280,4.9463,old_baseline_4e_top1
2250,294912000,4.9594,old_baseline_4e_top1
2260,296222720,4.8847,old_baseline_4e_top1
2270,297533440,4.8487,old_baseline_4e_top1
2280,298844160,4.9132,old_baseline_4e_top1
2290,300154880,4.8653,old_baseline_4e_top1
2300,301465600,5.0178,old_baseline_4e_top1
2310,302776320,4.8808,old_baseline_4e_top1
2320,304087040,4.815,old_baseline_4e_top1
2330,305397760,4.9341,old_baseline_4e_top1
2340,306708480,4.876,old_baseline_4e_top1
2350,308019200,4.8717,old_baseline_4e_top1
2360,309329920,4.7677,old_baseline_4e_top1
2370,310640640,4.7904,old_baseline_4e_top1
2380,311951360,4.7383,old_baseline_4e_top1
2390,313262080,4.8058,old_baseline_4e_top1
2400,314572800,4.8082,old_baseline_4e_top1
2410,315883520,4.8495,old_baseline_4e_top1
2420,317194240,4.8351,old_baseline_4e_top1
2430,318504960,4.7818,old_baseline_4e_top1
2440,319815680,4.8521,old_baseline_4e_top1
2450,321126400,4.7326,old_baseline_4e_top1
2460,322437120,4.7424,old_baseline_4e_top1
2470,323747840,4.7912,old_baseline_4e_top1
2480,325058560,4.7427,old_baseline_4e_top1
2490,326369280,4.6767,old_baseline_4e_top1
2500,327680000,4.7728,old_baseline_4e_top1
2510,328990720,4.7433,old_baseline_4e_top1
2520,330301440,4.6966,old_baseline_4e_top1
2530,331612160,4.752,old_baseline_4e_top1
2540,332922880,4.7487,old_baseline_4e_top1
2550,334233600,4.8067,old_baseline_4e_top1
