model,label,n_points_clipped,common_tokens_B,final_loss_in_clip,loss_at_3p0B
old_baseline_4e_top1,baseline (4e top1),2324,3.046,3.5086,3.5035
new_svroute_fullinput_4e_top1,F-MoE: SV route + full input,2324,3.046,3.5072,3.5183
