task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
cwe_16384,full_kv,1,0.6,15258.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.139259058050811,1.0
cwe_32768,full_kv,1,0.6,31383.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.934921775944531,1.0
cwe_4096,full_kv,2,0.95,2871.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.7703254059888422,1.0
cwe_8192,full_kv,1,0.9,6942.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.4853229727596045,1.0
fwe_16384,full_kv,1,1.0,15827.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0311718257144094,1.0
fwe_32768,full_kv,1,1.0,31451.0,34.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.548678956925869,1.0
fwe_4096,full_kv,2,0.8333333333333333,4024.5,34.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1245420714840293,1.0
fwe_8192,full_kv,1,0.6666666666666666,7393.0,33.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.3205806529149413,1.0
niah_multikey_1_16384,full_kv,1,1.0,16027.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2788867997005582,1.0
niah_multikey_1_32768,full_kv,1,0.0,32201.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.46813601069152355,1.0
niah_multikey_1_4096,full_kv,2,1.0,3757.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.16964037297293544,1.0
niah_multikey_1_8192,full_kv,1,1.0,7450.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.21088348235934973,1.0
niah_multikey_2_16384,full_kv,1,1.0,16172.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2801522184163332,1.0
niah_multikey_2_32768,full_kv,1,1.0,32579.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.48978869523853064,1.0
niah_multikey_2_4096,full_kv,2,1.0,3661.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1388744111172855,1.0
niah_multikey_2_8192,full_kv,1,1.0,7654.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1759110363200307,1.0
niah_multikey_3_16384,full_kv,1,1.0,16041.0,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5687833670526743,1.0
niah_multikey_3_32768,full_kv,1,1.0,32040.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.497906601987779,1.0
niah_multikey_3_4096,full_kv,2,1.0,3046.5,55.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.8088202141225338,1.0
niah_multikey_3_8192,full_kv,1,1.0,7379.0,61.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.3851973488926888,1.0
niah_multiquery_16384,full_kv,1,0.5,16059.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6573760360479355,1.0
niah_multiquery_32768,full_kv,1,1.0,32219.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.4061826625838876,1.0
niah_multiquery_4096,full_kv,2,1.0,3791.0,69.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.313145949970931,1.0
