mode,loss,ppl,token_count,seconds,top_fraction,sign_xnor_candidate_fraction,recent_window_tokens,qabs_dim_count,qabs_candidate_fraction,kdom_key_dim_count,max_heads_per_token,limit_strategy,protected_sink_tokens,protected_recent_fraction,protected_recent_tokens,always_keep_self,qabs_fast_path,qabs_cuda_final_kernel,qabs_cuda_candidate_kernel,qabs_cuda_reuse_select_kernel,qabs_profile,qabs_candidate_selection,qabs_threshold_sample_size,lagged_refresh_fraction,full_head_map_path,full_layer_map_path,layer_budget_map_path,adaptive_low_tokens,adaptive_high_tokens,adaptive_low_fraction,adaptive_mean_margin,adaptive_margin_threshold,reuse_prefill_cache,shared_prefill_seconds
qabs8cand3reuse,0.05279516588382194,1.054213684073776,32,2.276886599996942,,,,8,0.03,,,qabs_reuse_rerank,10,,10,True,True,False,False,False,,topk,,,,,,,,,,,True,1.8925545000020065
lagrefresh2qabs8cand3,0.6948763237882076,2.0034612781169163,32,2.0739711000060197,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.5,,,,,,,,,True,1.8925545000020065
lagrefresh4qabs8cand3,1.7843354399761893,5.955620764693768,32,1.828952299998491,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.25,,,,,,,,,True,1.8925545000020065
qdriftqabs8cand3,0.06546899515967652,1.0676596341838445,32,2.0362658000012743,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.8102678571428571,,,,,,,,,True,1.8925545000020065
qdriftheadqabs8cand3,0.9566532039360709,2.6029702685050395,32,2.604557400001795,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.23151506696428573,,,,,,,,,True,1.8925545000020065
qdriftshareqabs8cand3,0.25763331522898625,1.2938642912972054,32,2.0263237999970443,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.7912946428571429,,,,,,,,,True,1.8925545000020065
qdriftcosheadqabs8cand3,1.1355333208742877,3.1128332392351,32,2.508331900004123,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.23472377232142858,,,,,,,,,True,1.8925545000020065
pconf50qabs8cand3,4.819055035167025,123.84800345893363,32,2.4868492999958107,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.03857421875,,,,,,,,,True,1.8925545000020065
baseline,0.0007699427073362131,1.000770239189309,32,0.41185419999965234,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,True,1.8925545000020065
