benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
__overall__,__overall__,full_raw,80,1,0.08920552385441413,1.0,4001.9625,1.0,4.943155684869271,1.0
__overall__,__overall__,recent_plus_retrieval_raw_k2,80,0.975,0.08986598222358383,0.975,2908.5625,0.7267840465771481,4.551827073999448,1.0859717657344974
__overall__,__overall__,recent_plus_span_top3_b0_a0,80,1,0.09211194310277993,1.0,2606.9875,0.651427268496394,4.460779194819042,1.1081372713113626
__overall__,__overall__,router_safe_v5,80,1,0.09211194310277993,1.0,2592,0.647682230905462,4.452886209264397,1.11010150553249
ruler_4096,cwe,full_raw,10,1,0.10493247332377767,1.0,5197.4,1.0,5.489311652025208,1.0
ruler_4096,cwe,recent_plus_retrieval_raw_k2,10,1,0.11066007905138339,1.0,3869.1,0.744429907261323,5.058681660983711,1.0851269203916967
ruler_4096,cwe,recent_plus_span_top3_b0_a0,10,1,0.10851998243302591,1.0,2613.3,0.5028090968561204,4.553417265508324,1.2055367061582933
ruler_4096,cwe,router_safe_v5,10,1,0.10851998243302591,1.0,2613.3,0.5028090968561204,4.645862543443218,1.1815484424463578
ruler_4096,fwe,full_raw,10,1,0.06278973001799089,1.0,3956.5,1.0,4.89945197077468,1.0
ruler_4096,fwe,recent_plus_retrieval_raw_k2,10,1,0.10326649958228905,1.0,2192.9,0.5542524958928347,4.29809326948598,1.1399129017413385
ruler_4096,fwe,recent_plus_span_top3_b0_a0,10,1,0.09270524796840586,1.0,1581.8,0.39979780108681917,4.308376824995503,1.1371920725109261
ruler_4096,fwe,router_safe_v5,10,1,0.09270524796840586,1.0,1581.8,0.39979780108681917,4.109071239922196,1.192350213637924
ruler_4096,niah_multikey_1,full_raw,10,1,0.05440495729969414,1.0,3838.3,1.0,4.803304643882439,1.0
ruler_4096,niah_multikey_1,recent_plus_retrieval_raw_k2,10,0.8,0.04091093117408907,0.8,3093.8,0.8060339212672277,4.562969035468996,1.0526708830468188
ruler_4096,niah_multikey_1,recent_plus_span_top3_b0_a0,10,1,0.05189566952724847,1.0,3324.6,0.8661647083344188,4.630953440722078,1.0372172178724144
ruler_4096,niah_multikey_1,router_safe_v5,10,1,0.05189566952724847,1.0,3221.4,0.8392778052783785,4.599244512151927,1.0443681850772129
ruler_4096,niah_multiquery,full_raw,10,1,0.14934065934065935,1.0,3870.5,1.0,4.940233564376831,1.0
ruler_4096,niah_multiquery,recent_plus_retrieval_raw_k2,10,1,0.14993589743589744,1.0,3125.9,0.8076217542953107,4.564478392712772,1.082321601579702
ruler_4096,niah_multiquery,recent_plus_span_top3_b0_a0,10,1,0.14785214785214787,1.0,3000.9,0.7753261852473841,4.528755499562249,1.0908589710472016
ruler_4096,niah_multiquery,router_safe_v5,10,1,0.14785214785214787,1.0,3000.9,0.7753261852473841,4.531535007199272,1.0901898708778057
ruler_4096,niah_multivalue,full_raw,10,1,0.1642857142857143,1.0,3841.2,1.0,4.819496277300641,1.0
ruler_4096,niah_multivalue,recent_plus_retrieval_raw_k2,10,1,0.1258886346300534,1.0,3097.7,0.8064406956159533,4.55903640720062,1.0571304650449043
ruler_4096,niah_multivalue,recent_plus_span_top3_b0_a0,10,1,0.1605263157894737,1.0,2971.3,0.7735343121941061,4.518483569519594,1.0666180817413156
ruler_4096,niah_multivalue,router_safe_v5,10,1,0.1605263157894737,1.0,2971.3,0.7735343121941061,4.51919973376207,1.0664490532018565
ruler_4096,niah_single_1,full_raw,10,1,0.06006013975054223,1.0,3679.8,1.0,4.808640707330778,1.0
ruler_4096,niah_single_1,recent_plus_retrieval_raw_k2,10,1,0.05575760484079669,1.0,2585.9,0.7027284091526713,4.390600331267342,1.0952125778988338
ruler_4096,niah_single_1,recent_plus_span_top3_b0_a0,10,1,0.055492970756128655,1.0,2304.2,0.626175335616066,4.3156202549580485,1.1142409255787318
ruler_4096,niah_single_1,router_safe_v5,10,1,0.055492970756128655,1.0,2304.2,0.626175335616066,4.316089377552271,1.114119816966775
ruler_4096,niah_single_2,full_raw,10,1,0.05214234477392372,1.0,3775.4,1.0,4.882213026843965,1.0
ruler_4096,niah_single_2,recent_plus_retrieval_raw_k2,10,1,0.05188708951866847,1.0,3034,0.8036234571171267,4.539994768192992,1.0753785579332689
ruler_4096,niah_single_2,recent_plus_span_top3_b0_a0,10,1,0.05064777327935223,1.0,3041.2,0.8055305398103512,4.554629674274475,1.0719231586312608
ruler_4096,niah_single_2,router_safe_v5,10,1,0.05064777327935223,1.0,3024.5,0.8011071674524554,4.55243761674501,1.0724393034812731
ruler_4096,vt,full_raw,10,1,0.06568817204301075,1.0,3856.6,1.0,4.902593636419624,1.0
ruler_4096,vt,recent_plus_retrieval_raw_k2,10,1,0.08062112155549307,1.0,2269.2,0.5883939221075558,4.44076272668317,1.103998105316786
ruler_4096,vt,recent_plus_span_top3_b0_a0,10,1,0.0692554372164567,1.0,2018.6,0.523414406472022,4.2759970290120695,1.1465381297405448
ruler_4096,vt,router_safe_v5,10,1,0.0692554372164567,1.0,2018.6,0.523414406472022,4.349649643339217,1.127123800402442
