OVERALL_FRONTIER
group,block,method,samples,score,token,e2e_speed,attn_upper
ruler4k,512,top3,24,1.0000,0.4418,1.171,2.3
ruler4k,512,top4,24,0.9583,0.4710,1.143,2.1
ruler4k,512,top6,24,1.0000,0.4782,1.139,2.1
ruler4k,512,top8,24,1.0000,0.4782,1.170,2.1
ruler4k,1024,full_raw,24,1.0000,1.0000,1.000,1.0
ruler4k,1024,top1,24,0.7083,0.3966,1.177,2.5
ruler4k,1024,top2,24,1.0000,0.6005,1.109,1.7
ruler4k,1024,top3,24,1.0000,0.6691,1.113,1.5
ruler4k,1024,top4,24,1.0000,0.6797,1.108,1.5
ruler4k,1024,top6,24,1.0000,0.6797,1.110,1.5
ruler4k,1024,top8,24,1.0000,0.6797,1.110,1.5
ruler4k,2048,full_raw,24,1.0000,1.0000,1.000,1.0
ruler4k,2048,top1,24,0.8333,0.6439,1.112,1.6
ruler4k,2048,top2,24,1.0000,0.7905,1.036,1.3
ruler4k,2048,top3,24,1.0000,0.7905,1.050,1.3
ruler4k,2048,top4,24,1.0000,0.7905,0.965,1.3
ruler4k,2048,top6,24,1.0000,0.7905,1.006,1.3
ruler4k,2048,top8,24,1.0000,0.7905,1.047,1.3
ruler8k,32,full_raw,24,1.0000,1.0000,1.000,1.0
ruler8k,32,top1,24,0.2917,0.0730,1.677,13.7
ruler8k,32,top2,24,0.5417,0.0774,1.671,12.9
ruler8k,32,top3,24,0.6250,0.0813,1.663,12.3
ruler8k,32,top4,24,0.6250,0.0850,1.661,11.8
ruler8k,32,top6,24,0.7917,0.0925,1.646,10.8
ruler8k,32,top8,24,0.7917,0.0987,1.643,10.1
ruler8k,32,top12,24,0.7917,0.1038,1.639,9.6
ruler8k,32,top16,24,0.7917,0.1055,1.638,9.5
ruler8k,32,top24,24,0.7917,0.1064,1.635,9.4
ruler8k,32,top32,24,0.7917,0.1064,1.634,9.4
ruler8k,64,full_raw,24,1.0000,1.0000,1.000,1.0
ruler8k,64,top1,24,0.3333,0.0769,1.668,13.0
ruler8k,64,top2,24,0.7500,0.0846,1.658,11.8
ruler8k,64,top3,24,0.7500,0.0913,1.651,11.0
ruler8k,64,top4,24,0.8333,0.0979,1.643,10.2
ruler8k,64,top6,24,0.8750,0.1101,1.633,9.1
ruler8k,64,top8,24,0.8750,0.1209,1.623,8.3
ruler8k,64,top12,24,0.8750,0.1294,1.611,7.7
ruler8k,64,top16,24,0.8750,0.1306,1.611,7.7
ruler8k,64,top24,24,0.8750,0.1306,1.611,7.7
ruler8k,64,top32,24,0.8750,0.1306,1.611,7.7
ruler8k,128,full_raw,24,1.0000,1.0000,1.000,1.0
ruler8k,128,top1,24,0.3333,0.0847,1.646,11.8
ruler8k,128,top2,24,0.8333,0.0993,1.627,10.1
ruler8k,128,top3,24,0.9583,0.1117,1.620,8.9
ruler8k,128,top4,24,0.9167,0.1243,1.608,8.0
ruler8k,128,top6,24,0.9167,0.1444,1.583,6.9
ruler8k,128,top8,24,0.9167,0.1604,1.572,6.2
ruler8k,128,top12,24,0.9167,0.1702,1.563,5.9
ruler8k,128,top16,24,0.9167,0.1702,1.562,5.9
ruler8k,128,top24,24,0.9167,0.1702,1.562,5.9
ruler8k,128,top32,24,0.9167,0.1702,1.563,5.9
ruler8k,256,full_raw,24,1.0000,1.0000,1.000,1.0
ruler8k,256,top1,24,0.3750,0.1003,1.738,10.0
ruler8k,256,top2,24,0.7917,0.1286,1.725,7.8
ruler8k,256,top3,24,1.0000,0.1527,1.699,6.5
ruler8k,256,top4,24,1.0000,0.1729,1.688,5.8
ruler8k,256,top6,24,1.0000,0.2094,1.644,4.8
ruler8k,256,top8,24,1.0000,0.2363,1.590,4.2
ruler8k,512,full_raw,24,1.0000,1.0000,1.000,1.0
ruler8k,512,top1,24,0.5417,0.1316,1.598,7.6
ruler8k,512,top2,24,0.9167,0.1872,1.543,5.3
ruler8k,512,top3,24,1.0000,0.2270,1.507,4.4
ruler8k,512,top4,24,1.0000,0.2640,1.472,3.8
ruler8k,512,top6,24,1.0000,0.3284,1.436,3.0
ruler8k,512,top8,24,1.0000,0.3602,1.390,2.8
ruler8k,1024,full_raw,24,1.0000,1.0000,1.000,1.0
ruler8k,1024,top1,24,0.6667,0.1942,1.547,5.1
ruler8k,1024,top2,24,0.9583,0.2940,1.495,3.4
ruler8k,1024,top3,24,1.0000,0.3719,1.431,2.7
ruler8k,1024,top4,24,1.0000,0.4446,1.370,2.2
ruler8k,1024,top6,24,1.0000,0.5435,1.296,1.8
ruler8k,1024,top8,24,1.0000,0.5540,1.287,1.8
ruler8k,2048,full_raw,24,1.0000,1.0000,1.000,1.0
ruler8k,2048,top1,24,0.7500,0.3193,1.435,3.1
ruler8k,2048,top2,24,0.9583,0.4972,1.268,2.0
ruler8k,2048,top3,24,1.0000,0.6254,1.199,1.6
ruler8k,2048,top4,24,1.0000,0.6673,1.135,1.5
ruler8k,2048,top6,24,1.0000,0.6778,1.125,1.5
ruler8k,2048,top8,24,1.0000,0.6778,1.142,1.5
ruler16k,32,full_raw,24,0.8750,1.0000,1.000,1.0
ruler16k,32,top1,24,0.2500,0.0357,2.174,28.0
ruler16k,32,top2,24,0.5833,0.0378,2.166,26.4
ruler16k,32,top3,24,0.6667,0.0398,2.155,25.2
ruler16k,32,top4,24,0.6667,0.0416,2.153,24.0
ruler16k,32,top6,24,0.7083,0.0452,2.136,22.1
ruler16k,32,top8,24,0.7500,0.0483,2.129,20.7
ruler16k,32,top12,24,0.7917,0.0540,2.116,18.5
ruler16k,32,top16,24,0.8333,0.0569,2.111,17.6
ruler16k,32,top24,24,0.8333,0.0570,2.112,17.5
ruler16k,32,top32,24,0.8333,0.0570,2.112,17.5
ruler16k,64,full_raw,24,0.8750,1.0000,1.000,1.0
ruler16k,64,top1,24,0.2917,0.0376,2.213,26.6
ruler16k,64,top2,24,0.7083,0.0414,2.197,24.2
ruler16k,64,top3,24,0.8333,0.0448,2.184,22.3
ruler16k,64,top4,24,0.8750,0.0481,2.176,20.8
ruler16k,64,top6,24,0.8333,0.0539,2.163,18.6
ruler16k,64,top8,24,0.8750,0.0588,2.149,17.0
ruler16k,64,top12,24,0.8750,0.0675,2.116,14.8
ruler16k,64,top16,24,0.9167,0.0718,2.107,13.9
ruler16k,64,top24,24,0.9167,0.0720,2.107,13.9
ruler16k,64,top32,24,0.9167,0.0720,2.106,13.9
ruler16k,128,full_raw,24,0.8750,1.0000,1.000,1.0
ruler16k,128,top1,24,0.3750,0.0414,2.196,24.2
ruler16k,128,top2,24,0.7917,0.0485,2.173,20.6
ruler16k,128,top3,24,0.8750,0.0546,2.162,18.3
ruler16k,128,top4,24,0.8750,0.0604,2.147,16.6
ruler16k,128,top6,24,0.8750,0.0696,2.116,14.4
ruler16k,128,top8,24,0.8750,0.0778,2.100,12.9
ruler16k,128,top12,24,0.8750,0.0940,2.051,10.6
ruler16k,128,top16,24,0.9167,0.1018,2.032,9.8
ruler16k,128,top24,24,0.9167,0.1018,2.032,9.8
ruler16k,128,top32,24,0.9167,0.1018,2.032,9.8
ruler16k,256,full_raw,24,0.8750,1.0000,1.000,1.0
ruler16k,256,top1,24,0.4167,0.0490,2.178,20.4
ruler16k,256,top2,24,0.8750,0.0628,2.112,15.9
ruler16k,256,top3,24,0.9583,0.0747,1.987,13.4
ruler16k,256,top4,24,0.9583,0.0832,2.069,12.0
ruler16k,256,top6,24,0.9583,0.0990,2.014,10.1
ruler16k,256,top8,24,0.9583,0.1149,2.007,8.7
ruler16k,512,full_raw,24,0.8750,1.0000,1.000,1.0
ruler16k,512,top1,24,0.4583,0.0643,2.069,15.5
ruler16k,512,top2,24,0.9583,0.0915,2.001,10.9
ruler16k,512,top3,24,1.0000,0.1070,1.964,9.3
ruler16k,512,top4,24,1.0000,0.1226,1.930,8.2
ruler16k,512,top6,24,1.0000,0.1537,1.899,6.5
ruler16k,512,top8,24,1.0000,0.1848,1.814,5.4
ruler16k,1024,full_raw,24,0.8750,1.0000,1.000,1.0
ruler16k,1024,top1,24,0.5417,0.0949,2.018,10.5
ruler16k,1024,top2,24,0.9583,0.1488,1.889,6.7
ruler16k,1024,top3,24,0.9583,0.1796,1.820,5.6
ruler16k,1024,top4,24,1.0000,0.2105,1.752,4.8
ruler16k,1024,top6,24,1.0000,0.2721,1.616,3.7
ruler16k,1024,top8,24,1.0000,0.3314,1.480,3.0
ruler16k,2048,full_raw,24,0.8750,1.0000,1.000,1.0
ruler16k,2048,top1,24,0.5833,0.1561,1.819,6.4
ruler16k,2048,top2,24,0.9583,0.2379,1.703,4.2
