group,dataset,mode,loss,ppl,token_count,seconds,ppl_delta_vs_baseline,ppl_ratio_vs_baseline,time_ratio_vs_baseline,source_csv
needle_ppl,niah_len1000_depth50,lagrefresh2qabs8cand3,3.1934411378751975,24.372151240645938,32,2.0077469000025303,10.075159,1.704705,4.978080,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
needle_ppl,niah_len1000_depth50,lagrefresh4qabs8cand3,3.3611230843234807,28.82154173117178,32,1.6985140000033425,14.524549,2.015916,4.211357,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
needle_ppl,niah_len1000_depth50,qdriftqabs8cand3,3.037497831566725,20.853000183094895,32,1.8444090999983018,6.556008,1.458559,4.573095,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
needle_ppl,niah_len1000_depth50,qdriftheadqabs8cand3,3.2683326971164206,26.267506922423003,32,2.5858109000037075,11.970514,1.837275,6.411353,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
needle_ppl,niah_len1000_depth50,qdriftshareqabs8cand3,3.065214334084885,21.43905661535178,32,2.1574999000004027,7.142064,1.499550,5.349383,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
needle_ppl,niah_len1000_depth50,qdriftcosheadqabs8cand3,3.154197319498053,23.434219349174032,32,2.288136699993629,9.137227,1.639101,5.673289,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
needle_ppl,niah_len1000_depth50,pconf50qabs8cand3,3.651689514168538,38.53972448555133,32,2.4612269999997807,24.242732,2.695653,6.102455,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
needle_ppl,niah_len1000_depth50,baseline,2.6600492046418367,14.29699255976893,32,0.4033175000004121,0.000000,1.000000,1.000000,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\needle_ppl\niah_len1000_depth50\ppl_by_mode.csv
topic_ppl,finance,qabs8cand3reuse,0.05279516588382194,1.054213684073776,32,2.276886599996942,0.053443,1.053402,5.528380,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,lagrefresh2qabs8cand3,0.6948763237882076,2.0034612781169163,32,2.0739711000060197,1.002691,2.001919,5.035692,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,lagrefresh4qabs8cand3,1.7843354399761893,5.955620764693768,32,1.828952299998491,4.954851,5.951037,4.440776,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,qdriftqabs8cand3,0.06546899515967652,1.0676596341838445,32,2.0362658000012743,0.066889,1.066838,4.944142,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,qdriftheadqabs8cand3,0.9566532039360709,2.6029702685050395,32,2.604557400001795,1.602200,2.600967,6.323979,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,qdriftshareqabs8cand3,0.25763331522898625,1.2938642912972054,32,2.0263237999970443,0.293094,1.292868,4.920003,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,qdriftcosheadqabs8cand3,1.1355333208742877,3.1128332392351,32,2.508331900004123,2.112063,3.110437,6.090339,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,pconf50qabs8cand3,4.819055035167025,123.84800345893363,32,2.4868492999958107,122.847233,123.752684,6.038179,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
topic_ppl,finance,baseline,0.0007699427073362131,1.000770239189309,32,0.41185419999965234,0.000000,1.000000,1.000000,ymluo\projects\qabs8cand3reuse_quality_suite\outputs_adaptive_sweep\topic_ppl\finance\ppl_by_mode.csv
