step,loss,tokens,model
1380,5.6043,180879360,old_baseline_4e_top1
1390,5.6013,182190080,old_baseline_4e_top1
1400,5.6355,183500800,old_baseline_4e_top1
1410,5.574,184811520,old_baseline_4e_top1
1420,5.6039,186122240,old_baseline_4e_top1
1430,5.6448,187432960,old_baseline_4e_top1
1440,5.5863,188743680,old_baseline_4e_top1
1450,5.5669,190054400,old_baseline_4e_top1
1460,5.5609,191365120,old_baseline_4e_top1
1470,5.4786,192675840,old_baseline_4e_top1
1480,5.5712,193986560,old_baseline_4e_top1
1490,5.4657,195297280,old_baseline_4e_top1
1500,5.5966,196608000,old_baseline_4e_top1
1510,5.4748,197918720,old_baseline_4e_top1
1520,5.5064,199229440,old_baseline_4e_top1
1530,5.4762,200540160,old_baseline_4e_top1
1540,5.5111,201850880,old_baseline_4e_top1
1550,5.4132,203161600,old_baseline_4e_top1
1560,5.4351,204472320,old_baseline_4e_top1
1570,5.5209,205783040,old_baseline_4e_top1
1580,5.4195,207093760,old_baseline_4e_top1
1590,5.3267,208404480,old_baseline_4e_top1
1600,5.361,209715200,old_baseline_4e_top1
1610,5.3996,211025920,old_baseline_4e_top1
1620,5.528,212336640,old_baseline_4e_top1
1630,5.3188,213647360,old_baseline_4e_top1
1640,5.3637,214958080,old_baseline_4e_top1
1650,5.3235,216268800,old_baseline_4e_top1
1660,5.3649,217579520,old_baseline_4e_top1
1670,5.38,218890240,old_baseline_4e_top1
1680,5.3498,220200960,old_baseline_4e_top1
1690,5.2275,221511680,old_baseline_4e_top1
1700,5.2616,222822400,old_baseline_4e_top1
1710,5.3345,224133120,old_baseline_4e_top1
1720,5.3288,225443840,old_baseline_4e_top1
1730,5.2587,226754560,old_baseline_4e_top1
1740,5.355,228065280,old_baseline_4e_top1
1750,5.2302,229376000,old_baseline_4e_top1
1760,5.2573,230686720,old_baseline_4e_top1
1770,5.2915,231997440,old_baseline_4e_top1
1780,5.2632,233308160,old_baseline_4e_top1
1790,5.1922,234618880,old_baseline_4e_top1
1800,5.22,235929600,old_baseline_4e_top1
1810,5.2301,237240320,old_baseline_4e_top1
1820,5.1666,238551040,old_baseline_4e_top1
1830,5.2443,239861760,old_baseline_4e_top1
1840,5.2962,241172480,old_baseline_4e_top1
1850,5.1731,242483200,old_baseline_4e_top1
1860,5.2308,243793920,old_baseline_4e_top1
1870,5.1521,245104640,old_baseline_4e_top1
