task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
cwe_16384,full_kv,1,0.0,15186.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.139386909082532,1.0
cwe_32768,full_kv,2,0.0,31470.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.857791653834283,1.0
cwe_4096,full_kv,1,0.9,2766.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.8087003026157618,1.0
cwe_8192,full_kv,1,0.9,7056.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.587995112873614,1.0
fwe_16384,full_kv,1,1.0,16268.0,31.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0166016379371285,1.0
fwe_32768,full_kv,2,1.0,30462.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2650957223959267,1.0
fwe_4096,full_kv,1,1.0,4010.0,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8085803017020226,1.0
fwe_8192,full_kv,1,0.6666666666666666,8099.0,34.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4225728930905461,1.0
niah_multikey_1_16384,full_kv,1,1.0,16026.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.28465418610721827,1.0
niah_multikey_1_32768,full_kv,2,1.0,32193.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.46621076483279467,1.0
niah_multikey_1_4096,full_kv,1,1.0,3752.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1721886470913887,1.0
niah_multikey_1_8192,full_kv,1,1.0,7447.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.176380748860538,1.0
niah_multikey_2_16384,full_kv,1,1.0,16087.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2860876377671957,1.0
niah_multikey_2_32768,full_kv,2,1.0,32583.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.46826541470363736,1.0
niah_multikey_2_4096,full_kv,1,1.0,3667.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.14083144441246986,1.0
niah_multikey_2_8192,full_kv,1,1.0,7642.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.19477158598601818,1.0
niah_multikey_3_16384,full_kv,1,1.0,16085.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.650592247955501,1.0
niah_multikey_3_32768,full_kv,2,1.0,31980.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.670958764385432,1.0
niah_multikey_3_4096,full_kv,1,1.0,3075.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7482195273041725,1.0
niah_multikey_3_8192,full_kv,1,1.0,7394.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0362228620797396,1.0
niah_multiquery_16384,full_kv,1,0.75,16062.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.084585865959525,1.0
niah_multiquery_32768,full_kv,2,1.0,32225.5,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.386770297307521,1.0
niah_multiquery_4096,full_kv,1,1.0,3792.0,78.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.503630564548075,1.0
niah_multiquery_8192,full_kv,1,1.0,7485.0,41.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.6640586089342833,1.0
niah_multivalue_16384,full_kv,1,1.0,16036.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.389266800135374,1.0
niah_multivalue_32768,full_kv,2,0.875,32193.0,17.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.917052018456161,1.0
niah_multivalue_4096,full_kv,1,1.0,3750.0,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.3615251379087567,1.0
niah_multivalue_8192,full_kv,1,0.75,7441.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6386239985004067,1.0
niah_single_1_16384,full_kv,1,1.0,15682.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.26872947439551353,1.0
niah_single_1_32768,full_kv,2,1.0,32486.5,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4610210722312331,1.0
niah_single_1_4096,full_kv,1,1.0,3688.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7617438789457083,1.0
niah_single_1_8192,full_kv,1,1.0,7885.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8266966110095382,1.0
