mode,loss,ppl,token_count,seconds,top_fraction,sign_xnor_candidate_fraction,recent_window_tokens,qabs_dim_count,qabs_candidate_fraction,kdom_key_dim_count,max_heads_per_token,limit_strategy,protected_sink_tokens,protected_recent_fraction,protected_recent_tokens,always_keep_self,qabs_fast_path,qabs_cuda_final_kernel,qabs_cuda_candidate_kernel,qabs_cuda_reuse_select_kernel,qabs_profile,qabs_candidate_selection,qabs_threshold_sample_size,lagged_refresh_fraction,reuse_prefill_cache,shared_prefill_seconds
qabs8cand3reuse,0.028289900734307594,1.028693860304113,32,2.9068755000043893,,,,8,0.03,,,qabs_reuse_rerank,10,,10,True,True,False,False,False,False,topk,,,True,2.0380764000001363
sparqfast8cand3,0.42341742946572936,1.5271716493778318,32,1.3870744000014383,,,,8,0.03,,,sparq_fast_attention,10,,10,True,,False,,,,,,,True,2.0380764000001363
baseline,0.009699823953198461,1.0097470197190066,32,0.42729579999286216,,,,,,,,,10,,10,,,,,,,,,,True,2.0380764000001363
