group,head,layer,mean_vector_norm,pc1_energy_ratio,pc1_mean,pc1_std,pc2_energy_ratio,pc2_mean,pc2_std,pc3_energy_ratio,pc3_mean,pc3_std,pc4_energy_ratio,pc4_mean,pc4_std,pc5_energy_ratio,pc5_mean,pc5_std,pc6_energy_ratio,pc6_mean,pc6_std,pc7_energy_ratio,pc7_mean,pc7_std,pc8_energy_ratio,pc8_mean,pc8_std,projection_norm_mean,representation,total_seen,vector_count
score_top_1pct,0,0,152.97726440429688,0.8691761493682861,-43.130455017089844,43.298614501953125,0.05688946321606636,3.5630743503570557,9.266327857971191,0.03215394541621208,-4.905266284942627,4.953204154968262,0.019770603626966476,0.4365617036819458,5.673149585723877,0.00943756103515625,2.15096378326416,3.962224006652832,0.0046819597482681274,0.013991069048643112,2.425959348678589,0.0039865425787866116,0.02979419007897377,2.3406214714050293,0.0039038052782416344,-0.3553497791290283,2.610840082168579,58.766387939453125,key,7118,4096
score_top_90pct,0,0,179.59117126464844,0.7790777683258057,-12.45897102355957,57.58325958251953,0.0842837318778038,-1.5037132501602173,10.996807098388672,0.032237276434898376,1.1113088130950928,6.274550914764404,0.04149330407381058,-1.1271982192993164,6.54197359085083,0.03435163199901581,-1.1324565410614014,6.536364555358887,0.011431803926825523,-0.06990045309066772,3.367141008377075,0.010556463152170181,-0.010782208293676376,3.2722790241241455,0.006568047218024731,-0.019168345257639885,2.79840350151062,53.14818572998047,key,634573,4096
score_tail_10pct,0,0,244.3460693359375,0.8038964867591858,55.58942413330078,74.14791107177734,0.08204640448093414,-2.0593743324279785,13.342391014099121,0.0396081916987896,3.7939541339874268,7.437955379486084,0.03119700215756893,0.6906362771987915,7.449514865875244,0.016514459624886513,-1.0185058116912842,6.361943244934082,0.010214409790933132,0.05590935796499252,4.396517753601074,0.00981138739734888,-0.01901206001639366,4.139576435089111,0.006711745169013739,0.3745180368423462,3.3410518169403076,78.57081604003906,key,70579,4096
score_top_1pct,0,0,0.8344101905822754,0.6714807748794556,0.21465849876403809,0.30992382764816284,0.09453266859054565,-0.015924708917737007,0.32774248719215393,0.033604368567466736,-0.014277342706918716,0.12531520426273346,0.03786177933216095,0.05239129811525345,0.2160688191652298,0.06049436330795288,0.058663152158260345,0.11990314722061157,0.03637247905135155,-0.008374443277716637,0.11181264370679855,0.042089544236660004,0.007901109755039215,0.11599719524383545,0.023564010858535767,-0.012025212869048119,0.1023705005645752,0.5181168913841248,value,7118,4096
score_top_90pct,0,0,1.2140817642211914,0.46497783064842224,0.07577992975711823,0.3519307076931,0.1102076917886734,0.00570627162232995,0.3095264434814453,0.06899081915616989,-0.017924869433045387,0.17814631760120392,0.06896387785673141,-0.0025760061107575893,0.17428623139858246,0.09098480641841888,-0.017452150583267212,0.1763799637556076,0.06706628203392029,-0.01726476103067398,0.16182324290275574,0.0673486739397049,-0.01054929569363594,0.15427719056606293,0.06146002560853958,0.0003797572571784258,0.15460370481014252,0.5516275763511658,value,634573,4096
score_tail_10pct,0,0,1.6893564462661743,0.32367926836013794,-0.2904384136199951,0.34614524245262146,0.1397159993648529,0.010218444280326366,0.38628703355789185,0.10062739253044128,0.03220222145318985,0.28840744495391846,0.0754389762878418,-0.04981530085206032,0.18690012395381927,0.10002012550830841,-0.04121100530028343,0.23890680074691772,0.08667809516191483,0.025639208033680916,0.23440863192081451,0.0871470719575882,0.0026481891982257366,0.23207581043243408,0.08669304847717285,0.011645453050732613,0.2345508486032486,0.76194167137146,value,70579,4096
score_top_1pct,0,0,0.009511362761259079,0.0839705690741539,-1.5467143384739757e-05,0.024127138778567314,0.33815914392471313,-0.00024461004068143666,0.01574368216097355,0.1482282280921936,-0.0003525259089656174,0.011386035941541195,0.09289594739675522,-0.00017529111937619746,0.010583147406578064,0.06685207784175873,0.00011797559272963554,0.009002871811389923,0.044850923120975494,-6.115165160736069e-05,0.008476592600345612,0.04694198817014694,-8.192843961296603e-05,0.00784627441316843,0.17810112237930298,-0.0006021830486133695,0.005619972012937069,0.004854331724345684,weighted_value,7118,4096
score_top_90pct,0,0,0.00040781666757538915,0.004079246893525124,1.0222592209174763e-05,0.00017837638733908534,0.04813487455248833,0.00016754429088905454,0.0025893952697515488,0.15161417424678802,0.0002030236937571317,0.0015328015433624387,0.011677581816911697,0.00014276360161602497,0.003243634942919016,0.09437522292137146,-3.324209501442965e-06,0.003277025418356061,0.05318611115217209,-2.3608799892826937e-05,0.0030412902124226093,0.027278801426291466,2.260212932014838e-05,0.0010601214598864317,0.6096539497375488,0.00030019445694051683,0.00040875672129914165,0.0006158666219562292,weighted_value,634573,4096
score_tail_10pct,0,0,7.76384524669993e-07,0.000190559119801037,5.244466592557728e-06,1.2881875477432914e-07,0.04112360253930092,7.706569158472121e-05,1.7859107970252808e-07,0.15476152300834656,0.0001495022006565705,1.5011673326625896e-07,0.007326175458729267,3.252758688176982e-05,1.3058732406534546e-07,0.09101786464452744,-0.0001146513459389098,1.0768241054393002e-07,0.04974565654993057,8.47604896989651e-05,1.0478140666236868e-07,0.024370454251766205,5.932630301686004e-05,1.0716518517028817e-07,0.6314641237258911,0.0003019885625690222,1.526051107703097e-07,0.00038002850487828255,weighted_value,70579,4096
score_top_1pct,1,0,160.911376953125,0.8373231887817383,34.21567153930664,51.94316482543945,0.06283558905124664,1.7962734699249268,10.072813034057617,0.039790429174900055,-4.866349697113037,5.480274200439453,0.02474134974181652,0.376396119594574,6.038349151611328,0.016230115666985512,2.0913326740264893,4.567355155944824,0.007707267999649048,-0.031805869191884995,2.872586488723755,0.006852354854345322,0.05220933258533478,2.830052375793457,0.0045197634026408195,0.09264314919710159,2.6752138137817383,58.35086441040039,key,7118,4096
score_top_90pct,1,0,176.73919677734375,0.7850023508071899,15.858057022094727,57.267391204833984,0.08315810561180115,-1.0894043445587158,11.021793365478516,0.03352804481983185,1.6797387599945068,6.353602886199951,0.03847835958003998,-1.1311618089675903,6.43079948425293,0.03295145556330681,-1.8399462699890137,6.362328052520752,0.01033338624984026,-0.1844301074743271,3.2948944568634033,0.01008661463856697,0.013881180435419083,3.2192301750183105,0.006461625918745995,0.06435281038284302,2.813344955444336,53.72410583496094,key,634573,4096
score_tail_10pct,1,0,239.60206604003906,0.7694863080978394,-50.07372283935547,68.931396484375,0.09229760617017746,-0.7068690657615662,13.352001190185547,0.04054032638669014,3.186610698699951,7.057089328765869,0.043578799813985825,0.7547657489776611,7.456568717956543,0.01977856084704399,-0.25138548016548157,6.0610833168029785,0.013167999684810638,0.21623599529266357,4.294720649719238,0.013158608227968216,-0.06609044969081879,4.138339042663574,0.007991818711161613,-0.1569959819316864,3.362555742263794,70.5862045288086,key,70579,4096
