layer,head,representation,component,singular_value,energy_ratio
1,3,key,8,411.14862060546875,0.02532270534175266
1,3,value,1,43.772178649902344,0.10735059110107169
1,3,value,2,38.642818450927734,0.08366536367069718
1,3,value,3,33.41954803466797,0.06257621033743835
1,3,value,4,27.907424926757812,0.04363627240671171
1,3,value,5,26.281909942626953,0.03870097974157618
1,3,value,6,24.828683853149414,0.03453945743756331
1,3,value,7,23.610286712646484,0.03123277955954532
1,3,value,8,22.617631912231445,0.02866172850180439
1,3,weighted_value,1,2.614685297012329,0.12142267584883792
1,3,weighted_value,2,2.483553886413574,0.10954892615770088
1,3,weighted_value,3,2.265794277191162,0.09118048563904613
1,3,weighted_value,4,1.9398303031921387,0.06683261105246184
1,3,weighted_value,5,1.7931745052337646,0.05710919796819236
1,3,weighted_value,6,1.6612985134124756,0.049018080735026004
1,3,weighted_value,7,1.4482321739196777,0.037250948288809066
1,3,weighted_value,8,1.4095923900604248,0.03528970620734411
1,4,key,1,975.1012573242188,0.2156236757356124
1,4,key,2,736.8963623046875,0.12314303060849122
1,4,key,3,496.312744140625,0.0558608919974727
1,4,key,4,446.9827880859375,0.04530838816947877
1,4,key,5,381.0337219238281,0.03292485251186127
1,4,key,6,354.3003845214844,0.02846690550077329
1,4,key,7,344.0783996582031,0.026847993347153095
1,4,key,8,308.79534912109375,0.021624123528225313
1,4,value,1,44.77031707763672,0.09573651096169074
1,4,value,2,36.624549865722656,0.06406810031552951
1,4,value,3,32.867454528808594,0.051597587601990014
1,4,value,4,29.579526901245117,0.04179070547813854
1,4,value,5,28.713468551635742,0.03937935253686654
1,4,value,6,26.32421875,0.03309849430894574
1,4,value,7,23.105436325073242,0.02549914413925626
1,4,value,8,22.650278091430664,0.02450441463497927
1,4,weighted_value,1,1.3660887479782104,0.16902845924504067
1,4,weighted_value,2,1.0548955202102661,0.10079080187062191
1,4,weighted_value,3,0.9383981227874756,0.07975836910587197
1,4,weighted_value,4,0.8620592951774597,0.06730948726944319
1,4,weighted_value,5,0.8336343169212341,0.06294383108943095
1,4,weighted_value,6,0.7439712882041931,0.05013192196012038
1,4,weighted_value,7,0.6722666025161743,0.040934084084074375
1,4,weighted_value,8,0.666753351688385,0.040265437231551175
1,5,key,1,1054.3270263671875,0.248155358983728
1,5,key,2,740.466552734375,0.1224006916254741
1,5,key,3,515.2285766601562,0.05926153075277377
1,5,key,4,388.0130920410156,0.03360978534426803
1,5,key,5,371.1899719238281,0.030758521035463608
1,5,key,6,332.50494384765625,0.02468136608966433
1,5,key,7,323.334228515625,0.0233386829189754
1,5,key,8,307.9822692871094,0.021175048274694207
1,5,value,1,51.05619812011719,0.12640632175690417
1,5,value,2,33.48249053955078,0.054363493752682894
1,5,value,3,30.870586395263672,0.046212728201845785
1,5,value,4,28.704788208007812,0.0399558656071082
1,5,value,5,27.08269691467285,0.0355676907251174
1,5,value,6,24.52178382873535,0.029159224471258148
1,5,value,7,23.075267791748047,0.025820541714120796
1,5,value,8,22.084218978881836,0.02365026108960532
1,5,weighted_value,1,0.6848308444023132,0.2881760126612546
1,5,weighted_value,2,0.5065425038337708,0.15766053228583382
