condition,mode,seed,step,full_ntp_ce,target_ce,target_accuracy,nmi_route_slot,nmi_route_b_id,best_perm_diag_purity,assignment_utility_agreement,slot_center_norm_mean,slot_center_offdiag_cosine_mean,router_delta_from_init_mean,utility_best_by_slot
short_role_random_init,single_b_sanity,20260521,0,7.71324364344279,7.929375410079956,0.0,1.000088900581841e-06,1.000088900581841e-06,0.25,0.25,0.10691775381565094,-0.3124716877937317,0.0,"{""0"": 0, ""1"": 3, ""2"": 0, ""3"": 0}"
short_role_random_init,single_b_sanity,20260521,100,0.04936390370130539,0.024591216817498207,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.975523471832275,-0.3291635513305664,0.2063673734664917,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,200,0.04637558882435163,0.008075949270278215,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.949175834655762,-0.3305918176968892,0.20820623636245728,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,300,0.04568129902084669,0.004631976771634072,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.9595561027526855,-0.33062195777893066,0.20890149474143982,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,400,0.04548842335740725,0.003079243120737374,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.980961322784424,-0.33054747184117633,0.20919901132583618,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,500,0.045233442137638726,0.002209866390330717,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.993922710418701,-0.3304584821065267,0.2094065397977829,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,600,0.045174608627955117,0.0016822300385683775,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.019125938415527,-0.33039798339207965,0.2094106674194336,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,700,0.04505719244480133,0.0013252146309241652,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.041718006134033,-0.330328365166982,0.2093663215637207,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,800,0.045043203979730606,0.0010744090104708448,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.053940296173096,-0.33027557531992596,0.20931488275527954,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,900,0.045087236911058426,0.0008896715880837291,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.058614730834961,-0.3302314281463623,0.20929929614067078,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
