mode,condition,seed,nmi_step0,nmi_final,assign_step0,assign_final,target_accuracy_final,target_ce_final,full_ntp_ce_final
single_b,short_role_random_init,20260521,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,1.0,0.0003396280444576405,0.04487081368764242
single_b,short_role_random_init,20260522,1.000088900581841e-06,1.000088900581841e-06,0.5,1.0,1.0,0.00029678677674382925,0.044979544977347054
single_b,short_role_random_init,20260523,1.000088900581841e-06,1.000088900581841e-06,0.75,1.0,1.0,0.0002749177765508648,0.044796645641326904
single_b,short_role_random_init,20260524,1.000088900581841e-06,1.000088900581841e-06,0.5,1.0,1.0,0.0003176420577801764,0.04482123379906019
single_b,short_role_semantic_init,20260521,1.0000000000001803,1.000088900581841e-06,0.25,1.0,1.0,0.00028129391284892336,0.04486608877778053
single_b,short_role_semantic_init,20260522,1.0000000000001803,1.0000000000001803,0.5,1.0,1.0,0.00025978228586609475,0.0449688658118248
single_b,short_role_semantic_init,20260523,1.0000000000001803,0.866025403784751,0.5,1.0,1.0,0.00028764037415385246,0.044796496629714966
single_b,short_role_semantic_init,20260524,1.0000000000001803,1.000088900581841e-06,0.5,1.0,1.0,0.00029055938284727745,0.0448231448729833
single_b,long_role_random_init,20260521,1.000088900581841e-06,0.6368979998637679,0.25,1.0,1.0,0.00033495116076665,0.04487952465812365
single_b,long_role_random_init,20260522,1.000088900581841e-06,1.000088900581841e-06,0.5,1.0,1.0,0.00029928925505373627,0.04516332969069481
single_b,long_role_random_init,20260523,0.866025403784751,1.000088900581841e-06,0.25,1.0,1.0,0.0002978294505737722,0.044861615945895515
single_b,long_role_random_init,20260524,1.000088900581841e-06,1.000088900581841e-06,0.5,1.0,1.0,0.0003021199518116191,0.044864644606908165
single_b,long_role_semantic_init,20260521,1.0000000000001803,1.0000000000001803,0.25,1.0,1.0,0.00025459507014602423,0.04488486175735792
single_b,long_role_semantic_init,20260522,1.0000000000001803,1.0000000000001803,0.5,1.0,1.0,0.0001991484678001143,0.04507045572002729
single_b,long_role_semantic_init,20260523,1.0000000000001803,1.0000000000001803,0.5,1.0,1.0,0.00024560020028729923,0.04486939311027527
single_b,long_role_semantic_init,20260524,1.0000000000001803,1.0000000000001803,0.5,1.0,1.0,0.0002243856361019425,0.0448628639181455
single_b,distributed_role_random_init,20260521,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,1.0,0.000319637889333535,0.04504917313655218
single_b,distributed_role_random_init,20260522,1.000088900581841e-06,1.000088900581841e-06,0.5,1.0,1.0,0.00030167202203301713,0.045067942390839257
single_b,distributed_role_random_init,20260523,1.000088900581841e-06,1.000088900581841e-06,0.75,1.0,1.0,0.000278493513178546,0.04493812844157219
single_b,distributed_role_random_init,20260524,1.000088900581841e-06,1.000088900581841e-06,0.5,1.0,1.0,0.000306380090478342,0.04486770058671633
single_b,distributed_role_semantic_init,20260521,1.0000000000001803,0.7071067811870577,0.25,1.0,1.0,0.00034531647543190047,0.044995345175266266
single_b,distributed_role_semantic_init,20260522,1.0000000000001803,0.866025403784751,0.5,1.0,1.0,0.0002840646557160653,0.045053487022717796
single_b,distributed_role_semantic_init,20260523,1.0000000000001803,1.0000000000001803,0.5,1.0,1.0,0.0002980378339998424,0.04493441432714462
single_b,distributed_role_semantic_init,20260524,1.0000000000001803,1.0000000000001803,0.5,1.0,1.0,0.00025263047791668214,0.044850935538609825
multi_b,short_role_random_init,20260521,0.005291118906599354,1.000088900581841e-06,0.6337890625,1.0,1.0,0.006451303414905851,0.22550139327843985
multi_b,short_role_random_init,20260522,0.004467261123660897,1.000088900581841e-06,0.5947265625,1.0,1.0,0.006014950631879401,0.22554207841555277
multi_b,short_role_random_init,20260523,0.0015593911635020728,1.000088900581841e-06,0.2529296875,1.0,1.0,0.00622945884811088,0.2248151352008184
multi_b,short_role_random_init,20260524,0.0021731177792297216,0.1837291314814922,0.2421875,0.7412109375,1.0,0.00497367447542274,0.22537276148796082
multi_b,short_role_semantic_init,20260521,0.01447716913626751,0.4069213382163107,0.4130859375,0.7001953125,1.0,0.005246379297432213,0.22549979388713837
multi_b,short_role_semantic_init,20260522,0.0038639482682526188,0.2033583950957197,0.4921875,0.7685546875,1.0,0.006905447671670117,0.22557772199312845
multi_b,short_role_semantic_init,20260523,0.0038007580621800606,0.31869247179895765,0.498046875,0.841796875,1.0,0.006412102781496287,0.2248481661081314
multi_b,short_role_semantic_init,20260524,1.000088900581841e-06,0.42865173341806817,0.5,0.73828125,1.0,0.005019770369244725,0.2253695329030355
multi_b,long_role_random_init,20260521,0.00610551892192148,0.599168001569843,0.4326171875,0.912109375,1.0,0.006214885083181798,0.22561187545458475
multi_b,long_role_random_init,20260522,0.005878457904153388,1.000088900581841e-06,0.58203125,1.0,1.0,0.005877226475149655,0.22557981808980307
multi_b,long_role_random_init,20260523,0.01771004660743604,0.44364253072003285,0.2958984375,0.9130859375,1.0,0.005992258203377787,0.22481098771095276
multi_b,long_role_random_init,20260524,0.005269820808025565,0.3592277334457538,0.2958984375,0.8076171875,1.0,0.006001597029353434,0.22540298600991568
multi_b,long_role_semantic_init,20260521,0.3765729237624159,0.6871952952015388,0.7841796875,0.927734375,1.0,0.0055057920424133044,0.22546731432278952
multi_b,long_role_semantic_init,20260522,0.021014143539020834,0.2107889523536774,0.4990234375,0.890625,1.0,0.0072549359886124876,0.22565470139185587
multi_b,long_role_semantic_init,20260523,0.3401318134622569,0.8203685012891746,0.3681640625,0.9560546875,1.0,0.00593509242366963,0.22487890223662058
multi_b,long_role_semantic_init,20260524,0.2327919651486734,0.6451621509426151,0.609375,0.92578125,1.0,0.0057465434319965425,0.22534682850042978
multi_b,distributed_role_random_init,20260521,0.004123331886049657,0.019383083515701175,0.599609375,0.998046875,1.0,0.007219705655415964,0.22549669444561005
multi_b,distributed_role_random_init,20260522,0.005670350918894909,1.000088900581841e-06,0.552734375,1.0,1.0,0.007029279225434948,0.22559080521265665
multi_b,distributed_role_random_init,20260523,0.0068897761447864825,1.000088900581841e-06,0.2470703125,1.0,1.0,0.007424407197504479,0.22478578488032022
multi_b,distributed_role_random_init,20260524,0.006368050185195395,0.02029755297055472,0.28125,0.9931640625,1.0,0.006556990928856976,0.22537695864836374
multi_b,distributed_role_semantic_init,20260521,0.0445246707790313,0.30362753005981213,0.0478515625,0.6923828125,1.0,0.006005891467793845,0.22553345064322153
