condition,mode,seed,step,full_ntp_ce,target_ce,target_accuracy,nmi_route_slot,nmi_route_b_id,best_perm_diag_purity,assignment_utility_agreement,slot_center_norm_mean,slot_center_offdiag_cosine_mean,router_delta_from_init_mean,utility_best_by_slot
short_role_random_init,multi_b_primary,20260521,0,7.72709862391154,7.5001355414278805,0.0,0.005291118906599354,0.32637535022898995,0.2705078125,0.6337890625,0.4576758146286011,-0.3310087521870931,0.0,"{""0"": 3, ""1"": 2, ""2"": 3, ""3"": 3}"
short_role_random_init,multi_b_primary,20260521,100,0.3752669095993042,4.426135935005732,0.3388671875,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,1.8575788736343384,-0.3306835691134135,0.1871529072523117,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,200,0.26955392956733704,1.3144937722827308,0.8125,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,3.0899906158447266,-0.3316665093104045,0.22248560190200806,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,300,0.2368819167216619,0.32937232333642896,0.9990234375,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,4.2672553062438965,-0.3317127625147502,0.24337024986743927,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,400,0.22970315317312875,0.12872186141976272,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,4.725121974945068,-0.33187295993169147,0.25497886538505554,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,500,0.22812030712763467,0.0716870924225077,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,4.903573989868164,-0.3319712479909261,0.2617781162261963,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,600,0.22709240019321442,0.046672049722474185,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,4.99173641204834,-0.3321545720100403,0.2665625214576721,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,700,0.22686882813771567,0.03323762148829701,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.039663791656494,-0.3321720361709595,0.27017897367477417,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,800,0.2263912856578827,0.02483155100435397,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.066498756408691,-0.3323107163111369,0.2731262147426605,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,900,0.22590628266334534,0.019443853386292176,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.049746513366699,-0.33238699038823444,0.27559661865234375,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,1000,0.2260692516962687,0.015912313812805223,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.035012245178223,-0.3324279983838399,0.2780877351760864,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
