mode,condition,num_seeds,full_ntp_ce_mean,full_ntp_ce_min,full_ntp_ce_max,target_ce_mean,target_ce_min,target_ce_max,target_accuracy_mean,target_accuracy_min,target_accuracy_max,probe_slot_from_h_b_mean,probe_slot_from_h_b_min,probe_slot_from_h_b_max,nmi_route_slot_mean,nmi_route_slot_min,nmi_route_slot_max,nmi_route_b_id_mean,nmi_route_b_id_min,nmi_route_b_id_max,best_perm_diag_purity_mean,best_perm_diag_purity_min,best_perm_diag_purity_max,assignment_utility_agreement_mean,assignment_utility_agreement_min,assignment_utility_agreement_max
multi_b_primary,distributed_role_random_init,4,0.22528289762489936,0.22500982880592346,0.225413474966498,0.007037165696356169,0.006520572487970639,0.007490164718110464,1.0,1.0,1.0,0.999765619635582,0.9990624785423279,1.0,0.009846202097946911,1.000088900581841e-06,0.021363083405070437,0.02256719423563506,1.0000889005818413e-06,0.05731487465302257,0.2515234375,0.25,0.254375,0.998046875,0.99390625,1.0
multi_b_primary,distributed_role_semantic_init,4,0.2253734193304006,0.22523427710813634,0.22543369584223805,0.006799902015845873,0.006006630719966779,0.007362958007543057,1.0,1.0,1.0,0.9996093660593033,0.9989062547683716,1.0,0.29717755558657405,0.22093731361515598,0.45174718379963097,0.1485765895750335,0.09925022669188441,0.17471058367403416,0.5022265625,0.43515625,0.5765625,0.7326171875,0.670625,0.8078125
multi_b_primary,long_role_random_init,4,0.2253171030212851,0.22509577782715068,0.22546410122338464,0.005972081484005685,0.005828875748775318,0.006101382678862137,1.0,1.0,1.0,0.999804675579071,0.9992187023162842,1.0,0.373222331799181,0.01607622594776368,0.6484686954087592,0.04730874348734651,0.031848451451476786,0.06365342338320767,0.48410156249999997,0.25140625,0.69953125,0.9124218749999999,0.795,0.99859375
multi_b_primary,long_role_semantic_init,4,0.22529804399784875,0.2251872832284254,0.22536780027782216,0.0060658866188532555,0.005434113309638633,0.007165530780475819,1.0,1.0,1.0,1.0,1.0,1.0,0.5930763809529159,0.22101909527885114,0.8251374228181834,0.0717288076948375,0.043688670476091325,0.13250987166633166,0.6464453125,0.37,0.79203125,0.9209375000000001,0.88,0.955
multi_b_primary,short_role_random_init,4,0.22526166851029678,0.22506054534631617,0.22536178108523874,0.005916470310694422,0.004969456237013219,0.006431877293034631,1.0,1.0,1.0,0.9994921833276749,0.9979687333106995,1.0,0.046771489352820605,1.000088900581841e-06,0.18708295714458067,0.031688987145846656,1.0000889005818404e-06,0.12675294831668488,0.296796875,0.25,0.4371875,0.934375,0.7375,1.0
multi_b_primary,short_role_semantic_init,4,0.22526649911614025,0.2250924355843488,0.22535395972868977,0.00586130072567812,0.0049877548020231185,0.006884823844266066,1.0,1.0,1.0,0.9996874928474426,0.9987499713897705,1.0,0.3383515799186323,0.19915915400023607,0.4191838371863349,0.1374530202652192,0.11734021484370147,0.1566302543043031,0.5530468749999999,0.37203125,0.7021875,0.758984375,0.7021875,0.8396875
