mode,loss,ppl,token_count,seconds,top_fraction,sign_xnor_candidate_fraction,recent_window_tokens,qabs_dim_count,qabs_candidate_fraction,kdom_key_dim_count,max_heads_per_token,limit_strategy,protected_sink_tokens,protected_recent_fraction,protected_recent_tokens,always_keep_self,qabs_fast_path,qabs_cuda_final_kernel,qabs_cuda_candidate_kernel,qabs_cuda_reuse_select_kernel,qabs_profile,qabs_candidate_selection,qabs_threshold_sample_size,lagged_refresh_fraction,full_head_map_path,full_layer_map_path,layer_budget_map_path,adaptive_low_tokens,adaptive_high_tokens,adaptive_low_fraction,adaptive_mean_margin,adaptive_margin_threshold,reuse_prefill_cache,shared_prefill_seconds
qabs8cand3reuse,0.12643344553180214,1.1347739243877142,32,2.307050799994613,,,,8,0.03,,,qabs_reuse_rerank,10,,10,True,True,False,False,False,,topk,,,,,,,,,,,True,2.0523241000046255
lagrefresh2qabs8cand3,0.715379619059604,2.044962841797687,32,2.0544925999929546,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.5,,,,,,,,,True,2.0523241000046255
lagrefresh4qabs8cand3,1.739942956910454,5.697018437870114,32,2.044031299999915,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.25,,,,,,,,,True,2.0523241000046255
qdriftqabs8cand3,0.14822367951455817,1.1597722846535983,32,2.0940284000025713,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.8125,,,,,,,,,True,2.0523241000046255
qdriftheadqabs8cand3,0.853069219234385,2.346838772189873,32,2.281488700005866,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.22056361607142858,,,,,,,,,True,2.0523241000046255
qdriftshareqabs8cand3,0.18230331803351874,1.199978113687067,32,2.2298966000016662,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.8113839285714286,,,,,,,,,True,2.0523241000046255
qdriftcosheadqabs8cand3,0.8621525293765444,2.368252945164725,32,2.3791385000004084,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.22809709821428573,,,,,,,,,True,2.0523241000046255
pconf50qabs8cand3,4.693887561288648,109.2771768386105,32,2.674241799999436,,,,8,0.03,,,lagged_reuse_rerank,10,,10,True,True,False,False,False,,topk,,0.037806919642857144,,,,,,,,,True,2.0523241000046255
baseline,0.0008505668423026691,1.00085092867686,32,0.4178221999973175,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,True,2.0523241000046255
