task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
cwe_16384,full_kv,1,0.8,15306.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.26480196788907,1.0
cwe_32768,full_kv,1,0.0,31329.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,17.80993235204369,1.0
cwe_4096,full_kv,1,0.9,2937.0,104.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.5528803719207644,1.0
cwe_8192,full_kv,2,0.9,7026.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.9105425626039505,1.0
fwe_16384,full_kv,1,1.0,16028.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.821711964905262,1.0
fwe_32768,full_kv,1,1.0,30853.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.12847244925797,1.0
fwe_4096,full_kv,1,1.0,3950.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.359945796430111,1.0
fwe_8192,full_kv,2,0.8333333333333333,7362.0,27.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5065081748180091,1.0
niah_multikey_1_16384,full_kv,1,1.0,16032.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3778252247720957,1.0
niah_multikey_1_32768,full_kv,1,1.0,32195.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6198668293654919,1.0
niah_multikey_1_4096,full_kv,1,1.0,3758.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.19397467002272606,1.0
niah_multikey_1_8192,full_kv,2,1.0,7445.5,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2017480726353824,1.0
niah_multikey_2_16384,full_kv,1,1.0,16145.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3468196848407388,1.0
niah_multikey_2_32768,full_kv,1,1.0,32620.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6025190055370331,1.0
niah_multikey_2_4096,full_kv,1,1.0,3663.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.15653194673359394,1.0
niah_multikey_2_8192,full_kv,2,1.0,7654.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.20917735062539577,1.0
niah_multikey_3_16384,full_kv,1,1.0,16104.0,26.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.3911435520276427,1.0
niah_multikey_3_32768,full_kv,1,1.0,31952.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.473015518859029,1.0
niah_multikey_3_4096,full_kv,1,1.0,3090.0,63.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.220560919493437,1.0
niah_multikey_3_8192,full_kv,2,1.0,7445.5,62.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.116260504350066,1.0
niah_multiquery_16384,full_kv,1,1.0,16062.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0740023255348206,1.0
niah_multiquery_32768,full_kv,1,0.5,32225.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4267985196784139,1.0
niah_multiquery_4096,full_kv,1,1.0,3791.0,58.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.1834818329662085,1.0
niah_multiquery_8192,full_kv,2,0.75,7480.5,43.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2116741933859885,1.0
niah_multivalue_16384,full_kv,1,1.0,16030.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.8590531134977937,1.0
niah_multivalue_32768,full_kv,1,1.0,32190.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.975611152127385,1.0
niah_multivalue_4096,full_kv,1,1.0,3768.0,45.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7365821693092585,1.0
niah_multivalue_8192,full_kv,2,1.0,7444.5,31.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.639024756848812,1.0
niah_single_1_16384,full_kv,1,1.0,15688.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2714753895998001,1.0
niah_single_1_32768,full_kv,1,1.0,32485.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.48131207562983036,1.0
niah_single_1_4096,full_kv,1,1.0,3688.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7504952866584063,1.0
niah_single_1_8192,full_kv,2,1.0,7885.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1745083136484027,1.0
niah_single_2_16384,full_kv,1,1.0,15981.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.31624230928719044,1.0
niah_single_2_32768,full_kv,1,1.0,32138.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5754165472462773,1.0
niah_single_2_4096,full_kv,1,1.0,3701.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7533537680283189,1.0
niah_single_2_8192,full_kv,2,1.0,8074.5,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.19829698046669364,1.0
niah_single_3_16384,full_kv,1,1.0,15993.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7493208143860102,1.0
niah_single_3_32768,full_kv,1,1.0,32161.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.1006223233416677,1.0
niah_single_3_4096,full_kv,1,1.0,3721.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9208784010261297,1.0
niah_single_3_8192,full_kv,2,1.0,7413.5,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1945869009941816,1.0
qa_hotpot_16384,full_kv,1,0.0,15351.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.31111347302794456,1.0
qa_hotpot_32768,full_kv,1,1.0,32487.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.39780376106500626,1.0
qa_hotpot_4096,full_kv,1,1.0,3858.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11451137810945511,1.0
qa_hotpot_8192,full_kv,2,0.5,7855.5,2.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.17079505696892738,1.0
qa_squad_16384,full_kv,1,1.0,13868.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5237723253667355,1.0
qa_squad_32768,full_kv,1,0.0,32522.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7399241793900728,1.0
qa_squad_4096,full_kv,1,1.0,3284.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.14467659872025251,1.0
qa_squad_8192,full_kv,2,1.0,7696.0,6.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.35071773221716285,1.0
vt_16384,full_kv,1,1.0,16330.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5443360591307282,1.0
vt_32768,full_kv,1,1.0,32645.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.220310801640153,1.0
vt_4096,full_kv,1,0.0,3850.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1516833202913404,1.0
vt_8192,full_kv,2,1.0,7922.5,14.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8230367861688137,1.0
ALL,full_kv,65,0.8881410256410257,13341.36923076923,25.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7547159223172528,1.0
cwe_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.8,15306.0,120.0,0.06005632326936931,0.06005632326936931,0.06010355327353037,0.0,0.0,1.0,0.0,6.877224744297564,1.4925791070591967
cwe_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.0,31329.0,120.0,0.0409050236482168,0.0409050236482168,0.04063774330539531,0.0,0.0,1.0,0.0,7.728441641665995,2.304466175435137
cwe_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.9,2937.0,104.0,0.08827586206896551,0.08827586206896551,0.08724676187605372,0.0,0.0,1.0,0.0,6.030271674506366,0.5891741804836016
cwe_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.9,7026.0,120.0,0.060022900525815395,0.060022900525815395,0.06030336262284817,0.0,0.0,1.0,0.0,6.814236011821777,0.8673815453926104
fwe_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16028.0,32.0,0.060027541311967955,0.060027541311967955,0.060242810090169886,0.0,0.0,1.0,0.0,2.6300358502194285,1.0728796585300697
fwe_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,30853.0,32.0,0.04155709230219798,0.04155709230219798,0.040708153615905476,0.0,0.0,1.0,0.0,2.903142091818154,1.4220704046464454
fwe_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3950.0,22.0,0.06567470497691123,0.06567470497691123,0.06589447122005945,0.0,0.0,1.0,0.0,2.025746808387339,0.671330588205512
fwe_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.8333333333333333,7362.0,27.5,0.0600592444781415,0.0600592444781415,0.060267514770321357,0.0,0.0,1.0,0.0,2.332348153460771,0.6459190805552041
niah_multikey_1_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16032.0,3.0,0.060030015007503754,0.060030015007503754,0.06014799878895611,0.0,0.0,1.0,0.0,1.2153626643121243,0.3108744705317558
niah_multikey_1_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,32195.0,3.0,0.03980470815063594,0.03980470815063594,0.039094024846513024,0.0,0.0,1.0,0.0,1.3902404746040702,0.44587022223045636
niah_multikey_1_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3758.0,4.0,0.06885422270037654,0.06885422270037654,0.06840859925688256,0.0,0.0,1.0,0.0,1.1495702415704727,0.1687366835085516
niah_multikey_1_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,7445.5,3.0,0.06007424934559306,0.06007424934559306,0.06026755366616415,0.0,0.0,1.0,0.0,1.1536004301160574,0.17488557334803148
niah_multikey_2_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16145.0,3.0,0.0600509221884121,0.0600509221884121,0.06025599090590033,0.0,0.0,1.0,0.0,1.2100906493142247,0.2866063670827358
niah_multikey_2_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,32620.0,3.0,0.03928549505862133,0.03928549505862133,0.03869165512310577,0.0,0.0,1.0,0.0,1.3914745626971126,0.4330075602454154
niah_multikey_2_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3663.0,3.0,0.07069870201601768,0.07069870201601768,0.06986970637736535,0.0,0.0,1.0,0.0,1.085622163489461,0.1441863955968448
niah_multikey_2_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,7654.0,3.0,0.06005512988451914,0.06005512988451914,0.05996776490280903,0.0,0.0,1.0,0.0,1.1469797459430993,0.18237231421501743
niah_multikey_3_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16104.0,26.0,0.060049937578027464,0.060049937578027464,0.06025712868321763,0.0,0.0,1.0,0.0,2.361335873603821,1.0126232268594344
niah_multikey_3_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,31952.0,23.0,0.04015560296147572,0.04015560296147572,0.04080754112006545,0.0,0.0,1.0,0.0,2.4997120145708323,1.3893662544384338
niah_multikey_3_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3090.0,63.0,0.0851063829787234,0.0851063829787234,0.08545268797235064,0.0,0.0,1.0,0.0,4.0381540125235915,0.5498950541774226
niah_multikey_3_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,7445.5,62.0,0.06007705303035694,0.06007705303035694,0.06028208500900496,0.0,0.0,1.0,0.0,4.15895316703245,0.7492896359238448
niah_multiquery_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.5,16062.0,8.0,0.06003376899505972,0.06003376899505972,0.06027836666206312,0.0,0.0,1.0,0.0,1.507836320437491,1.3754824031119368
niah_multiquery_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.5,32225.0,8.0,0.03980594601318572,0.03980594601318572,0.038774229452386864,0.0,0.0,1.0,0.0,1.743587895296514,0.8183117831497522
niah_multiquery_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3791.0,58.0,0.06885422270037654,0.06885422270037654,0.0679648857341072,0.0,0.0,1.0,0.0,3.8623418547213078,0.565325886494778
niah_multiquery_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.75,7480.5,43.5,0.0600661405179096,0.0600661405179096,0.060042889108499836,0.0,0.0,1.0,0.0,3.158172962721437,0.7003017945794081
niah_multivalue_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16030.0,21.0,0.06003376899505972,0.06003376899505972,0.06015300001020514,0.0,0.0,1.0,0.0,2.1490466753020883,0.8650594400126137
niah_multivalue_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,32190.0,20.0,0.03980966006282462,0.03980966006282462,0.038424115426869986,0.0,0.0,1.0,0.0,2.3588114120066166,1.261487517391678
