context_tokens,repeats,eval_tokens_median,eval_tokens_p05,eval_tokens_p95,full_step_ms_median,full_step_ms_p05,full_step_ms_p95,sparse_step_ms_median,sparse_step_ms_p05,sparse_step_ms_p95,steady_speedup_median,steady_speedup_p05,steady_speedup_p95,warm_fixed_s_median,warm_fixed_s_p05,warm_fixed_s_p95,resident_build_s_median,resident_build_s_p05,resident_build_s_p95,cold_fixed_s_median,cold_fixed_s_p05,cold_fixed_s_p95,prefill_s_median,prefill_s_p05,prefill_s_p95,warm_break_even_tokens_median,warm_break_even_tokens_p05,warm_break_even_tokens_p95,cold_break_even_tokens_median,cold_break_even_tokens_p05,cold_break_even_tokens_p95,quality_retention_median,quality_retention_p05,quality_retention_p95,auxiliary_ratio_median,auxiliary_ratio_p05,auxiliary_ratio_p95,warm_g1_median,warm_g1_p05,warm_g1_p95,cold_g1_median,cold_g1_p05,cold_g1_p95,raw_g1_median,raw_g1_p05,raw_g1_p95,warm_g4_median,warm_g4_p05,warm_g4_p95,cold_g4_median,cold_g4_p05,cold_g4_p95,raw_g4_median,raw_g4_p05,raw_g4_p95,warm_g8_median,warm_g8_p05,warm_g8_p95,cold_g8_median,cold_g8_p05,cold_g8_p95,raw_g8_median,raw_g8_p05,raw_g8_p95,warm_g16_median,warm_g16_p05,warm_g16_p95,cold_g16_median,cold_g16_p05,cold_g16_p95,raw_g16_median,raw_g16_p05,raw_g16_p95,warm_g32_median,warm_g32_p05,warm_g32_p95,cold_g32_median,cold_g32_p05,cold_g32_p95,raw_g32_median,raw_g32_p05,raw_g32_p95,warm_g64_median,warm_g64_p05,warm_g64_p95,cold_g64_median,cold_g64_p05,cold_g64_p95,raw_g64_median,raw_g64_p05,raw_g64_p95,warm_g128_median,warm_g128_p05,warm_g128_p95,cold_g128_median,cold_g128_p05,cold_g128_p95,raw_g128_median,raw_g128_p05,raw_g128_p95,warm_g256_median,warm_g256_p05,warm_g256_p95,cold_g256_median,cold_g256_p05,cold_g256_p95,raw_g256_median,raw_g256_p05,raw_g256_p95,warm_g512_median,warm_g512_p05,warm_g512_p95,cold_g512_median,cold_g512_p05,cold_g512_p95,raw_g512_median,raw_g512_p05,raw_g512_p95
8192,3,64.0,64.0,64.0,44.99046460148834,44.73742210261879,45.4550552403643,56.249521822939,55.4014575697722,71.59338524835486,0.8083808883174884,0.6332580059565375,0.8089511012256299,0.32257570037918715,0.30452744685443883,0.3961241145107532,0.2752797780558467,0.26570066502317785,0.27943054009228946,0.6024674362533036,0.5802684206921125,0.6622859753157581,2.3766142707318068,2.3675396502017976,2.4340651837177574,inf,inf,inf,inf,inf,inf,1.0000104145190416,1.0000078987062753,1.0000112771674121,0.07398817274305555,0.07398817274305555,0.07398817274305555,0.11831523174791661,0.10076083105882572,0.11957294471824853,0.06797055083598505,0.06327392392023246,0.06898628950420015,0.79981280296804,0.7821273005702358,0.8018924945697068,0.3020938230394158,0.29053916553194437,0.32618609647537367,0.20661643203597665,0.2039242378368905,0.21606557178525693,0.7872179179574159,0.7822117604940731,0.8009192685094682,0.42614617551647904,0.407029481518851,0.4633896479005096,0.3253589136361108,0.31078250031963167,0.3406029052171565,0.7834216315821829,0.7739145350712345,0.8008789262688049,0.5582406172780771,0.49496540562847013,0.5890071850409793,0.46408011995423837,0.416493873971726,0.47925817390247555,0.7863480201714598,0.7538682409878162,0.8017354793011245,0.6606298102467185,0.555372990076035,0.6814442231468556,0.5898187507060327,0.5022155237556407,0.6017583810117025,0.7905667851249587,0.727114013170308,0.8029741249242819,0.7273312045464895,0.5916864265974089,0.739511252013782,0.6822427348799552,0.560064214370151,0.6899469174570845,0.7955710596169051,0.6982740887560651,0.8044492863925945,0.7660013949354794,0.6117640509019018,0.7724365393772853,0.7402401666001743,0.5943967520428506,0.7445071081690459,0.8002993370752298,0.6735369253695785,0.8058490133204731,0.7869205916578305,0.6223470783602351,0.790028521831178,0.7731008031073209,0.613227739109466,0.7751585944855779,0.8038982536238117,0.6561478282850854,0.8069183039459735,0.797814592980059,0.6277838826658955,0.799129823037931,0.7906500147768803,0.6231086791171173,0.7914513570755142,0.8062124428178529,0.645561798861206,0.8076076729846493
16384,3,64.0,64.0,64.0,52.19139917088406,51.88919440177934,52.43495314248971,55.28691187200527,54.65220175833712,55.317479983392744,0.9489047754438726,0.9385151177853683,0.955477044687159,0.28780827615710525,0.286227340943691,0.30334608973785027,0.29298781231045723,0.28175856070593003,0.35141826635226603,0.5855833795522489,0.5812748175760312,0.6381243364044257,5.686168771237135,5.636626504082233,5.691557114571332,inf,inf,inf,inf,inf,inf,0.99392051703372,0.9931478774447471,0.9989370036765978,0.07389322916666666,0.07389322916666666,0.07389322916666666,0.15190329419185267,0.1457942826445738,0.1528075705604256,0.08152803487404382,0.0748926613346195,0.0823818163681063,0.9062435395819747,0.8993724355677917,0.9076219733522506,0.4088469903029958,0.39986313705659277,0.41196448045611056,0.2596877417623684,0.24172276437008727,0.2614756363584805,0.9075149112420281,0.9003830774142491,0.9086945246552972,0.5693580644305242,0.5635623828861761,0.5742959738737707,0.4084486007241109,0.38447154297639485,0.41004600076800335,0.9091127280951359,0.9016535098544234,0.9100422112703961,0.7086532651228882,0.7084421590110774,0.7152305109597317,0.5723956245553649,0.5455808783854557,0.5727710755583735,0.912013146983245,0.9039604793105971,0.9124878457746028,0.814025436744856,0.8076717728670135,0.8159255227596222,0.7143832805666664,0.6900378726734451,0.7159431614488743,0.9165404512943272,0.9077858932957898,0.9168278211017437,0.8775272354328179,0.8683132813301991,0.8792185493528882,0.8151104121470039,0.79530831482679,0.8185456184885787,0.922376402689179,0.9133002201572223,0.9237814364103767,0.9118212770313502,0.9020503963572825,0.9157623419263313,0.8769336772623096,0.860993091840428,0.8817264949646043,0.9294078086356735,0.9199597084369852,0.9321685711233225,0.9299934968668903,0.9199215416748113,0.935198072969121,0.9115007440755976,0.8980829352584175,0.9171214386892953,0.936162530851528,0.9263732574706067,0.940235077353758,0.9393539643031618,0.9291253154012209,0.9452287593658942,0.9298267499199663,0.9178535976755353,0.9359064165382773,0.9413779007990304,0.93133604695596,0.9464695999133691
32768,3,64.0,64.0,64.0,87.76141562691284,87.47619224771384,87.84538939122169,56.377241898688574,55.80269451733798,57.009918021879365,1.5566816089482076,1.534430489950455,1.574234195742261,0.3155113276574881,0.29909723168689667,0.3166760785850667,0.35944472905248404,0.3526677164249122,0.3662414290942252,0.6749560567099722,0.6517649481118089,0.6829175076792919,16.30425300542265,16.166971035301685,16.430369563866407,10.053198481174096,9.335972258307972,10.395461659003782,21.50625543163413,20.343171894734496,22.418578306038672,1.000868754895006,1.000411577683706,1.0032604741388456,0.07398817274305555,0.07398817274305555,0.07398817274305555,0.2359884729225478,0.2340911138533108,0.2475832467466882,0.12000194137731217,0.1182249583616242,0.12416676775063812,0.9622219117384029,0.9614084827033853,0.9638380847466463,0.6488585836580892,0.6423670217615299,0.6728432621611566,0.3898493034515174,0.3841140537540335,0.4016281898514646,0.9680657735367847,0.9671467551204951,0.9697427061234939,0.9159354496234592,0.9056121238372253,0.9427336869541892,0.6235413340506185,0.6144202548953348,0.6399767770019952,0.975681173460948,0.9746213589938029,0.9774400923516753,1.1532880633252496,1.138995281761042,1.1792537395644016,0.8904184136329872,0.8774785056805587,0.9100021764393915,0.9903357245141147,0.9889948001502398,0.9922613597616282,1.324961187843693,1.3074676902237554,1.3484101287980803,1.1328494593443357,1.116484721249092,1.1533141797368314,1.0175335451803778,1.0156354848710245,1.0197998489035631,1.43150477636066,1.4118860652381269,1.4525962024310763,1.3113705506944016,1.2925107445862936,1.3312940431943638,1.0647791433633274,1.0618041925235557,1.0677340563223392,1.4914713281861252,1.4706098034494184,1.5109706096454496,1.423535071995788,1.4031192940349397,1.442607046733062,1.1381338980207978,1.1332139857745314,1.1424026101741485,1.523378934551523,1.5018424345438273,1.541953644466312,1.4871340600420246,1.4658400258614077,1.505548942464804,1.234287637237299,1.226319197073943,1.2407321793206605,1.5398502317626135,1.517961578771909,1.5579266880644098,1.5211132953237505,1.4993512199498404,1.5391256101288069,1.3357826770463912,1.323987939961469,1.3450869200042226
65536,3,64.0,64.0,64.0,169.22617319320875,163.78269082615301,170.48237555408997,72.12630492605028,60.38797701288375,72.98811677122308,2.3462476466347906,2.2440978014157036,2.833644638630589,0.4429405259058594,0.40810168791231843,0.45357174094045405,0.49363519810140133,0.4900869163684547,0.590669811423868,0.9365757240072607,0.8981886042807732,1.044241552364322,60.338537937030196,54.86796231316403,60.565696513466534,4.68335328534341,3.7300655732740786,4.893119843672194,10.395541007492904,8.252605572838782,10.829309709358146,0.9939778099071881,0.9939778099071881,0.9939778099071881,0.07377115885416666,0.07377115885416666,0.07377115885416666,0.32118584990651666,0.31671767300907144,0.36355604989816576,0.1616167070880201,0.15114297735483978,0.17729348212082696,0.9846845466813773,0.9844826421442995,0.9869799757941232,0.9107261603258212,0.890011079503537,1.0499737071204143,0.5311298553877092,0.5061581668324218,0.5965631547274168,0.9896159698209979,0.9892575817171392,0.9924055326035623,1.312131590267369,1.2745251702769074,1.5321453423910385,0.8581269982912427,0.8318434124108011,0.9847474682342159,0.9961308973225605,0.9955718143830179,0.999589497882773,1.6830325433110989,1.625716065050852,1.988850368124819,1.2397662778506444,1.2265144065722482,1.459814034127427,1.0089580191255458,1.0080239204262451,1.0137881774106359,1.9600578553989625,1.88549420564126,2.3372282823802952,1.6096436624265853,1.5958192512104097,1.9256372476943688,1.033830172202995,1.0322452947240384,1.0415270343240244,2.135835986706456,2.0492239348566006,2.561598484215687,1.9093662387731627,1.8651687344802415,2.293018574650958,1.0806599557111876,1.0781254966258123,1.0945102528080985,2.2361029232612655,2.142237600795749,2.6907598671975057,2.105381815604263,2.037136212044427,2.534824261906933,1.164139727196705,1.1608188937177355,1.1914941767123188,2.2898515254601866,2.1919848241994964,2.7603536122450234,2.21929842635403,2.135606324070771,2.6759173752659535,1.2993997017538532,1.297332696522791,1.3559557535107503,2.317706568958609,2.2177351686189604,2.796518784018587,2.281008066404059,2.1885059722777163,2.7525231375662114,1.493619364363083,1.488514445473756,1.6023838965413972
131072,3,64.0,64.0,64.0,301.7891901619141,300.9636991066001,306.4601153874445,90.52360056328678,90.31090146952099,96.48802557269171,3.323685492026872,3.1281297821906526,3.392392423736066,0.5846065981463795,0.5750954505326532,0.6284955262461859,0.8206731108948588,0.7962691612541677,0.8294824760407209,1.4150678925366407,1.3967473797770522,1.4257435058498935,227.58371934946626,226.88101738244296,227.62509620040655,2.779230368252733,2.6621143080711955,3.0634937078483886,6.727258420529311,6.465470955250128,6.948363251385089,0.9999771215836705,0.9999771215836705,0.9999771215836705,0.0738254123263889,0.0738254123263889,0.0738254123263889,0.44565030338336137,0.4163676163902343,0.46044703365119616,0.19983639603246794,0.1981961976593184,0.20603170412673863,0.9947423221413348,0.9946563087293046,0.9948458484564542,1.2712439418623531,1.1902042649484736,1.3088387718023555,0.6771964018375048,0.6661341544020822,0.6971116513193374,0.9974993145650835,0.9973549443444906,0.9976781130189837,1.8390772294488371,1.7243274553658319,1.8889041151914994,1.1251458632117335,1.0983351358233506,1.1565576761753602,1.001165166684201,1.0009425179107374,1.0014440729636047,2.3679237787976013,2.2231697015143856,2.426638117945659,1.681174530280805,1.6257714367355003,1.7250105586804914,1.0084623175850964,1.008081526387641,1.0089405698538905,2.765556641478649,2.5991302402497407,2.829373443664605,2.2329077620368643,2.1395168162872453,2.2870619437766764,1.022919916435345,1.0222166770001813,1.0237934168471612,3.019042529474678,2.8391992655401457,3.0854081656287566,2.67123497955821,2.541030521060099,2.732167080866519,1.0513001060484388,1.049928685400382,1.0529506000322344,3.164047968322504,2.976669645431457,3.2316261281307352,2.961955872286943,2.804170776719412,3.026693367960409,1.1060106198362525,1.1032198376269085,1.1091631813785883,3.241902705363079,3.0505208349351802,3.3100583198059033,3.1324121724907283,2.9573016491952373,3.1991257353743885,1.2078913864522325,1.201999645410925,1.2138558148033232,3.282284744163941,3.0888378883575127,3.3507196575615077,3.2252154269521047,3.0403171281510484,3.2929257068471647,1.3859334155509877,1.3732079071483647,1.3968578176872217
