variant,mask,span,metric,layer,head,hit_count,query_count,coverage
needle_sentence,final,label,all,17,9,257,450,0.5711111111111111
needle_sentence,final,label,all,22,12,256,450,0.5688888888888889
needle_sentence,final,label,all,13,7,255,450,0.5666666666666667
needle_sentence,final,label,all,12,14,253,450,0.5622222222222222
needle_sentence,final,label,all,15,9,252,450,0.56
topic_table,final,key,any,1,15,319,472,0.6758474576271186
topic_table,final,key,any,6,7,278,472,0.5889830508474576
topic_table,final,key,any,3,10,277,472,0.586864406779661
topic_table,final,key,any,6,11,275,472,0.5826271186440678
topic_table,final,key,any,21,8,267,472,0.565677966101695
topic_table,final,key,any,18,15,267,472,0.565677966101695
topic_table,final,key,any,24,5,261,472,0.5529661016949152
topic_table,final,key,any,16,15,245,472,0.5190677966101694
topic_table,final,key,any,16,14,244,472,0.5169491525423728
topic_table,final,key,any,24,14,233,472,0.4936440677966102
topic_table,final,key,all,19,4,8,472,0.01694915254237288
topic_table,final,key,all,18,11,7,472,0.014830508474576272
topic_table,final,key,all,18,2,7,472,0.014830508474576272
topic_table,final,key,all,19,13,5,472,0.01059322033898305
topic_table,final,key,all,4,1,5,472,0.01059322033898305
topic_table,final,key,all,19,5,4,472,0.00847457627118644
topic_table,final,key,all,19,0,2,472,0.00423728813559322
topic_table,final,key,all,14,14,2,472,0.00423728813559322
topic_table,final,key,all,22,0,1,472,0.00211864406779661
topic_table,final,key,all,19,8,1,472,0.00211864406779661
topic_table,final,label,any,24,7,196,472,0.4152542372881356
topic_table,final,label,any,24,14,190,472,0.4025423728813559
topic_table,final,label,any,14,6,179,472,0.3792372881355932
topic_table,final,label,any,24,5,177,472,0.375
topic_table,final,label,any,24,15,163,472,0.3453389830508475
topic_table,final,label,any,22,12,160,472,0.3389830508474576
topic_table,final,label,any,22,9,157,472,0.3326271186440678
topic_table,final,label,any,13,7,153,472,0.3241525423728814
topic_table,final,label,any,20,6,148,472,0.3135593220338983
topic_table,final,label,any,24,6,147,472,0.3114406779661017
topic_table,final,label,all,24,7,196,472,0.4152542372881356
topic_table,final,label,all,24,14,190,472,0.4025423728813559
topic_table,final,label,all,14,6,179,472,0.3792372881355932
topic_table,final,label,all,24,5,177,472,0.375
topic_table,final,label,all,24,15,163,472,0.3453389830508475
topic_table,final,label,all,22,12,160,472,0.3389830508474576
topic_table,final,label,all,22,9,157,472,0.3326271186440678
topic_table,final,label,all,13,7,153,472,0.3241525423728814
topic_table,final,label,all,20,6,148,472,0.3135593220338983
topic_table,final,label,all,24,6,147,472,0.3114406779661017
