variant,mode,correct,total,accuracy
structured_noisy,baseline,19,32,0.59375
structured_noisy,qabs8cand5reuse,15,32,0.46875
compact_kv,baseline,29,32,0.90625
compact_kv,qabs8cand5reuse,18,32,0.5625
natural_kv,baseline,18,32,0.5625
natural_kv,qabs8cand5reuse,13,32,0.40625
json_kv,baseline,27,32,0.84375
json_kv,qabs8cand5reuse,19,32,0.59375
needle_sentence,baseline,18,32,0.5625
needle_sentence,qabs8cand5reuse,17,32,0.53125
topic_table,baseline,22,32,0.6875
topic_table,qabs8cand5reuse,22,32,0.6875
