condition,mode,seed,step,full_ntp_ce,target_ce,target_accuracy,nmi_route_slot,nmi_route_b_id,best_perm_diag_purity,assignment_utility_agreement,slot_center_norm_mean,slot_center_offdiag_cosine_mean,router_delta_from_init_mean,utility_best_by_slot
C0_short_slot_init,single_b_sanity,20260521,0,7.710262139638265,7.92007040977478,0.0,1.0000000000001803,1.000088900581841e-06,1.0,0.25,0.10691775381565094,-0.3124716877937317,0.0,"{""0"": 1, ""1"": 0, ""2"": 2, ""3"": 0}"
C0_short_slot_init,single_b_sanity,20260521,100,0.04867369929949442,0.017828501062467694,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.308269500732422,-0.3309355576833089,0.16637708246707916,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,200,0.046263874818881355,0.0074152646120637655,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.272900581359863,-0.33091215292612713,0.17152726650238037,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,300,0.045652577032645546,0.004252113518305123,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.235137939453125,-0.3307225704193115,0.17318594455718994,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,400,0.04554812237620354,0.0027821140829473734,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.205304145812988,-0.3305887182553609,0.17417794466018677,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,500,0.045141330609718956,0.0019736871181521565,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.187673568725586,-0.3304697275161743,0.17490839958190918,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,600,0.04516338432828585,0.0014803521917201579,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.168148040771484,-0.3303829828898112,0.17547810077667236,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,700,0.045013594130674996,0.001154547353507951,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.155111789703369,-0.3303001324335734,0.17593711614608765,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,800,0.04504939789573351,0.0009271596936741844,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.141574382781982,-0.33024009068806964,0.17637912929058075,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,900,0.04505836218595505,0.000761631308705546,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.132025718688965,-0.33016179005304974,0.1768856793642044,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,1000,0.04505117485920588,0.0006375037337420508,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.118505477905273,-0.3301046093304952,0.17734625935554504,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,1100,0.04490182176232338,0.0005424318151199259,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.105865001678467,-0.33003465334574383,0.17754243314266205,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,1200,0.044875976939996086,0.0004670110429287888,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.094961166381836,-0.3299582004547119,0.17778530716896057,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,1300,0.044964065154393516,0.00040633064054418355,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.083047866821289,-0.32991482814153034,0.177931010723114,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
C0_short_slot_init,single_b_sanity,20260521,1400,0.0448694738248984,0.00035625234158942476,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,4.073078155517578,-0.32986539602279663,0.17814776301383972,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
