mode,condition,step,nmi_route_slot,diag_purity,assignment_utility,slot_center_norm,router_delta
single_b,A_long_random_init,0,0.2165071010128632,0.375,0.375,1.0885704010725021,0.0
single_b,A_long_random_init,1600,0.15922525003261742,0.3125,1.0,5.884897351264954,0.22039194405078888
single_b,A_long_repeated_slot_init,0,1.0000000000001803,1.0,0.4375,1.0885704010725021,0.0
single_b,A_long_repeated_slot_init,1600,1.0000000000001803,1.0,1.0,3.1862540245056152,0.16539336740970612
single_b,B_long_distributed_slot_init,0,1.0000000000001803,1.0,0.4375,0.4914570450782776,0.0
single_b,B_long_distributed_slot_init,1600,0.8932830462430423,0.8125,1.0,4.185356795787811,0.14623425528407097
single_b,B_long_random_init,0,1.000088900581841e-06,0.25,0.5,0.4914570450782776,0.0
single_b,B_long_random_init,1600,1.000088900581841e-06,0.25,1.0,6.012534260749817,0.21948647499084473
single_b,C0_short_slot_init,0,1.0000000000001803,1.0,0.4375,0.27949296310544014,0.0
single_b,C0_short_slot_init,1600,0.4665068509906831,0.5625,1.0,3.850970208644867,0.145488902926445
single_b,Oracle_b_position_only,0,1.0000000000001803,1.0,0.4375,1.0885704010725021,0.0
single_b,Oracle_b_position_only,1600,1.0000000000001803,1.0,1.0,3.981995940208435,0.0
single_b,Oracle_slot_router,0,1.0000000000001803,1.0,0.4375,1.0885704010725021,0.0
single_b,Oracle_slot_router,1600,1.0000000000001803,1.0,1.0,2.562535285949707,0.0
multi_b,A_long_random_init,0,0.008740961060384118,0.276123046875,0.401611328125,1.16623055934906,0.0
multi_b,A_long_random_init,1600,0.35050981645613255,0.47705078125,0.908203125,5.561723470687866,0.3032850846648216
multi_b,A_long_repeated_slot_init,0,0.24262771147809176,0.45654296875,0.565185546875,1.16623055934906,0.0
multi_b,A_long_repeated_slot_init,1600,0.5908787249467515,0.644287109375,0.925048828125,4.9026936292648315,0.1665901057422161
multi_b,B_long_distributed_slot_init,0,0.07848066077572906,0.324462890625,0.326416015625,0.6517931222915649,0.0
multi_b,B_long_distributed_slot_init,1600,0.31251410815779024,0.50390625,0.746826171875,4.297934889793396,0.17734958603978157
multi_b,B_long_random_init,0,0.005762877283731611,0.271728515625,0.420166015625,0.6517931222915649,0.0
multi_b,B_long_random_init,1600,0.009920659166014265,0.25146484375,0.997802734375,5.0391703844070435,0.2851656526327133
multi_b,C0_short_slot_init,0,0.005535718888900193,0.265380859375,0.475830078125,0.5285322591662407,0.0
multi_b,C0_short_slot_init,1600,0.33940598463226407,0.55078125,0.76220703125,4.813821315765381,0.17338907346129417
multi_b,Oracle_b_position_only,0,1.0000000000001803,1.0,0.625,1.16623055934906,0.0
multi_b,Oracle_b_position_only,1600,1.0000000000001803,1.0,1.0,3.6437819600105286,0.0
multi_b,Oracle_slot_router,0,1.0000000000001803,1.0,0.625,1.16623055934906,0.0
multi_b,Oracle_slot_router,1600,1.0000000000001803,1.0,1.0,2.7124343514442444,0.0
