mode,loss,ppl,token_count,seconds,top_fraction,sign_xnor_candidate_fraction,recent_window_tokens,qabs_dim_count,qabs_candidate_fraction,kdom_key_dim_count,max_heads_per_token,limit_strategy,protected_sink_tokens,protected_recent_fraction,protected_recent_tokens,always_keep_self,qabs_fast_path,qabs_cuda_final_kernel,qabs_cuda_candidate_kernel,qabs_cuda_reuse_select_kernel,qabs_profile,qabs_candidate_selection,qabs_threshold_sample_size,lagged_refresh_fraction,full_head_map_path,full_layer_map_path,layer_budget_map_path,adaptive_low_tokens,adaptive_high_tokens,adaptive_low_fraction,adaptive_mean_margin,adaptive_margin_threshold,reuse_prefill_cache,shared_prefill_seconds
qabs8cand3reuse,0.038577709548974326,1.0393314912013374,32,2.710094299996854,,,,8,0.03,,,qabs_reuse_rerank,10,,10,True,True,False,False,False,,topk,,,,,,,,,,,True,1.8316885000022012
qabs8cand3top2attn,0.0495485138808931,1.0507965691978696,32,0.7329268999965279,0.02,,,8,0.03,,,qabs_candidate_top2_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,1.8316885000022012
qabs8cand3top2globalattn,0.07526610401060907,1.078171018346752,32,1.5437431000027573,0.02,,,8,0.03,,,qabs_candidate_top2_global_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,1.8316885000022012
qabs8cand3sharedtop2attn,0.3239615851990152,1.3825941940185156,32,0.7399347000027774,0.02,,,8,0.03,,,qabs_shared_candidate_top2_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,1.8316885000022012
qabs8cand3sharedr2attn,1.171751639388333,3.2276413535546307,32,1.1074365000022226,0.02,,,8,0.03,,,qabs_shared_reuse_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,1.8316885000022012
qabs8cand3sharedr4attn,1.9149709216044926,6.786741446578019,32,1.1113313000023481,0.02,,,8,0.03,,,qabs_shared_reuse_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,1.8316885000022012
qabs8cand3sharedr8attn,2.319785466495034,10.173491517148113,32,1.2724442999970051,0.02,,,8,0.03,,,qabs_shared_reuse_attention,10,,10,True,True,False,False,,,,,,,,,,,,,,True,1.8316885000022012
baseline,0.0005258059157924322,1.0005259441759546,32,0.42156249999970896,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,True,1.8316885000022012
