task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
cwe_16384,full_kv,2,0.8500000000000001,15273.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.564250013791025,1.0
cwe_32768,full_kv,1,0.0,31473.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12.52786994818598,1.0
cwe_4096,full_kv,1,0.9,2784.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.8165638791397214,1.0
cwe_8192,full_kv,1,0.9,7119.0,120.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.825344161130488,1.0
fwe_16384,full_kv,2,1.0,15878.5,28.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.865745747461915,1.0
fwe_32768,full_kv,1,1.0,30921.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4540577000007033,1.0
fwe_4096,full_kv,1,1.0,4083.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.818985452875495,1.0
fwe_8192,full_kv,1,0.6666666666666666,7194.0,32.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.3362517319619656,1.0
niah_multikey_1_16384,full_kv,2,1.0,16030.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.294017578009516,1.0
niah_multikey_1_32768,full_kv,1,1.0,32189.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4859392838552594,1.0
niah_multikey_1_4096,full_kv,1,1.0,3753.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1745040901005268,1.0
niah_multikey_1_8192,full_kv,1,1.0,7447.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.18029920477420092,1.0
niah_multikey_2_16384,full_kv,2,1.0,16151.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2916690628044307,1.0
niah_multikey_2_32768,full_kv,1,1.0,32455.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.48749546892941,1.0
niah_multikey_2_4096,full_kv,1,1.0,3650.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.13922684825956821,1.0
niah_multikey_2_8192,full_kv,1,1.0,7678.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.19080969225615263,1.0
niah_multikey_3_16384,full_kv,2,1.0,16083.5,40.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.6714553060010076,1.0
niah_multikey_3_32768,full_kv,1,1.0,32225.0,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.6657378105446696,1.0
niah_multikey_3_4096,full_kv,1,1.0,3041.0,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.9753460502251983,1.0
niah_multikey_3_8192,full_kv,1,1.0,7362.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9752961844205856,1.0
niah_multiquery_16384,full_kv,2,1.0,16070.0,50.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.334645772818476,1.0
niah_multiquery_32768,full_kv,1,1.0,32219.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.4601378366351128,1.0
niah_multiquery_4096,full_kv,1,1.0,3782.0,54.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7871798817068338,1.0
niah_multiquery_8192,full_kv,1,1.0,7476.0,57.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.357626037672162,1.0
niah_multivalue_16384,full_kv,2,1.0,16024.0,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.7517413571476936,1.0
niah_multivalue_32768,full_kv,1,1.0,32196.0,43.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.596564882434905,1.0
niah_multivalue_4096,full_kv,1,1.0,3750.0,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.3760223612189293,1.0
niah_multivalue_8192,full_kv,1,1.0,7454.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8977585695683956,1.0
niah_single_1_16384,full_kv,2,1.0,15685.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2718408419750631,1.0
niah_single_1_32768,full_kv,1,1.0,32491.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.47338398452848196,1.0
niah_single_1_4096,full_kv,1,1.0,3688.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7480936730280519,1.0
niah_single_1_8192,full_kv,1,1.0,7885.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.827776619233191,1.0
niah_single_2_16384,full_kv,2,1.0,15975.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2873167875222862,1.0
niah_single_2_32768,full_kv,1,1.0,32138.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4795563817024231,1.0
niah_single_2_4096,full_kv,1,1.0,3704.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1399103356525302,1.0
niah_single_2_8192,full_kv,1,1.0,8073.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.18438025191426277,1.0
niah_single_3_16384,full_kv,2,1.0,15993.5,21.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4162627658806741,1.0
niah_single_3_32768,full_kv,1,1.0,32163.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.7278651371598244,1.0
niah_single_3_4096,full_kv,1,1.0,3718.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6445896700024605,1.0
niah_single_3_8192,full_kv,1,1.0,7411.0,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9997361255809665,1.0
qa_hotpot_16384,full_kv,2,0.5,15119.5,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2096690726466477,1.0
qa_hotpot_32768,full_kv,1,1.0,31412.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6524617252871394,1.0
qa_hotpot_4096,full_kv,1,0.0,3704.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1367464754730463,1.0
qa_hotpot_8192,full_kv,1,1.0,6815.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.17043201625347137,1.0
qa_squad_16384,full_kv,2,0.5,14200.0,3.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.28607376758009195,1.0
qa_squad_32768,full_kv,1,0.0,31976.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3658762685954571,1.0
qa_squad_4096,full_kv,1,1.0,3111.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2307090386748314,1.0
qa_squad_8192,full_kv,1,0.0,7494.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4854506142437458,1.0
vt_16384,full_kv,2,1.0,16327.5,14.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0341333616524935,1.0
