task,method,samples,score,mean_prompt_tokens,mean_generated_tokens,mean_configured_attention_fraction,mean_configured_candidate_fraction,mean_attention_link_ratio,mean_exact_qk_ratio,mean_temporal_reuse_rate,mean_gpu_kv_storage_ratio,mean_scan_dimension_fraction,mean_online_seconds,paired_online_speedup
qa_hotpot_4096,full_kv,1,1.0,2868.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.19487424846738577,1.0
qa_hotpot_8192,full_kv,1,0.0,7416.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1758431363850832,1.0
qa_squad_16384,full_kv,1,0.0,14391.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.49340588692575693,1.0
qa_squad_32768,full_kv,2,0.5,30989.5,1.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3117297706194222,1.0
qa_squad_4096,full_kv,1,0.0,3090.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.10270502790808678,1.0
qa_squad_8192,full_kv,1,1.0,5849.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.26900194585323334,1.0
vt_16384,full_kv,1,0.2,16325.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.846992173232138,1.0
vt_32768,full_kv,2,1.0,32648.5,16.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.6652214443311095,1.0
vt_4096,full_kv,1,0.0,3851.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.2826794926077127,1.0
vt_8192,full_kv,1,0.4,7928.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7739609777927399,1.0
ALL,full_kv,65,0.8157051282051282,18158.30769230769,25.46153846153846,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.382716270478872,1.0
cwe_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.0,15342.0,120.0,0.06004573668735707,0.06004573668735707,0.06012050893968879,0.0,0.0,1.0,0.0,6.797289891168475,1.1775841709852224
cwe_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.0,31452.0,120.0,0.04074493992966126,0.04074493992966126,0.040734197955921446,0.0,0.0,1.0,0.0,7.121866311412305,1.784827261141719
cwe_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.8,2871.0,120.0,0.0903316866619619,0.0903316866619619,0.08951916557471964,0.0,0.0,1.0,0.0,8.509866857901216,0.4560003975231483
cwe_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.9,7014.0,120.0,0.06005446466962878,0.06005446466962878,0.06019198761126464,0.0,0.0,1.0,0.0,6.742339140735567,0.7640035425457993
fwe_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.6666666666666666,16205.0,33.0,0.060050764563858106,0.060050764563858106,0.06007743656277963,0.0,0.0,1.0,0.0,2.6254478693008423,0.8550985095568882
fwe_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.8333333333333333,31788.0,33.5,0.040342718975623096,0.040342718975623096,0.039771773983607,0.0,0.0,1.0,0.0,2.8029419695958495,1.2927639265234832
fwe_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.6666666666666666,4015.0,32.0,0.06459752712591471,0.06459752712591471,0.06396736511298613,0.0,0.0,1.0,0.0,2.4722706638276577,0.4496739618826058
fwe_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.6666666666666666,8032.0,35.0,0.060025062656641606,0.060025062656641606,0.0601300571943276,0.0,0.0,1.0,0.0,2.6663736142218113,0.5778727023741893
niah_multikey_1_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16029.0,3.0,0.06003376899505972,0.06003376899505972,0.06000646574131836,0.0,0.0,1.0,0.0,1.2523948373273015,0.3895105556735772
niah_multikey_1_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32196.5,3.0,0.03980408948880229,0.03980408948880229,0.038799014255643124,0.0,0.0,1.0,0.0,1.4798790500499308,0.591341564337047
niah_multikey_1_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3755.0,3.0,0.06887274683884853,0.06887274683884853,0.06805812089545615,0.0,0.0,1.0,0.0,1.2535266121849418,0.17173221602871888
niah_multikey_1_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,7441.0,3.0,0.06009453072248481,0.06009453072248481,0.06015823584329929,0.0,0.0,1.0,0.0,1.1783662736415863,0.244535503608033
niah_multikey_2_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16134.0,3.0,0.06000745434215431,0.06000745434215431,0.06010783041524636,0.0,0.0,1.0,0.0,1.2475573001429439,0.44156413914972686
niah_multikey_2_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32588.5,3.0,0.03932115169202717,0.03932115169202717,0.03865844966035193,0.0,0.0,1.0,0.0,1.477821886073798,0.6068009936109322
niah_multikey_2_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3654.0,3.0,0.07079646017699115,0.07079646017699115,0.07001494456794345,0.0,0.0,1.0,0.0,1.1078679850324988,0.18995029583905826
niah_multikey_2_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,7669.0,3.0,0.060117878192534384,0.060117878192534384,0.06002884275858322,0.0,0.0,1.0,0.0,1.1865358771756291,0.3190128278894447
niah_multikey_3_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16083.0,22.0,0.060021235400662044,0.060021235400662044,0.060903508408427176,0.0,0.0,1.0,0.0,2.3438060209155083,1.2924244976368022
niah_multikey_3_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32062.5,22.5,0.04001960151248478,0.04001960151248478,0.03973318523783766,0.0,0.0,1.0,0.0,2.8918564235791564,1.686970502075656
niah_multikey_3_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3060.0,60.0,0.08579088471849866,0.08579088471849866,0.08541768869355883,0.0,0.0,1.0,0.0,3.9070364525541663,0.6923159401133822
niah_multikey_3_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,7398.0,26.0,0.060076460950300385,0.060076460950300385,0.060124684415110055,0.0,0.0,1.0,0.0,2.54035191424191,0.8172962328104849
niah_multiquery_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16056.0,20.0,0.06004127837888548,0.06004127837888548,0.060186245005796585,0.0,0.0,1.0,0.0,2.209945901297033,1.2009956016296055
niah_multiquery_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.75,32223.5,15.0,0.039806565059954405,0.039806565059954405,0.03865239225741011,0.0,0.0,1.0,0.0,2.1456990404985845,1.4230788592612325
niah_multiquery_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3782.0,20.0,0.06890982503364737,0.06890982503364737,0.0679320468070025,0.0,0.0,1.0,0.0,1.9683434814214706,0.5579768502822191
niah_multiquery_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,7479.0,79.0,0.060070194384449244,0.060070194384449244,0.06020621710426622,0.0,0.0,1.0,0.0,4.873325020074844,1.1503046917966882
niah_multivalue_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,16036.0,44.0,0.06001875586120663,0.06001875586120663,0.06039456812697267,0.0,0.0,1.0,0.0,3.4801333537325263,1.5609870812485067
niah_multivalue_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32196.0,31.5,0.03980470815063594,0.03980470815063594,0.03866194987921249,0.0,0.0,1.0,0.0,3.363750819116831,1.9765755775775333
niah_multivalue_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3750.0,42.0,0.06894694317263668,0.06894694317263668,0.06804518236813357,0.0,0.0,1.0,0.0,3.0354628236964345,0.7462855499150957
niah_multivalue_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,7436.0,41.0,0.060127009863531956,0.060127009863531956,0.060201160323491314,0.0,0.0,1.0,0.0,3.0251707453280687,1.0730969146247558
niah_single_1_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,15691.0,3.0,0.06006006006006006,0.06006006006006006,0.060230315739442604,0.0,0.0,1.0,0.0,1.1802323460578918,0.2305711076498965
niah_single_1_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32486.5,3.0,0.039445908266811575,0.039445908266811575,0.03852244934311881,0.0,0.0,1.0,0.0,1.3436868018470705,0.3995479624114808
niah_single_1_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3688.0,21.0,0.07013698630136986,0.07013698630136986,0.06974766111910556,0.0,0.0,1.0,0.0,2.222126060165465,0.3344641838475271
niah_single_1_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,7888.0,21.0,0.06,0.06,0.06062542016363395,0.0,0.0,1.0,0.0,2.0177753223106265,0.429108015033654
niah_single_2_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,15981.0,3.0,0.060041407867494824,0.060041407867494824,0.0599376080316919,0.0,0.0,1.0,0.0,1.2265438111498952,0.32966270366404044
niah_single_2_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32141.0,3.0,0.03987166308444694,0.03987166308444694,0.03889759759913042,0.0,0.0,1.0,0.0,1.4503384474664927,0.521300458639968
niah_single_2_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3704.0,3.0,0.06986899563318777,0.06986899563318777,0.06969185784975258,0.0,0.0,1.0,0.0,1.094931311905384,0.14347924375850377
niah_single_2_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,8073.0,3.0,0.060112009956440574,0.060112009956440574,0.05986051549211461,0.0,0.0,1.0,0.0,1.1484354613348842,0.18821953349580475
niah_single_3_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,15998.0,26.0,0.060025062656641606,0.060025062656641606,0.060303837565732106,0.0,0.0,1.0,0.0,2.7725713085383177,1.1394731566069405
niah_single_3_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32160.0,22.5,0.039846838868156244,0.039846838868156244,0.03900218931827662,0.0,0.0,1.0,0.0,2.8860356779769063,1.6315686930619477
niah_single_3_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,3717.0,24.0,0.06950855281020907,0.06950855281020907,0.06976395570716552,0.0,0.0,1.0,0.0,2.1318711191415787,0.5835152297641094
niah_single_3_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,7414.0,25.0,0.06005965292841649,0.06005965292841649,0.06024362249192028,0.0,0.0,1.0,0.0,2.21849409583956,0.7679061307903275
qa_hotpot_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,15138.0,3.0,0.06000397377309755,0.06000397377309755,0.06039988639991633,0.0,0.0,1.0,0.0,1.1671465495601296,0.23748805516318555
qa_hotpot_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.5,31087.0,14.5,0.04121140244925682,0.04121140244925682,0.040751550047084376,0.0,0.0,1.0,0.0,1.8972738487645984,0.8393359009985067
qa_hotpot_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,2868.0,5.0,0.09017259598450159,0.09017259598450159,0.08955690603222996,0.0,0.0,1.0,0.0,1.1228312281891704,0.17355613521870633
qa_hotpot_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.0,7416.0,3.0,0.06010559090293759,0.06010559090293759,0.06042306560660195,0.0,0.0,1.0,0.0,1.071780831553042,0.16406631953874498
qa_squad_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.0,14391.0,10.0,0.060043136436373754,0.060043136436373754,0.060048211138029245,0.0,0.0,1.0,0.0,1.4857471520081162,0.3320927697952347
qa_squad_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,0.5,30989.5,1.5,0.04143647612910824,0.04143647612910824,0.04068817098180951,0.0,0.0,1.0,0.0,1.252726181410253,0.248841107694016
qa_squad_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.0,3090.0,2.0,0.08338762214983714,0.08338762214983714,0.08409576095089791,0.0,0.0,1.0,0.0,0.9802431697025895,0.1047750508062688
qa_squad_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,1.0,5849.0,6.0,0.060065213660545735,0.060065213660545735,0.060552465847432284,0.0,0.0,1.0,0.0,1.2089370293542743,0.22251113111897525
vt_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.4,16325.0,30.0,0.06005286126989981,0.06005286126989981,0.06025423868821373,0.0,0.0,1.0,0.0,2.5161487301811576,1.1314880313244282
vt_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,2,1.0,32648.5,16.5,0.03927283892647611,0.03927283892647611,0.038369661314186995,0.0,0.0,1.0,0.0,2.207512490916997,1.2073415010322233
vt_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.0,3851.0,30.0,0.06745718050065876,0.06745718050065876,0.06795847773174377,0.0,0.0,1.0,0.0,2.354168646968901,0.5448545473830946
vt_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1,0.2,7928.0,30.0,0.06008638211382114,0.06008638211382114,0.060219538006962114,0.0,0.0,1.0,0.0,2.4135528141632676,0.7349998588730854
ALL,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,65,0.805448717948718,18158.30769230769,25.523076923076925,0.054955011684148236,0.054955011684148236,0.05464908878000216,0.0,0.0,1.0,0.0,2.4523035003302187,0.9716237285303486
LENGTH_4096,full_kv,13,0.8205128205128205,3523.4615384615386,28.076923076923077,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.170077265598453,
LENGTH_8192,full_kv,13,0.8435897435897436,7464.384615384615,30.384615384615383,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.791646228888287,
LENGTH_16384,full_kv,13,0.7846153846153846,15800.692307692309,24.384615384615383,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2967070139801273,
LENGTH_32768,full_kv,26,0.814102564102564,32001.5,22.23076923076923,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.3275754219637466,
LENGTH_4096,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,13,0.8051282051282052,3523.4615384615386,28.076923076923077,0.07452138516217409,0.07452138516217409,0.07413608718543813,0.0,0.0,1.0,0.0,2.473888185591652,
LENGTH_8192,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,13,0.8282051282051281,7464.384615384615,30.384615384615383,0.06007649623090251,0.06007649623090251,0.06022813945069288,0.0,0.0,1.0,0.0,2.483956779998082,
LENGTH_16384,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,13,0.7743589743589744,15800.692307692309,24.615384615384617,0.06003426894559622,0.06003426894559622,0.06022851236640428,0.0,0.0,1.0,0.0,2.3311511593369336,
LENGTH_32768,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,26,0.814102564102564,32001.5,22.26923076923077,0.040071454041034224,0.040071454041034224,0.03932635244873772,0.0,0.0,1.0,0.0,2.486260688362213,
