step    900/5000  loss=5.0868  ppl=161.9  grad_norm=0.56  tok/s=4,028  tokens=29,491,200
step    925/5000  loss=5.0777  ppl=160.4  grad_norm=0.54  tok/s=4,022  tokens=30,310,400
step    950/5000  loss=5.0495  ppl=156.0  grad_norm=0.51  tok/s=4,019  tokens=31,129,600
step    975/5000  loss=5.0529  ppl=156.5  grad_norm=0.58  tok/s=4,041  tokens=31,948,800
step   1000/5000  loss=5.0525  ppl=156.4  grad_norm=0.51  tok/s=4,028  tokens=32,768,000
  → saved checkpoint: /Users/bytedance/kv_cache/fdong_embedding_dim/outputs/small_lm_crs/crs_alpha0_3/checkpoints/step_1000.pt
step   1025/5000  loss=5.0264  ppl=152.4  grad_norm=0.46  tok/s=3,980  tokens=33,587,200
step   1050/5000  loss=4.9998  ppl=148.4  grad_norm=0.48  tok/s=4,025  tokens=34,406,400
step   1075/5000  loss=5.0046  ppl=149.1  grad_norm=0.52  tok/s=4,019  tokens=35,225,600
step   1100/5000  loss=4.9857  ppl=146.3  grad_norm=0.48  tok/s=4,034  tokens=36,044,800
step   1125/5000  loss=4.9646  ppl=143.3  grad_norm=0.48  tok/s=4,027  tokens=36,864,000
step   1150/5000  loss=4.9823  ppl=145.8  grad_norm=0.47  tok/s=4,026  tokens=37,683,200
step   1175/5000  loss=4.9780  ppl=145.2  grad_norm=0.57  tok/s=4,024  tokens=38,502,400
step   1200/5000  loss=4.9434  ppl=140.2  grad_norm=0.50  tok/s=4,034  tokens=39,321,600
step   1225/5000  loss=4.9202  ppl=137.0  grad_norm=0.55  tok/s=4,031  tokens=40,140,800
step   1250/5000  loss=4.9381  ppl=139.5  grad_norm=0.48  tok/s=4,025  tokens=40,960,000
step   1275/5000  loss=4.9014  ppl=134.5  grad_norm=0.54  tok/s=4,023  tokens=41,779,200
step   1300/5000  loss=4.9247  ppl=137.6  grad_norm=0.46  tok/s=4,030  tokens=42,598,400
step   1325/5000  loss=4.9317  ppl=138.6  grad_norm=0.56  tok/s=4,021  tokens=43,417,600
